partie,score,record,moyenne,secondes
1,0,0,0.0,0.03
2,0,0,0.0,0.09
3,0,0,0.0,0.13
4,1,1,0.25,0.23
5,0,1,0.2,0.28
6,0,1,0.167,0.41
7,0,1,0.143,0.47
8,1,1,0.25,0.6
9,0,1,0.222,0.72
10,0,1,0.2,0.86
11,0,1,0.182,0.97
12,2,2,0.333,1.25
13,0,2,0.308,1.42
14,1,2,0.357,1.63
15,0,2,0.333,1.86
16,1,2,0.375,2.14
17,0,2,0.353,2.36
18,2,2,0.444,2.6
19,0,2,0.421,2.83
20,0,2,0.4,3.06
21,0,2,0.381,3.33
22,1,2,0.409,3.58
23,0,2,0.391,3.82
24,1,2,0.417,4.16
25,1,2,0.44,4.45
26,2,2,0.5,4.7
27,1,2,0.519,4.98
28,2,2,0.571,5.6
29,0,2,0.552,5.88
30,0,2,0.533,6.1
31,0,2,0.516,6.32
32,3,3,0.594,6.71
33,0,3,0.576,6.95
34,3,3,0.647,7.22
35,0,3,0.629,7.46
36,0,3,0.611,7.71
37,2,3,0.649,8.05
38,3,3,0.711,8.36
39,0,3,0.692,8.6
40,0,3,0.675,8.83
41,0,3,0.659,9.05
42,3,3,0.714,9.34
43,0,3,0.698,9.58
44,1,3,0.705,9.82
45,1,3,0.711,10.1
46,0,3,0.696,10.42
47,1,3,0.702,10.79
48,0,3,0.688,11.01
49,2,3,0.714,11.28
50,1,3,0.72,11.53
51,0,3,0.706,11.8
52,2,3,0.731,12.13
53,1,3,0.736,12.38
54,1,3,0.741,12.8
55,1,3,0.745,13.04
56,2,3,0.768,13.33
57,1,3,0.772,13.62
58,0,3,0.759,13.84
59,6,6,0.847,14.29
60,8,8,0.967,14.83
61,0,8,0.951,15.06
62,5,8,1.016,15.38
63,5,8,1.079,15.67
64,9,9,1.203,16.13
65,8,9,1.308,16.52
66,6,9,1.379,17.04
67,0,9,1.358,17.27
68,0,9,1.338,17.54
69,2,9,1.348,17.81
70,4,9,1.386,18.24
71,2,9,1.394,18.49
72,2,9,1.403,18.73
73,15,15,1.589,19.14
74,8,15,1.676,19.49
75,9,15,1.773,19.89
76,0,15,1.75,20.1
77,11,15,1.87,20.52
78,3,15,1.885,20.92
79,8,15,1.962,21.36
80,15,15,2.125,21.82
81,16,16,2.296,22.39
82,23,23,2.549,22.93
83,17,23,2.723,23.35
84,23,23,2.964,23.88
85,26,26,3.235,24.38
86,25,26,3.488,24.95
87,15,26,3.621,25.42
88,0,26,3.58,25.94
