parties,score_moyen_50,record,secondes
1,2.0,2,0.6
1,2.0,2,0.7
1,2.0,2,0.7
1,2.0,2,0.7
1,2.0,2,0.7
1,2.0,2,0.8
1,2.0,2,0.8
1,2.0,2,0.9
1,2.0,2,0.9
1,2.0,2,1.0
1,2.0,2,1.0
1,2.0,2,1.1
1,2.0,2,1.1
1,2.0,2,1.1
1,2.0,2,1.2
1,2.0,2,1.2
1,2.0,2,1.3
1,2.0,2,1.3
1,2.0,2,1.4
1,2.0,2,1.4
1,2.0,2,1.4
1,2.0,2,1.5
1,2.0,2,1.5
1,2.0,2,1.6
2,2.0,2,1.6
2,2.0,2,1.7
2,2.0,2,1.7
2,2.0,2,1.8
2,2.0,2,1.8
2,2.0,2,1.9
2,2.0,2,1.9
2,2.0,2,1.9
2,2.0,2,2.0
2,2.0,2,2.0
2,2.0,2,2.1
2,2.0,2,2.1
2,2.0,2,2.1
2,2.0,2,2.2
2,2.0,2,2.2
2,2.0,2,2.3
2,2.0,2,2.3
2,2.0,2,2.3
2,2.0,2,2.4
2,2.0,2,2.5
2,2.0,2,2.5
2,2.0,2,2.5
2,2.0,2,2.6
2,2.0,2,2.6
2,2.0,2,2.6
2,2.0,2,2.7
2,2.0,2,2.7
3,2.0,2,2.8
3,2.0,2,2.8
3,2.0,2,2.9
3,2.0,2,2.9
3,2.0,2,3.0
3,2.0,2,3.0
3,2.0,2,3.1
3,2.0,2,3.1
3,2.0,2,3.1
3,2.0,2,3.2
3,2.0,2,3.2
3,2.0,2,3.3
3,2.0,2,3.3
3,2.0,2,3.4
3,2.0,2,3.4
3,2.0,2,3.4
3,2.0,2,3.5
3,2.0,2,3.5
3,2.0,2,3.6
4,2.0,2,3.6
5,2.0,2,3.7
5,2.0,2,3.7
5,2.0,2,3.8
5,2.0,2,3.8
5,2.0,2,3.9
5,2.0,2,3.9
5,2.0,2,3.9
5,2.0,2,4.0
5,2.0,2,4.0
6,2.17,3,4.1
6,2.17,3,4.1
6,2.17,3,4.2
6,2.17,3,4.2
6,2.17,3,4.3
6,2.17,3,4.3
6,2.17,3,4.4
6,2.17,3,4.4
6,2.17,3,4.5
6,2.17,3,4.5
6,2.17,3,4.6
7,2.14,3,4.6
7,2.14,3,4.7
7,2.14,3,4.7
7,2.14,3,4.8
7,2.14,3,4.8
8,2.12,3,4.9
8,2.12,3,4.9
8,2.12,3,5.0
8,2.12,3,5.0
8,2.12,3,5.1
8,2.12,3,5.1
8,2.12,3,5.2
8,2.12,3,5.2
8,2.12,3,5.3
8,2.12,3,5.3
8,2.12,3,5.4
8,2.12,3,5.4
8,2.12,3,5.5
8,2.12,3,5.5
8,2.12,3,5.6
8,2.12,3,5.6
9,2.11,3,5.7
9,2.11,3,5.7
9,2.11,3,5.8
9,2.11,3,5.8
9,2.11,3,5.8
9,2.11,3,5.9
9,2.11,3,5.9
9,2.11,3,6.0
9,2.11,3,6.0
9,2.11,3,6.1
9,2.11,3,6.1
9,2.11,3,6.2
10,2.1,3,6.2
10,2.1,3,6.3
10,2.1,3,6.3
10,2.1,3,6.3
10,2.1,3,6.4
10,2.1,3,6.4
10,2.1,3,6.5
10,2.1,3,6.5
11,2.09,3,6.6
12,2.08,3,6.6
14,2.07,3,6.6
14,2.07,3,6.7
14,2.07,3,6.7
15,2.07,3,6.8
16,2.06,3,6.8
17,2.06,3,6.9
17,2.06,3,6.9
17,2.06,3,6.9
17,2.06,3,7.0
17,2.06,3,7.0
17,2.06,3,7.1
17,2.06,3,7.1
17,2.06,3,7.2
17,2.06,3,7.2
18,2.06,3,7.2
18,2.06,3,7.3
18,2.06,3,7.3
18,2.06,3,7.4
18,2.06,3,7.4
19,2.05,3,7.4
19,2.05,3,7.5
19,2.05,3,7.5
19,2.05,3,7.6
19,2.05,3,7.6
19,2.05,3,7.6
19,2.05,3,7.7
19,2.05,3,7.7
19,2.05,3,7.8
19,2.05,3,7.8
19,2.05,3,7.9
19,2.05,3,7.9
19,2.05,3,8.0
19,2.05,3,8.0
19,2.05,3,8.0
19,2.05,3,8.1
19,2.05,3,8.1
19,2.05,3,8.2
19,2.05,3,8.2
19,2.05,3,8.3
19,2.05,3,8.3
19,2.05,3,8.3
20,2.05,3,8.4
20,2.05,3,8.4
21,2.05,3,8.5
22,2.05,3,8.5
22,2.05,3,8.6
23,2.04,3,8.6
23,2.04,3,8.6
23,2.04,3,8.7
23,2.04,3,8.7
23,2.04,3,8.8
23,2.04,3,8.8
23,2.04,3,8.8
23,2.04,3,8.9
