partie,score,record,moyenne,pas,pas_par_pomme,score_par_sec_jeu,secondes
1,3,3,3.0,186,62.0,0.0806,0.34
2,2,3,2.5,347,173.5,0.0288,1.02
3,2,3,2.333,224,112.0,0.0446,1.56
4,2,3,2.25,377,188.5,0.0265,2.37
5,2,3,2.2,217,108.5,0.0461,2.92
6,2,3,2.167,32,16.0,0.3125,3.17
7,2,3,2.143,294,147.0,0.034,3.85
8,2,3,2.125,84,42.0,0.119,4.18
9,2,3,2.111,125,62.5,0.08,4.59
10,3,3,2.2,169,56.33,0.0888,5.07
11,2,3,2.182,295,147.5,0.0339,5.78
12,2,3,2.167,232,116.0,0.0431,6.37
13,3,3,2.231,293,97.67,0.0512,7.1
14,2,3,2.214,261,130.5,0.0383,7.75
15,2,3,2.2,320,160.0,0.0312,8.48
16,3,3,2.25,179,59.67,0.0838,9.01
17,2,3,2.235,200,100.0,0.05,9.57
18,2,3,2.222,96,48.0,0.1042,9.95
19,2,3,2.211,357,178.5,0.028,10.75
20,3,3,2.25,336,112.0,0.0446,11.64
21,2,3,2.238,134,67.0,0.0746,12.08
22,2,3,2.227,356,178.0,0.0281,12.91
23,3,3,2.261,211,70.33,0.0711,13.5
24,2,3,2.25,417,208.5,0.024,14.38
25,2,3,2.24,143,71.5,0.0699,14.83
26,2,3,2.231,221,110.5,0.0452,15.4
27,2,3,2.222,161,80.5,0.0621,15.87
28,3,3,2.25,188,62.67,0.0798,16.48
29,2,3,2.241,149,74.5,0.0671,17.06
30,5,5,2.333,303,60.6,0.0825,17.96
31,3,5,2.355,125,41.67,0.12,18.38
32,2,5,2.344,288,144.0,0.0347,19.16
33,2,5,2.333,109,54.5,0.0917,19.56
34,2,5,2.324,120,60.0,0.0833,19.97
35,2,5,2.314,103,51.5,0.0971,20.34
36,2,5,2.306,147,73.5,0.068,20.92
37,6,6,2.405,242,40.33,0.124,21.61
38,2,6,2.395,213,106.5,0.0469,22.16
39,10,10,2.59,469,46.9,0.1066,23.17
40,7,10,2.7,289,41.29,0.1211,23.88
41,2,10,2.683,79,39.5,0.1266,24.28
42,3,10,2.69,129,43.0,0.1163,24.71
43,3,10,2.698,325,108.33,0.0462,25.45
44,4,10,2.727,65,16.25,0.3077,25.77
45,8,10,2.844,255,31.88,0.1569,26.4
46,10,10,3.0,486,48.6,0.1029,27.43
47,6,10,3.064,222,37.0,0.1351,28.01
48,4,10,3.083,173,43.25,0.1156,28.51
49,4,10,3.102,184,46.0,0.1087,29.02
50,4,10,3.12,115,28.75,0.1739,29.41
51,2,10,3.098,150,75.0,0.0667,29.87
52,7,10,3.173,120,17.14,0.2917,30.27
53,3,10,3.17,159,53.0,0.0943,30.76
54,3,10,3.167,122,40.67,0.123,31.17
55,5,10,3.2,189,37.8,0.1323,31.7
56,4,10,3.214,136,34.0,0.1471,32.13
57,6,10,3.263,188,31.33,0.1596,32.64
