partie,score,record,moyenne,pas,pas_par_pomme,score_par_sec_jeu,secondes
1,3,3,3.0,257,85.67,0.0584,0.58
2,0,3,1.5,301,nan,0.0,1.35
3,4,4,2.333,446,111.5,0.0448,2.53
4,2,4,2.25,321,160.5,0.0312,3.49
5,2,4,2.2,316,158.0,0.0316,4.45
6,3,4,2.333,190,63.33,0.0789,5.19
7,2,4,2.286,303,151.5,0.033,6.14
8,2,4,2.25,191,95.5,0.0524,6.92
9,3,4,2.333,174,58.0,0.0862,7.78
10,2,4,2.3,150,75.0,0.0667,8.44
11,2,4,2.273,364,182.0,0.0275,9.49
12,2,4,2.25,265,132.5,0.0377,10.35
13,2,4,2.231,233,116.5,0.0429,11.16
14,2,4,2.214,141,70.5,0.0709,11.8
15,2,4,2.2,324,162.0,0.0309,12.78
16,2,4,2.188,34,17.0,0.2941,13.23
17,2,4,2.176,89,44.5,0.1124,13.78
18,2,4,2.167,91,45.5,0.1099,14.34
19,3,4,2.211,241,80.33,0.0622,15.17
20,2,4,2.2,257,128.5,0.0389,16.07
21,3,4,2.238,232,77.33,0.0647,17.01
22,4,4,2.318,244,61.0,0.082,18.08
23,3,4,2.348,719,239.67,0.0209,19.98
24,3,4,2.375,56,18.67,0.2679,20.5
25,2,4,2.36,136,68.0,0.0735,21.24
26,4,4,2.423,573,143.25,0.0349,22.99
27,2,4,2.407,157,78.5,0.0637,23.75
28,4,4,2.464,199,49.75,0.1005,24.58
29,6,6,2.586,487,81.17,0.0616,26.07
30,4,6,2.633,214,53.5,0.0935,27.15
31,4,6,2.677,173,43.25,0.1156,28.2
32,5,6,2.75,70,14.0,0.3571,28.75
33,5,6,2.818,262,52.4,0.0954,29.82
34,5,6,2.882,202,40.4,0.1238,30.64
35,3,6,2.886,132,44.0,0.1136,31.51
36,2,6,2.861,101,50.5,0.099,32.17
37,2,6,2.838,179,89.5,0.0559,32.95
38,2,6,2.816,75,37.5,0.1333,33.52
39,14,14,3.103,409,29.21,0.1711,34.82
40,6,14,3.175,259,43.17,0.1158,35.77
41,5,14,3.22,157,31.4,0.1592,36.54
42,2,14,3.19,61,30.5,0.1639,37.1
43,9,14,3.326,286,31.78,0.1573,38.2
44,3,14,3.318,101,33.67,0.1485,38.83
45,19,19,3.667,472,24.84,0.2013,40.25
46,10,19,3.804,204,20.4,0.2451,41.1
47,5,19,3.83,146,29.2,0.1712,41.82
48,2,19,3.792,19,9.5,0.5263,42.3
49,9,19,3.898,269,29.89,0.1673,43.26
50,3,19,3.88,130,43.33,0.1154,43.97
51,5,19,3.902,88,17.6,0.2841,44.58
52,7,19,3.962,200,28.57,0.175,45.48
53,14,19,4.151,382,27.29,0.1832,46.68
54,2,19,4.111,36,18.0,0.2778,47.19
55,8,19,4.182,111,13.88,0.3604,47.84
56,10,19,4.286,259,25.9,0.1931,48.79
57,22,22,4.596,374,17.0,0.2941,49.98
58,11,22,4.707,177,16.09,0.3107,50.77
59,9,22,4.78,139,15.44,0.3237,51.51
60,24,24,5.1,411,17.12,0.292,52.81
61,28,28,5.475,500,17.86,0.28,54.31
62,28,28,5.839,479,17.11,0.2923,56.08
63,14,28,5.968,261,18.64,0.2682,57.16
64,9,28,6.016,242,26.89,0.186,58.08
65,26,28,6.323,449,17.27,0.2895,59.47
66,6,28,6.318,104,17.33,0.2885,60.14
67,24,28,6.582,424,17.67,0.283,61.51
