partie,score,record,moyenne,pas,pas_par_pomme,score_par_sec_jeu,secondes
1,0,0,0.0,301,nan,0.0,0.66
2,1,1,0.5,404,404.0,0.0124,1.67
3,0,1,0.333,301,nan,0.0,2.59
4,0,1,0.25,301,nan,0.0,3.5
5,2,2,0.6,214,107.0,0.0467,4.26
6,2,2,0.833,172,86.0,0.0581,4.94
7,4,4,1.286,513,128.25,0.039,6.23
8,0,4,1.125,301,nan,0.0,7.21
9,2,4,1.222,307,153.5,0.0326,8.32
10,6,6,1.7,216,36.0,0.1389,9.12
11,2,6,1.727,125,62.5,0.08,9.8
12,3,6,1.833,327,109.0,0.0459,10.76
13,2,6,1.846,98,49.0,0.102,11.31
14,0,6,1.714,301,nan,0.0,12.23
15,4,6,1.867,215,53.75,0.093,13.01
16,3,6,1.938,184,61.33,0.0815,13.71
17,2,6,1.941,57,28.5,0.1754,14.21
18,2,6,1.944,212,106.0,0.0472,14.98
19,6,6,2.158,159,26.5,0.1887,15.72
20,6,6,2.35,184,30.67,0.163,16.59
21,9,9,2.667,362,40.22,0.1243,18.01
22,4,9,2.727,244,61.0,0.082,19.02
23,2,9,2.696,173,86.5,0.0578,19.74
24,3,9,2.708,53,17.67,0.283,20.33
25,4,9,2.76,134,33.5,0.1493,21.1
26,2,9,2.731,127,63.5,0.0787,21.86
27,4,9,2.778,101,25.25,0.198,22.54
28,3,9,2.786,168,56.0,0.0893,23.24
29,6,9,2.897,127,21.17,0.2362,23.93
30,6,9,3.0,84,14.0,0.3571,24.56
31,5,9,3.065,179,35.8,0.1397,25.39
32,5,9,3.125,120,24.0,0.2083,26.33
33,4,9,3.152,116,29.0,0.1724,27.05
34,7,9,3.265,187,26.71,0.1872,28.14
35,4,9,3.286,54,13.5,0.3704,28.62
36,2,9,3.25,71,35.5,0.1408,29.53
37,2,9,3.216,54,27.0,0.1852,30.12
38,4,9,3.237,88,22.0,0.2273,30.7
39,8,9,3.359,230,28.75,0.1739,31.94
40,9,9,3.5,239,26.56,0.1883,32.82
41,6,9,3.561,162,27.0,0.1852,33.57
42,2,9,3.524,41,20.5,0.2439,34.08
43,13,13,3.744,233,17.92,0.279,34.95
44,9,13,3.864,247,27.44,0.1822,35.85
45,15,15,4.111,332,22.13,0.2259,36.92
46,10,15,4.239,145,14.5,0.3448,37.64
47,16,16,4.489,179,11.19,0.4469,38.48
48,4,16,4.479,50,12.5,0.4,39.01
49,25,25,4.898,446,17.84,0.2803,40.3
50,9,25,4.98,139,15.44,0.3237,40.99
51,3,25,4.941,74,24.67,0.2027,41.56
52,2,25,4.885,30,15.0,0.3333,42.05
53,13,25,5.038,213,16.38,0.3052,42.89
54,16,25,5.241,243,15.19,0.3292,43.8
55,13,25,5.382,204,15.69,0.3186,44.64
56,20,25,5.643,272,13.6,0.3676,45.66
57,5,25,5.632,129,25.8,0.1938,46.35
58,9,25,5.69,193,21.44,0.2332,47.18
59,8,25,5.729,72,9.0,0.5556,47.78
60,10,25,5.8,177,17.7,0.2825,48.58
61,12,25,5.902,206,17.17,0.2913,49.42
62,24,25,6.194,447,18.62,0.2685,50.69
63,6,25,6.19,109,18.17,0.2752,51.35
64,11,25,6.266,109,9.91,0.5046,51.99
65,15,25,6.4,196,13.07,0.3827,52.79
66,8,25,6.424,117,14.62,0.3419,53.44
67,18,25,6.597,210,11.67,0.4286,54.27
68,20,25,6.794,204,10.2,0.4902,55.1
69,21,25,7.0,217,10.33,0.4839,56.01
70,14,25,7.1,151,10.79,0.4636,56.76
71,28,28,7.394,323,11.54,0.4334,57.79
72,12,28,7.458,180,15.0,0.3333,58.58
73,17,28,7.589,230,13.53,0.3696,59.44
74,28,28,7.865,338,12.07,0.4142,60.51
75,23,28,8.067,286,12.43,0.4021,61.49
76,43,43,8.526,576,13.4,0.3733,63.01
77,28,43,8.779,315,11.25,0.4444,64.04
78,43,43,9.218,622,14.47,0.3457,65.64
79,18,43,9.329,179,9.94,0.5028,66.42
80,37,43,9.675,535,14.46,0.3458,67.87
81,34,43,9.975,438,12.88,0.3881,69.12
82,50,50,10.463,747,14.94,0.3347,70.94
83,32,50,10.723,414,12.94,0.3865,72.3
84,21,50,10.845,279,13.29,0.3763,73.24
85,42,50,11.212,636,15.14,0.3302,74.85
86,21,50,11.326,306,14.57,0.3431,75.84
87,22,50,11.448,320,14.55,0.3438,76.89
88,52,52,11.909,734,14.12,0.3542,78.66
89,37,52,12.191,495,13.38,0.3737,80.13
90,29,52,12.378,340,11.72,0.4265,81.25
91,38,52,12.659,526,13.84,0.3612,82.89
92,35,52,12.902,438,12.51,0.3995,84.34
93,24,52,13.022,308,12.83,0.3896,85.38
94,39,52,13.298,533,13.67,0.3659,86.85
95,37,52,13.547,486,13.14,0.3807,88.21
96,26,52,13.677,324,12.46,0.4012,89.28
97,30,52,13.845,380,12.67,0.3947,90.44
98,34,52,14.051,451,13.26,0.3769,91.73
99,28,52,14.192,316,11.29,0.443,92.76
100,34,52,14.39,480,14.12,0.3542,94.1
101,30,52,14.545,346,11.53,0.4335,95.2
102,21,52,14.608,243,11.57,0.4321,96.1
103,50,52,14.951,669,13.38,0.3737,97.83
104,35,52,15.144,456,13.03,0.3838,99.12
105,16,52,15.152,159,9.94,0.5031,99.87
106,27,52,15.264,338,12.52,0.3994,100.96
107,18,52,15.29,194,10.78,0.4639,101.78
108,26,52,15.389,284,10.92,0.4577,102.88
109,31,52,15.532,376,12.13,0.4122,104.01
110,40,52,15.755,511,12.78,0.3914,105.39
111,15,52,15.748,159,10.6,0.4717,106.11
112,32,52,15.893,432,13.5,0.3704,107.35
113,51,52,16.204,751,14.73,0.3395,109.16
114,29,52,16.316,320,11.03,0.4531,110.18
115,23,52,16.374,263,11.43,0.4373,111.11
116,30,52,16.491,330,11.0,0.4545,112.23
117,22,52,16.538,225,10.23,0.4889,113.07
118,20,52,16.568,270,13.5,0.3704,114.02
119,35,52,16.723,388,11.09,0.451,115.18
120,17,52,16.725,147,8.65,0.5782,115.9
121,29,52,16.826,388,13.38,0.3737,117.05
