partie,score,record,moyenne,pas,pas_par_pomme,score_par_sec_jeu,secondes
81,64,64,0.79,1182,18.47,0.2707,1.62
82,34,64,1.195,368,10.82,0.462,2.23
83,31,64,1.554,395,12.74,0.3924,2.87
84,68,68,2.345,1295,19.04,0.2625,4.64
85,51,68,2.918,687,13.47,0.3712,5.64
86,60,68,3.581,769,12.82,0.3901,6.75
87,28,68,3.862,361,12.89,0.3878,7.36
88,71,71,4.625,1505,21.2,0.2359,9.81
89,55,71,5.191,685,12.45,0.4015,10.95
90,39,71,5.567,436,11.18,0.4472,11.73
91,54,71,6.099,771,14.28,0.3502,12.9
92,58,71,6.663,1019,17.57,0.2846,14.42
93,34,71,6.957,497,14.62,0.3421,15.24
94,65,71,7.574,1384,21.29,0.2348,17.25
95,67,71,8.2,1078,16.09,0.3108,18.86
96,40,71,8.531,523,13.07,0.3824,19.78
97,50,71,8.959,779,15.58,0.3209,21.57
98,50,71,9.378,792,15.84,0.3157,23.27
99,38,71,9.667,570,15.0,0.3333,24.37
100,41,71,9.98,498,12.15,0.4116,25.4
101,21,71,10.089,253,12.05,0.415,25.96
102,51,71,10.49,682,13.37,0.3739,27.23
103,38,71,10.757,527,13.87,0.3605,28.1
104,35,71,10.99,417,11.91,0.4197,28.84
105,57,71,11.429,880,15.44,0.3239,30.39
106,68,71,11.962,1291,18.99,0.2634,32.28
107,61,71,12.421,1006,16.49,0.3032,33.8
108,55,71,12.815,703,12.78,0.3912,34.92
109,40,71,13.064,584,14.6,0.3425,35.87
110,22,71,13.145,249,11.32,0.4418,36.37
111,31,71,13.306,379,12.23,0.409,37.05
112,28,71,13.438,274,9.79,0.5109,37.62
113,60,71,13.85,802,13.37,0.3741,38.84
114,48,71,14.149,724,15.08,0.3315,39.97
115,57,71,14.522,913,16.02,0.3122,41.35
116,34,71,14.69,380,11.18,0.4474,42.01
117,60,71,15.077,1047,17.45,0.2865,43.54
118,50,71,15.373,773,15.46,0.3234,44.74
119,18,71,15.395,203,11.28,0.4433,45.21
120,67,71,15.825,1280,19.1,0.2617,47.12
121,42,71,16.041,627,14.93,0.3349,48.13
122,50,71,16.32,838,16.76,0.2983,49.37
123,36,71,16.48,463,12.86,0.3888,50.16
124,62,71,16.847,1002,16.16,0.3094,51.64
125,25,71,16.912,302,12.08,0.4139,52.26
126,43,71,17.119,683,15.88,0.3148,53.4
127,51,71,17.386,926,18.16,0.2754,54.71
128,40,71,17.562,562,14.05,0.3559,55.61
129,58,71,17.876,873,15.05,0.3322,56.98
130,17,71,17.869,218,12.82,0.3899,57.51
131,52,71,18.13,858,16.5,0.303,58.87
132,47,71,18.348,783,16.66,0.3001,60.21
133,30,71,18.436,401,13.37,0.3741,60.96
134,71,71,18.828,1192,16.79,0.2978,62.83
135,37,71,18.963,495,13.38,0.3737,63.7
136,45,71,19.154,663,14.73,0.3394,64.8
137,26,71,19.204,399,15.35,0.3258,65.53
138,59,71,19.493,1129,19.14,0.2613,67.29
139,46,71,19.683,643,13.98,0.3577,68.4
140,38,71,19.814,557,14.66,0.3411,69.34
141,51,71,20.035,1058,20.75,0.241,71.11
142,18,71,20.021,184,10.22,0.4891,71.55
143,59,71,20.294,981,16.63,0.3007,73.07
144,49,71,20.493,748,15.27,0.3275,74.22
145,58,71,20.752,814,14.03,0.3563,75.46
146,35,71,20.849,454,12.97,0.3855,76.23
147,64,71,21.143,1055,16.48,0.3033,77.81
148,36,71,21.243,471,13.08,0.3822,78.6
149,62,71,21.517,985,15.89,0.3147,80.06
150,22,71,21.52,299,13.59,0.3679,80.62
