partie,score,record,moyenne,pas,pas_par_pomme,score_par_sec_jeu,secondes
1,0,0,0.0,69,nan,0.0,0.15
2,0,0,0.0,28,nan,0.0,0.23
3,0,0,0.0,14,nan,0.0,0.3
4,0,0,0.0,44,nan,0.0,0.43
5,0,0,0.0,28,nan,0.0,0.54
6,0,0,0.0,28,nan,0.0,0.66
7,0,0,0.0,24,nan,0.0,0.79
8,1,1,0.125,58,58.0,0.0862,0.99
9,0,1,0.111,9,nan,0.0,1.12
10,0,1,0.1,43,nan,0.0,1.32
11,1,1,0.182,29,29.0,0.1724,1.5
12,1,1,0.25,22,22.0,0.2273,1.69
13,0,1,0.231,23,nan,0.0,1.88
14,0,1,0.214,19,nan,0.0,2.07
15,0,1,0.2,19,nan,0.0,2.27
16,2,2,0.312,128,64.0,0.0781,2.7
17,0,2,0.294,33,nan,0.0,2.98
18,1,2,0.333,25,25.0,0.2,3.26
19,0,2,0.316,15,nan,0.0,3.53
20,0,2,0.3,71,nan,0.0,3.92
21,0,2,0.286,14,nan,0.0,4.21
22,1,2,0.318,99,99.0,0.0505,4.69
23,0,2,0.304,67,nan,0.0,5.14
24,0,2,0.292,34,nan,0.0,5.47
25,2,2,0.36,141,70.5,0.0709,6.07
26,0,2,0.346,11,nan,0.0,6.46
27,0,2,0.333,27,nan,0.0,6.88
28,0,2,0.321,20,nan,0.0,7.29
29,0,2,0.31,33,nan,0.0,7.72
30,0,2,0.3,28,nan,0.0,8.15
31,0,2,0.29,61,nan,0.0,8.53
32,1,2,0.312,28,28.0,0.1786,8.77
33,0,2,0.303,82,nan,0.0,9.09
34,1,2,0.324,15,15.0,0.3333,9.32
35,2,2,0.371,72,36.0,0.1389,9.66
36,2,2,0.417,86,43.0,0.1163,9.97
37,1,2,0.432,90,90.0,0.0556,10.28
38,3,3,0.5,83,27.67,0.1807,10.59
39,3,3,0.564,73,24.33,0.2055,10.89
40,1,3,0.575,27,27.0,0.1852,11.13
41,0,3,0.561,19,nan,0.0,11.36
42,2,3,0.595,60,30.0,0.1667,11.64
43,1,3,0.605,145,145.0,0.0345,12.01
44,2,3,0.636,43,21.5,0.2326,12.28
45,0,3,0.622,23,nan,0.0,12.52
46,3,3,0.674,69,23.0,0.2174,12.82
47,0,3,0.66,13,nan,0.0,13.04
48,0,3,0.646,47,nan,0.0,13.3
49,0,3,0.633,19,nan,0.0,13.53
50,2,3,0.66,27,13.5,0.3704,13.96
51,2,3,0.686,23,11.5,0.4348,14.39
52,1,3,0.692,37,37.0,0.1351,14.83
53,5,5,0.774,165,33.0,0.1515,15.6
54,1,5,0.778,31,31.0,0.1613,15.96
55,0,5,0.764,16,nan,0.0,16.36
56,2,5,0.786,66,33.0,0.1515,16.85
57,0,5,0.772,11,nan,0.0,17.25
58,1,5,0.776,13,13.0,0.3846,17.63
59,1,5,0.78,31,31.0,0.1613,18.06
60,5,5,0.85,152,30.4,0.1645,18.7
61,1,5,0.852,144,144.0,0.0347,19.33
62,0,5,0.839,13,nan,0.0,19.73
63,2,5,0.857,56,28.0,0.1786,20.21
64,3,5,0.891,108,36.0,0.1389,20.77
65,4,5,0.938,125,31.25,0.16,21.36
66,6,6,1.015,167,27.83,0.1796,22.02
67,2,6,1.03,65,32.5,0.1538,22.51
68,0,6,1.015,30,nan,0.0,22.94
69,2,6,1.029,69,34.5,0.1449,23.45
70,10,10,1.157,191,19.1,0.2618,24.16
71,2,10,1.169,59,29.5,0.1695,24.66
72,11,11,1.306,290,26.36,0.1897,25.61
73,9,11,1.411,136,15.11,0.3309,26.29
74,20,20,1.662,309,15.45,0.3236,27.2
75,6,20,1.72,106,17.67,0.283,27.76
76,10,20,1.829,208,20.8,0.2404,28.48
77,7,20,1.896,194,27.71,0.1804,29.21
78,10,20,2.0,195,19.5,0.2564,29.7
79,23,23,2.266,377,16.39,0.305,30.35
80,31,31,2.625,1117,36.03,0.1388,31.86
81,19,31,2.827,212,11.16,0.4481,32.34
82,19,31,3.024,202,10.63,0.4703,32.79
83,14,31,3.157,162,11.57,0.4321,33.2
84,15,31,3.298,159,10.6,0.4717,33.6
85,39,39,3.718,576,14.77,0.3385,34.5
86,14,39,3.837,137,9.79,0.5109,34.88
87,23,39,4.057,285,12.39,0.4035,35.44
88,22,39,4.261,420,19.09,0.2619,36.4
89,18,39,4.416,238,13.22,0.3782,36.94
90,17,39,4.556,199,11.71,0.4271,37.49
91,36,39,4.901,505,14.03,0.3564,38.99
92,13,39,4.989,127,9.77,0.5118,39.74
93,23,39,5.183,243,10.57,0.4733,40.66
94,31,39,5.457,302,9.74,0.5132,41.75
95,40,40,5.821,536,13.4,0.3731,43.23
96,26,40,6.031,255,9.81,0.5098,44.16
97,11,40,6.082,115,10.45,0.4783,44.83
98,20,40,6.224,223,11.15,0.4484,45.73
99,39,40,6.556,506,12.97,0.3854,47.22
100,26,40,6.75,269,10.35,0.4833,48.24
101,26,40,6.941,309,11.88,0.4207,49.51
102,20,40,7.069,248,12.4,0.4032,50.54
103,27,40,7.262,347,12.85,0.389,51.66
104,36,40,7.538,430,11.94,0.4186,52.95
105,34,40,7.79,483,14.21,0.352,54.37
106,29,40,7.991,324,11.17,0.4475,55.47
107,29,40,8.187,337,11.62,0.4303,56.63
108,13,40,8.231,130,10.0,0.5,57.34
109,19,40,8.33,244,12.84,0.3893,58.27
110,22,40,8.455,263,11.95,0.4183,59.24
111,15,40,8.514,149,9.93,0.5034,59.94
112,19,40,8.607,229,12.05,0.4148,60.7
113,14,40,8.655,202,14.43,0.3465,61.4
114,21,40,8.763,225,10.71,0.4667,62.01
115,28,40,8.93,311,11.11,0.4502,63.05
116,38,40,9.181,457,12.03,0.4158,64.32
117,22,40,9.291,250,11.36,0.44,65.24
118,23,40,9.407,349,15.17,0.3295,66.11
119,38,40,9.647,491,12.92,0.387,67.03
120,12,40,9.667,132,11.0,0.4545,67.47
121,25,40,9.793,275,11.0,0.4545,68.13
122,20,40,9.877,257,12.85,0.3891,68.74
123,22,40,9.976,235,10.68,0.4681,69.28
124,19,40,10.048,211,11.11,0.4502,69.8
125,31,40,10.216,395,12.74,0.3924,70.57
126,16,40,10.262,176,11.0,0.4545,71.13
127,24,40,10.37,252,10.5,0.4762,71.9
128,12,40,10.383,132,11.0,0.4545,72.39
129,14,40,10.411,159,11.36,0.4403,73.1
130,34,40,10.592,351,10.32,0.4843,74.15
131,21,40,10.672,220,10.48,0.4773,74.99
132,37,40,10.871,439,11.86,0.4214,76.21
133,15,40,10.902,193,12.87,0.3886,76.99
134,27,40,11.022,300,11.11,0.45,77.76
135,32,40,11.178,458,14.31,0.3493,79.01
136,12,40,11.184,97,8.08,0.6186,79.54
137,38,40,11.38,507,13.34,0.3748,80.9
138,17,40,11.42,206,12.12,0.4126,81.52
139,22,40,11.496,247,11.23,0.4453,82.15
140,31,40,11.636,408,13.16,0.3799,83.33
141,35,40,11.801,491,14.03,0.3564,84.66
142,34,40,11.958,411,12.09,0.4136,85.84
143,9,40,11.937,67,7.44,0.6716,86.4
144,35,40,12.097,397,11.34,0.4408,87.54
145,24,40,12.179,271,11.29,0.4428,88.48
146,30,40,12.301,425,14.17,0.3529,89.68
147,30,40,12.422,370,12.33,0.4054,90.9
148,24,40,12.5,263,10.96,0.4563,91.86
149,26,40,12.591,287,11.04,0.453,92.88
150,32,40,12.72,423,13.22,0.3783,94.28
151,26,40,12.808,249,9.58,0.5221,95.23
152,30,40,12.921,428,14.27,0.3505,96.54
153,13,40,12.922,146,11.23,0.4452,97.29
154,15,40,12.935,175,11.67,0.4286,98.09
155,39,40,13.103,546,14.0,0.3571,99.81
156,21,40,13.154,254,12.1,0.4134,100.76
157,28,40,13.248,384,13.71,0.3646,101.98
158,20,40,13.291,221,11.05,0.4525,102.85
159,22,40,13.346,260,11.82,0.4231,103.8
160,15,40,13.356,155,10.33,0.4839,104.55
161,16,40,13.373,169,10.56,0.4734,105.33
162,23,40,13.432,308,13.39,0.3734,106.37
163,27,40,13.515,321,11.89,0.4206,107.44
164,10,40,13.494,104,10.4,0.4808,108.07
165,25,40,13.564,383,15.32,0.3264,109.31
166,27,40,13.645,355,13.15,0.3803,110.48
167,38,40,13.79,426,11.21,0.446,111.71
168,17,40,13.81,211,12.41,0.4028,112.55
169,21,40,13.852,224,10.67,0.4688,113.47
170,21,40,13.894,253,12.05,0.415,114.37
171,17,40,13.912,208,12.24,0.4087,115.19
172,29,40,14.0,344,11.86,0.4215,116.26
173,33,40,14.11,404,12.24,0.4084,117.44
174,14,40,14.109,162,11.57,0.4321,118.18
175,14,40,14.109,145,10.36,0.4828,118.89
176,24,40,14.165,309,12.88,0.3883,119.92
177,33,40,14.271,415,12.58,0.3976,121.13
178,27,40,14.343,307,11.37,0.4397,122.15
179,14,40,14.341,140,10.0,0.5,122.97
180,21,40,14.378,246,11.71,0.4268,123.87
