partie,score,record,moyenne,pas,pas_par_pomme,score_par_sec_jeu,secondes
1,0,0,0.0,7,nan,0.0,0.01
2,0,0,0.0,64,nan,0.0,0.1
3,0,0,0.0,28,nan,0.0,0.16
4,0,0,0.0,14,nan,0.0,0.2
5,0,0,0.0,22,nan,0.0,0.25
6,0,0,0.0,23,nan,0.0,0.31
7,0,0,0.0,17,nan,0.0,0.37
8,0,0,0.0,45,nan,0.0,0.46
9,0,0,0.0,8,nan,0.0,0.52
10,0,0,0.0,67,nan,0.0,0.66
11,1,1,0.091,115,115.0,0.0435,0.88
12,0,1,0.083,38,nan,0.0,1.02
13,1,1,0.154,23,23.0,0.2174,1.14
14,0,1,0.143,32,nan,0.0,1.28
15,0,1,0.133,55,nan,0.0,1.46
16,0,1,0.125,17,nan,0.0,1.6
17,0,1,0.118,36,nan,0.0,1.76
18,0,1,0.111,44,nan,0.0,1.96
19,0,1,0.105,29,nan,0.0,2.13
20,0,1,0.1,13,nan,0.0,2.29
21,0,1,0.095,66,nan,0.0,2.52
22,0,1,0.091,28,nan,0.0,2.71
23,1,1,0.13,54,54.0,0.0926,2.96
24,2,2,0.208,77,38.5,0.1299,3.24
25,0,2,0.2,31,nan,0.0,3.48
26,0,2,0.192,68,nan,0.0,3.78
27,0,2,0.185,39,nan,0.0,4.04
28,0,2,0.179,12,nan,0.0,4.26
29,0,2,0.172,88,nan,0.0,4.57
30,1,2,0.2,78,78.0,0.0641,4.89
31,0,2,0.194,45,nan,0.0,5.21
32,0,2,0.188,39,nan,0.0,5.46
33,2,2,0.242,75,37.5,0.1333,5.77
34,0,2,0.235,34,nan,0.0,6.02
35,0,2,0.229,98,nan,0.0,6.34
36,0,2,0.222,83,nan,0.0,6.65
37,0,2,0.216,52,nan,0.0,6.92
38,0,2,0.211,30,nan,0.0,7.17
39,0,2,0.205,79,nan,0.0,7.48
40,1,2,0.225,216,216.0,0.0231,7.96
41,0,2,0.22,120,nan,0.0,8.54
42,0,2,0.214,107,nan,0.0,9.11
43,0,2,0.209,79,nan,0.0,9.63
44,0,2,0.205,20,nan,0.0,10.05
45,2,2,0.244,129,64.5,0.0775,10.66
46,0,2,0.239,88,nan,0.0,11.19
47,0,2,0.234,115,nan,0.0,11.77
48,0,2,0.229,56,nan,0.0,12.25
49,1,2,0.245,215,215.0,0.0233,13.0
50,0,2,0.24,34,nan,0.0,13.33
51,1,2,0.255,64,64.0,0.0781,13.72
52,0,2,0.25,26,nan,0.0,14.15
53,2,2,0.283,39,19.5,0.2564,14.61
54,0,2,0.278,66,nan,0.0,15.22
55,0,2,0.273,94,nan,0.0,15.76
56,1,2,0.286,86,86.0,0.0581,16.1
57,1,2,0.298,11,11.0,0.4545,16.33
58,0,2,0.293,13,nan,0.0,16.56
59,0,2,0.288,65,nan,0.0,16.84
60,0,2,0.283,45,nan,0.0,17.11
61,1,2,0.295,125,125.0,0.04,17.48
62,2,2,0.323,264,132.0,0.0379,18.02
63,1,2,0.333,100,100.0,0.05,18.37
64,0,2,0.328,243,nan,0.0,18.87
65,0,2,0.323,137,nan,0.0,19.26
66,3,3,0.364,467,155.67,0.0321,20.05
67,1,3,0.373,32,32.0,0.1562,20.31
68,0,3,0.368,298,nan,0.0,20.89
69,0,3,0.362,110,nan,0.0,21.25
70,3,3,0.4,235,78.33,0.0638,21.74
71,2,3,0.423,127,63.5,0.0787,22.12
72,1,3,0.431,16,16.0,0.3125,22.35
73,0,3,0.425,196,nan,0.0,22.86
74,0,3,0.419,29,nan,0.0,23.21
75,0,3,0.413,45,nan,0.0,23.5
76,0,3,0.408,20,nan,0.0,23.81
77,1,3,0.416,132,132.0,0.0379,24.35
78,0,3,0.41,300,nan,0.0,25.19
79,0,3,0.405,301,nan,0.0,26.11
80,1,3,0.412,432,432.0,0.0116,26.94
81,0,3,0.407,301,nan,0.0,27.53
82,0,3,0.402,301,nan,0.0,28.12
83,0,3,0.398,301,nan,0.0,28.71
84,0,3,0.393,301,nan,0.0,29.65
85,0,3,0.388,301,nan,0.0,30.58
86,0,3,0.384,301,nan,0.0,31.52
87,0,3,0.379,301,nan,0.0,32.45
88,0,3,0.375,301,nan,0.0,33.37
89,0,3,0.371,301,nan,0.0,34.31
90,0,3,0.367,301,nan,0.0,35.25
91,0,3,0.363,301,nan,0.0,36.26
92,1,3,0.37,677,677.0,0.0074,38.09
93,0,3,0.366,301,nan,0.0,39.21
94,0,3,0.362,301,nan,0.0,40.31
95,0,3,0.358,301,nan,0.0,41.36
96,0,3,0.354,301,nan,0.0,42.41
97,0,3,0.351,301,nan,0.0,43.46
98,0,3,0.347,301,nan,0.0,44.63
99,0,3,0.343,301,nan,0.0,45.71
100,0,3,0.34,301,nan,0.0,46.81
101,1,3,0.347,412,412.0,0.0121,48.1
102,1,3,0.353,518,518.0,0.0097,49.68
103,0,3,0.35,301,nan,0.0,50.78
104,0,3,0.346,301,nan,0.0,51.87
105,0,3,0.343,301,nan,0.0,52.93
106,0,3,0.34,301,nan,0.0,54.04
107,0,3,0.336,301,nan,0.0,55.13
108,1,3,0.343,406,406.0,0.0123,56.45
109,0,3,0.339,301,nan,0.0,57.51
110,0,3,0.336,301,nan,0.0,58.61
111,0,3,0.333,301,nan,0.0,59.31
112,0,3,0.33,301,nan,0.0,60.02
113,1,3,0.336,432,432.0,0.0116,60.85
114,0,3,0.333,301,nan,0.0,61.82
115,0,3,0.33,301,nan,0.0,62.5
116,0,3,0.328,301,nan,0.0,63.22
117,0,3,0.325,301,nan,0.0,63.92
118,1,3,0.331,434,434.0,0.0115,64.81
119,0,3,0.328,301,nan,0.0,65.67
120,1,3,0.333,407,407.0,0.0123,66.93
121,0,3,0.331,301,nan,0.0,67.97
122,1,3,0.336,416,416.0,0.012,69.22
123,0,3,0.333,301,nan,0.0,70.22
124,2,3,0.347,49,24.5,0.2041,70.76
125,0,3,0.344,301,nan,0.0,71.69
126,0,3,0.341,301,nan,0.0,72.41
127,0,3,0.339,301,nan,0.0,73.04
128,0,3,0.336,301,nan,0.0,73.67
129,0,3,0.333,301,nan,0.0,74.32
130,0,3,0.331,301,nan,0.0,74.95
131,0,3,0.328,301,nan,0.0,75.58
132,0,3,0.326,301,nan,0.0,76.23
133,1,3,0.331,407,407.0,0.0123,77.27
134,0,3,0.328,301,nan,0.0,78.1
135,0,3,0.326,301,nan,0.0,78.72
136,1,3,0.331,456,456.0,0.011,79.63
137,0,3,0.328,301,nan,0.0,80.49
138,0,3,0.326,301,nan,0.0,81.58
139,0,3,0.324,301,nan,0.0,82.61
140,1,3,0.329,405,405.0,0.0123,83.84
141,0,3,0.326,301,nan,0.0,84.86
142,1,3,0.331,410,410.0,0.0122,86.11
143,1,3,0.336,403,403.0,0.0124,87.39
144,2,3,0.347,527,263.5,0.019,88.84
145,1,3,0.352,407,407.0,0.0123,90.15
146,0,3,0.349,301,nan,0.0,91.26
147,0,3,0.347,301,nan,0.0,92.34
