partie,score,record,moyenne,pas,pas_par_pomme,score_par_sec_jeu,secondes
1,2,2,2.0,261,130.5,0.0383,0.56
2,4,4,3.0,237,59.25,0.0844,1.18
3,2,4,2.667,155,77.5,0.0645,1.69
4,2,4,2.5,184,92.0,0.0543,2.33
5,3,4,2.6,106,35.33,0.1415,2.87
6,3,4,2.667,157,52.33,0.0955,3.52
7,2,4,2.571,204,102.0,0.049,4.25
8,2,4,2.5,71,35.5,0.1408,4.75
9,2,4,2.444,258,129.0,0.0388,5.57
10,4,4,2.6,346,86.5,0.0578,6.53
11,3,4,2.636,131,43.67,0.1145,7.17
12,2,4,2.583,149,74.5,0.0671,7.94
13,6,6,2.846,174,29.0,0.1724,8.67
14,2,6,2.786,77,38.5,0.1299,9.2
15,2,6,2.733,105,52.5,0.0952,9.9
16,2,6,2.688,173,86.5,0.0578,10.6
17,3,6,2.706,194,64.67,0.0773,11.33
18,2,6,2.667,101,50.5,0.099,11.91
19,11,11,3.105,237,21.55,0.2321,12.72
20,4,11,3.15,96,24.0,0.2083,13.28
21,5,11,3.238,195,39.0,0.1282,14.01
22,3,11,3.227,57,19.0,0.2632,14.52
23,11,11,3.565,390,35.45,0.141,15.64
24,2,11,3.5,127,63.5,0.0787,16.35
25,5,11,3.56,136,27.2,0.1838,17.04
26,3,11,3.538,89,29.67,0.1685,17.81
27,3,11,3.519,118,39.33,0.1271,18.52
28,6,11,3.607,98,16.33,0.3061,19.09
29,6,11,3.69,199,33.17,0.1508,19.84
30,5,11,3.733,114,22.8,0.2193,20.49
31,2,11,3.677,115,57.5,0.087,21.13
32,4,11,3.688,133,33.25,0.1504,21.8
33,2,11,3.636,46,23.0,0.2174,22.46
34,9,11,3.794,150,16.67,0.3,23.26
35,2,11,3.743,33,16.5,0.303,23.73
36,15,15,4.056,409,27.27,0.1834,25.02
37,4,15,4.054,143,35.75,0.1399,25.8
38,7,15,4.132,64,9.14,0.5469,26.54
39,8,15,4.231,287,35.88,0.1394,27.59
40,18,18,4.575,329,18.28,0.2736,28.82
41,12,18,4.756,327,27.25,0.1835,30.05
42,6,18,4.786,157,26.17,0.1911,30.82
43,8,18,4.86,166,20.75,0.241,31.94
44,10,18,4.977,227,22.7,0.2203,32.82
