phase,essai,score,temps_jeu_s,ratio_pt_par_s,pas,longueur,remplissage_pct,fin
entrainement,1,0,36.2,0.0,181,3,1.3,timeout
entrainement,2,8,272.0,0.0294,1360,11,4.9,collision
entrainement,3,0,36.2,0.0,181,3,1.3,timeout
entrainement,4,0,36.2,0.0,181,3,1.3,timeout
entrainement,5,0,36.2,0.0,181,3,1.3,timeout
entrainement,6,0,36.2,0.0,181,3,1.3,timeout
entrainement,7,0,36.2,0.0,181,3,1.3,timeout
entrainement,8,0,36.2,0.0,181,3,1.3,timeout
entrainement,9,0,36.2,0.0,181,3,1.3,timeout
entrainement,10,0,36.2,0.0,181,3,1.3,timeout
entrainement,11,1,59.6,0.0168,298,4,1.8,timeout
entrainement,12,1,56.4,0.0177,282,4,1.8,timeout
entrainement,13,0,36.2,0.0,181,3,1.3,timeout
entrainement,14,0,36.2,0.0,181,3,1.3,timeout
entrainement,15,3,159.8,0.0188,799,6,2.7,timeout
entrainement,16,1,75.0,0.0133,375,4,1.8,timeout
entrainement,17,2,38.8,0.0515,194,5,2.2,collision
entrainement,18,0,36.2,0.0,181,3,1.3,timeout
entrainement,19,0,36.2,0.0,181,3,1.3,timeout
entrainement,20,10,370.0,0.027,1850,13,5.8,collision
entrainement,21,0,36.2,0.0,181,3,1.3,timeout
entrainement,22,1,83.6,0.012,418,4,1.8,timeout
entrainement,23,1,50.4,0.0198,252,4,1.8,timeout
entrainement,24,0,36.2,0.0,181,3,1.3,timeout
entrainement,25,1,69.4,0.0144,347,4,1.8,timeout
entrainement,26,4,77.0,0.0519,385,7,3.1,collision
entrainement,27,0,36.2,0.0,181,3,1.3,timeout
entrainement,28,0,36.2,0.0,181,3,1.3,timeout
entrainement,29,1,48.8,0.0205,244,4,1.8,timeout
entrainement,30,0,36.2,0.0,181,3,1.3,timeout
entrainement,31,0,36.2,0.0,181,3,1.3,timeout
entrainement,32,0,36.2,0.0,181,3,1.3,timeout
entrainement,33,0,36.2,0.0,181,3,1.3,timeout
entrainement,34,0,36.2,0.0,181,3,1.3,timeout
entrainement,35,88,2748.2,0.032,13741,91,40.4,collision
entrainement,36,0,36.2,0.0,181,3,1.3,timeout
entrainement,37,1,60.0,0.0167,300,4,1.8,timeout
entrainement,38,1,68.0,0.0147,340,4,1.8,timeout
entrainement,39,0,36.2,0.0,181,3,1.3,timeout
entrainement,40,0,36.2,0.0,181,3,1.3,timeout
entrainement,41,0,36.2,0.0,181,3,1.3,timeout
entrainement,42,0,36.2,0.0,181,3,1.3,timeout
entrainement,43,0,36.2,0.0,181,3,1.3,timeout
entrainement,44,2,54.4,0.0368,272,5,2.2,collision
entrainement,45,5,167.0,0.0299,835,8,3.6,timeout
entrainement,46,0,36.2,0.0,181,3,1.3,timeout
entrainement,47,0,36.2,0.0,181,3,1.3,timeout
entrainement,48,8,251.6,0.0318,1258,11,4.9,timeout
entrainement,49,0,36.2,0.0,181,3,1.3,timeout
entrainement,50,10,426.8,0.0234,2134,13,5.8,timeout
entrainement,51,1,49.0,0.0204,245,4,1.8,timeout
entrainement,52,1,60.4,0.0166,302,4,1.8,timeout
entrainement,53,2,49.4,0.0405,247,5,2.2,collision
entrainement,54,0,36.2,0.0,181,3,1.3,timeout
entrainement,55,0,36.2,0.0,181,3,1.3,timeout
entrainement,56,0,36.2,0.0,181,3,1.3,timeout
entrainement,57,1,67.6,0.0148,338,4,1.8,timeout
entrainement,58,0,36.2,0.0,181,3,1.3,timeout
entrainement,59,0,36.2,0.0,181,3,1.3,timeout
entrainement,60,0,36.2,0.0,181,3,1.3,timeout
entrainement,61,87,2670.6,0.0326,13353,90,40.0,collision
entrainement,62,1,62.6,0.016,313,4,1.8,timeout
entrainement,63,3,93.6,0.0321,468,6,2.7,timeout
entrainement,64,0,36.2,0.0,181,3,1.3,timeout
entrainement,65,1,79.2,0.0126,396,4,1.8,timeout
entrainement,66,0,36.2,0.0,181,3,1.3,timeout
