algo,partie,score,temps_s,fin
dijkstra,1,52,94.2,mort
dijkstra,2,58,103.0,mort
dijkstra,3,55,101.6,mort
dijkstra,4,77,153.6,mort
dijkstra,5,67,123.6,mort
dijkstra,6,46,75.4,mort
dijkstra,7,78,136.8,mort
dijkstra,8,75,141.2,mort
dijkstra,9,71,128.8,mort
dijkstra,10,35,53.4,mort
gbfs,1,62,108.6,mort
gbfs,2,67,115.8,mort
gbfs,3,46,70.0,mort
gbfs,4,56,106.8,mort
gbfs,5,39,62.2,mort
gbfs,6,77,133.6,mort
gbfs,7,91,200.8,mort
gbfs,8,64,119.2,mort
gbfs,9,76,131.4,mort
gbfs,10,64,111.6,mort
sur,1,90,169.8,mort
sur,2,76,132.4,boucle
sur,3,97,221.0,mort
sur,4,102,226.8,boucle
sur,5,131,420.0,mort
sur,6,133,409.0,mort
sur,7,141,496.4,mort
sur,8,49,86.0,mort
sur,9,92,175.8,mort
sur,10,85,190.0,mort
hybride,1,223,1366.4,victoire
hybride,2,223,1361.2,victoire
hybride,3,223,1283.8,victoire
hybride,4,223,1360.2,victoire
hybride,5,223,1394.4,victoire
hybride,6,223,1366.2,victoire
hybride,7,223,1436.8,victoire
hybride,8,223,1347.0,victoire
hybride,9,223,1328.0,victoire
hybride,10,223,1389.4,victoire
