algo,controle,risque,graine,score,temps_s,fin
audacieux,queue,0.5,0,137,395.8,mort
audacieux,queue,0.5,1,101,235.2,mort
audacieux,queue,0.5,2,98,235.2,mort
audacieux,queue,0.5,3,83,175.4,mort
audacieux,queue,0.5,4,130,354.6,mort
audacieux,queue,0.5,5,128,357.0,mort
audacieux,queue,0.5,6,135,420.4,mort
audacieux,queue,0.5,7,158,637.2,mort
audacieux,queue,0.5,8,82,163.4,mort
audacieux,queue,0.5,9,145,431.6,mort
audacieux,queue,0.5,10,202,861.4,mort
audacieux,queue,0.5,11,199,863.0,mort
audacieux,queue,0.5,12,94,203.8,mort
audacieux,queue,0.5,13,133,364.6,mort
audacieux,queue,0.5,14,181,676.4,mort
audacieux,queue,0.5,15,217,953.2,mort
audacieux,queue,0.5,16,130,375.4,mort
audacieux,queue,0.5,17,95,224.0,mort
audacieux,queue,0.5,18,91,203.0,mort
audacieux,queue,0.5,19,188,763.2,mort
audacieux,queue,0.5,20,152,460.4,mort
audacieux,queue,0.5,21,140,439.0,mort
audacieux,queue,0.5,22,180,821.8,mort
audacieux,queue,0.5,23,199,905.0,mort
audacieux,queue,0.5,24,148,467.2,mort
audacieux,queue,0.5,25,100,193.8,mort
audacieux,queue,0.5,26,216,1591.4,boucle
audacieux,queue,0.5,27,188,763.0,mort
audacieux,queue,0.5,28,124,326.0,mort
audacieux,queue,0.5,29,138,394.4,mort
audacieux,queue,0.5,30,109,228.0,mort
audacieux,queue,0.5,31,102,224.0,mort
audacieux,queue,0.5,32,135,407.8,mort
audacieux,queue,0.5,33,111,310.0,mort
audacieux,queue,0.5,34,126,322.8,mort
audacieux,queue,0.5,35,182,695.8,mort
audacieux,queue,0.5,36,101,220.4,mort
audacieux,queue,0.5,37,111,245.0,mort
audacieux,queue,0.5,38,157,586.2,mort
audacieux,queue,0.5,39,77,163.8,mort
audacieux,queue,0.5,40,142,476.8,mort
audacieux,queue,0.5,41,146,495.2,mort
audacieux,queue,0.5,42,215,1867.6,boucle
audacieux,queue,0.5,43,166,577.8,mort
audacieux,queue,0.5,44,124,382.0,mort
audacieux,queue,0.5,45,81,157.0,mort
audacieux,queue,0.5,46,169,613.4,mort
audacieux,queue,0.5,47,220,1646.4,boucle
audacieux,queue,0.5,48,171,604.2,mort
audacieux,queue,0.5,49,89,191.8,mort
audacieux,queue,0.5,50,181,768.4,mort
audacieux,queue,0.5,51,79,171.6,mort
audacieux,queue,0.5,52,132,321.4,mort
audacieux,queue,0.5,53,181,779.2,mort
audacieux,queue,0.5,54,85,170.4,mort
audacieux,queue,0.5,55,117,285.8,mort
audacieux,queue,0.5,56,214,1735.8,boucle
audacieux,queue,0.5,57,157,655.4,mort
audacieux,queue,0.5,58,106,281.4,mort
audacieux,queue,0.5,59,139,444.0,mort
audacieux,queue,0.5,60,189,790.2,mort
audacieux,queue,0.5,61,140,404.0,mort
audacieux,queue,0.5,62,99,222.8,mort
audacieux,queue,0.5,63,165,663.6,mort
audacieux,queue,0.5,64,118,279.8,mort
audacieux,queue,0.5,65,152,467.8,mort
audacieux,queue,0.5,66,137,430.8,mort
audacieux,queue,0.5,67,76,135.2,mort
audacieux,queue,0.5,68,181,629.0,mort
audacieux,queue,0.5,69,138,414.8,mort
audacieux,queue,0.5,70,108,230.4,mort
audacieux,queue,0.5,71,123,294.6,mort
audacieux,queue,0.5,72,219,1760.6,boucle
audacieux,queue,0.5,73,140,412.2,mort
audacieux,queue,0.5,74,215,1836.2,boucle
audacieux,queue,0.5,75,202,947.2,mort
audacieux,queue,0.5,76,82,181.0,mort
audacieux,queue,0.5,77,113,296.2,mort
audacieux,queue,0.5,78,95,207.8,mort
audacieux,queue,0.5,79,191,785.8,mort
audacieux,queue,0.5,80,121,323.2,mort
audacieux,queue,0.5,81,167,648.6,mort
audacieux,queue,0.5,82,85,183.2,mort
audacieux,queue,0.5,83,188,692.0,mort
audacieux,queue,0.5,84,145,438.2,mort
audacieux,queue,0.5,85,223,1065.4,victoire
audacieux,queue,0.5,86,97,226.0,mort
audacieux,queue,0.5,87,162,738.4,mort
audacieux,queue,0.5,88,155,489.4,mort
audacieux,queue,0.5,89,161,538.6,mort
audacieux,queue,0.5,90,170,553.6,mort
audacieux,queue,0.5,91,183,725.8,mort
audacieux,queue,0.5,92,103,232.6,mort
audacieux,queue,0.5,93,191,804.6,mort
audacieux,queue,0.5,94,185,689.2,mort
audacieux,queue,0.5,95,98,208.0,mort
audacieux,queue,0.5,96,167,592.6,mort
audacieux,queue,0.5,97,90,197.8,mort
audacieux,queue,0.5,98,168,553.6,mort
audacieux,queue,0.5,99,94,204.4,mort
audacieux,queue,0.5,100,193,839.8,mort
audacieux,queue,0.5,101,84,158.4,mort
audacieux,queue,0.5,102,127,336.8,mort
audacieux,queue,0.5,103,213,1786.4,boucle
audacieux,queue,0.5,104,181,760.8,mort
audacieux,queue,0.5,105,165,644.0,mort
audacieux,queue,0.5,106,66,115.4,mort
audacieux,queue,0.5,107,110,277.8,mort
audacieux,queue,0.5,108,211,1311.2,mort
