partie,score,record,moyenne,etapes,temps_ecoule_s,victoire
1,0,0,0.00,301,0.1,False
2,2,2,1.00,407,0.2,False
3,2,2,1.33,473,0.3,False
4,4,4,2.00,258,0.3,False
5,3,4,2.20,196,0.4,False
6,3,4,2.33,339,0.4,False
7,3,4,2.43,305,0.5,False
8,3,4,2.50,110,0.5,False
9,4,4,2.67,170,0.5,False
10,3,4,2.70,111,0.5,False
11,3,4,2.73,136,0.6,False
12,5,5,2.92,93,0.6,False
13,2,5,2.85,108,0.6,False
14,2,5,2.79,84,0.6,False
15,2,5,2.73,286,0.7,False
16,6,6,2.94,222,0.7,False
17,6,6,3.12,163,0.7,False
18,4,6,3.17,153,0.8,False
19,4,6,3.21,125,0.8,False
20,6,6,3.35,211,0.8,False
21,4,6,3.38,115,0.8,False
22,4,6,3.41,58,0.8,False
23,9,9,3.65,214,0.9,False
24,2,9,3.58,41,0.9,False
25,5,9,3.64,148,0.9,False
26,5,9,3.69,99,0.9,False
27,5,9,3.74,67,1.0,False
28,6,9,3.82,141,1.0,False
29,2,9,3.76,38,1.0,False
30,8,9,3.90,134,1.0,False
31,6,9,3.97,91,1.0,False
32,13,13,4.25,241,1.1,False
33,12,13,4.48,221,1.1,False
34,10,13,4.65,200,1.1,False
35,8,13,4.74,115,1.2,False
36,12,13,4.94,174,1.2,False
37,2,13,4.86,21,1.2,False
38,14,14,5.11,270,1.3,False
39,17,17,5.41,224,1.3,False
40,9,17,5.50,73,1.3,False
41,8,17,5.56,86,1.3,False
42,8,17,5.62,138,1.4,False
43,2,17,5.53,39,1.4,False
44,12,17,5.68,171,1.4,False
45,3,17,5.62,38,1.4,False
46,4,17,5.59,56,1.4,False
47,16,17,5.81,187,1.5,False
48,12,17,5.94,140,1.5,False
49,15,17,6.12,186,1.5,False
50,15,17,6.30,171,1.5,False
51,11,17,6.39,127,1.6,False
52,25,25,6.75,273,1.6,False
53,16,25,6.92,175,1.7,False
54,12,25,7.02,170,1.7,False
55,6,25,7.00,62,1.7,False
56,14,25,7.12,175,1.7,False
57,17,25,7.30,183,1.8,False
58,21,25,7.53,225,1.8,False
59,2,25,7.44,11,1.8,False
60,8,25,7.45,91,1.8,False
61,10,25,7.49,143,1.9,False
62,9,25,7.52,75,1.9,False
63,10,25,7.56,122,1.9,False
64,31,31,7.92,277,1.9,False
65,16,31,8.05,181,2.0,False
66,12,31,8.11,145,2.0,False
67,36,36,8.52,363,2.1,False
68,11,36,8.56,140,2.1,False
69,18,36,8.70,201,2.1,False
70,17,36,8.81,155,2.2,False
71,13,36,8.87,125,2.2,False
72,44,44,9.36,473,2.3,False
73,34,44,9.70,314,2.3,False
74,28,44,9.95,237,2.4,False
75,17,44,10.04,129,2.4,False
76,19,44,10.16,198,2.4,False
77,36,44,10.49,305,2.5,False
78,11,44,10.50,86,2.5,False
79,17,44,10.58,190,2.5,False
80,17,44,10.66,162,2.6,False
81,33,44,10.94,279,2.6,False
82,35,44,11.23,310,2.7,False
83,42,44,11.60,383,2.7,False
84,52,52,12.08,478,2.8,False
85,37,52,12.38,357,2.9,False
86,31,52,12.59,288,3.0,False
87,21,52,12.69,177,3.0,False
88,39,52,12.99,331,3.0,False
89,45,52,13.35,419,3.1,False
90,39,52,13.63,350,3.2,False
91,28,52,13.79,243,3.2,False
92,44,52,14.12,395,3.3,False
93,11,52,14.09,83,3.3,False
94,14,52,14.09,82,3.3,False
95,22,52,14.17,178,3.4,False
96,21,52,14.24,192,3.4,False
97,25,52,14.35,213,3.5,False
98,35,52,14.56,312,3.6,False
99,34,52,14.76,340,3.6,False
100,22,52,14.83,193,3.7,False
101,49,52,15.17,434,3.7,False
102,38,52,15.39,305,3.8,False
103,38,52,15.61,300,3.8,False
104,44,52,15.88,449,3.9,False
105,15,52,15.88,119,3.9,False
106,36,52,16.07,334,4.0,False
107,28,52,16.18,266,4.1,False
108,45,52,16.44,413,4.1,False
109,52,52,16.77,503,4.2,False
110,11,52,16.72,78,4.2,False
111,22,52,16.77,187,4.3,False
112,22,52,16.81,204,4.3,False
113,29,52,16.92,298,4.4,False
114,41,52,17.13,415,4.4,False
115,50,52,17.42,479,4.5,False
116,37,52,17.59,294,4.6,False
117,19,52,17.60,174,4.6,False
118,18,52,17.60,143,4.6,False
119,15,52,17.58,143,4.7,False
120,30,52,17.68,269,4.7,False
121,28,52,17.77,266,4.8,False
122,8,52,17.69,66,4.8,False
123,30,52,17.79,253,4.8,False
124,37,52,17.94,378,4.9,False
125,45,52,18.16,455,5.0,False
126,32,52,18.27,279,5.0,False
127,21,52,18.29,166,5.1,False
128,12,52,18.24,98,5.1,False
129,28,52,18.32,269,5.1,False
130,38,52,18.47,326,5.2,False
131,19,52,18.47,182,5.2,False
132,21,52,18.49,200,5.3,False
133,14,52,18.46,94,5.3,False
134,13,52,18.42,115,5.3,False
135,19,52,18.42,169,5.3,False
136,43,52,18.60,469,5.4,False
137,33,52,18.71,344,5.5,False
138,35,52,18.83,303,5.6,False
139,45,52,19.01,411,5.6,False
140,30,52,19.09,296,5.7,False
141,18,52,19.09,156,5.7,False
142,31,52,19.17,299,5.8,False
143,23,52,19.20,169,5.8,False
144,18,52,19.19,162,5.8,False
145,44,52,19.36,429,5.9,False
146,23,52,19.38,215,6.0,False
147,27,52,19.44,229,6.0,False
148,21,52,19.45,190,6.0,False
149,15,52,19.42,130,6.1,False
150,31,52,19.49,292,6.1,False
151,16,52,19.47,120,6.1,False
152,15,52,19.44,100,6.2,False
153,28,52,19.50,229,6.2,False
154,13,52,19.45,117,6.2,False
155,27,52,19.50,245,6.3,False
156,11,52,19.45,90,6.3,False
157,22,52,19.46,210,6.3,False
158,22,52,19.48,197,6.4,False
159,42,52,19.62,379,6.5,False
160,39,52,19.74,385,6.5,False
161,11,52,19.69,83,6.6,False
162,25,52,19.72,201,6.6,False
163,23,52,19.74,179,6.7,False
164,37,52,19.85,334,6.7,False
165,22,52,19.86,200,6.8,False
166,28,52,19.91,262,6.8,False
167,29,52,19.96,236,6.9,False
168,25,52,19.99,210,6.9,False
169,28,52,20.04,241,7.0,False
170,27,52,20.08,218,7.0,False
171,33,52,20.16,336,7.1,False
172,26,52,20.19,181,7.1,False
173,15,52,20.16,148,7.1,False
174,33,52,20.24,280,7.2,False
175,22,52,20.25,201,7.2,False
176,28,52,20.29,229,7.3,False
177,24,52,20.31,192,7.3,False
178,17,52,20.29,154,7.3,False
179,12,52,20.25,124,7.4,False
180,40,52,20.36,412,7.5,False
181,23,52,20.37,170,7.5,False
182,20,52,20.37,210,7.5,False
183,12,52,20.32,109,7.5,False
184,15,52,20.29,126,7.6,False
185,12,52,20.25,85,7.6,False
186,25,52,20.27,185,7.6,False
187,40,52,20.38,386,7.7,False
188,41,52,20.49,394,7.8,False
189,43,52,20.61,379,7.9,False
190,20,52,20.61,185,7.9,False
191,28,52,20.64,203,7.9,False
192,41,52,20.75,516,8.0,False
193,15,52,20.72,120,8.0,False
194,19,52,20.71,164,8.1,False
195,40,52,20.81,415,8.2,False
196,22,52,20.82,183,8.2,False
197,27,52,20.85,270,8.2,False
198,31,52,20.90,274,8.3,False
199,8,52,20.83,58,8.3,False
200,27,52,20.86,244,8.4,False
201,16,52,20.84,130,8.4,False
202,29,52,20.88,250,8.4,False
203,33,52,20.94,279,8.5,False
204,15,52,20.91,123,8.5,False
205,19,52,20.90,145,8.5,False
206,21,52,20.90,207,8.6,False
207,20,52,20.90,164,8.6,False
208,18,52,20.88,143,8.6,False
209,15,52,20.86,134,8.7,False
210,12,52,20.81,99,8.7,False
211,21,52,20.82,192,8.7,False
212,20,52,20.81,149,8.7,False
213,33,52,20.87,307,8.8,False
214,18,52,20.86,168,8.8,False
215,26,52,20.88,203,8.9,False
216,26,52,20.90,225,8.9,False
217,40,52,20.99,375,9.0,False
218,25,52,21.01,222,9.0,False
219,44,52,21.11,395,9.1,False
220,14,52,21.08,111,9.1,False
221,23,52,21.09,144,9.1,False
222,8,52,21.03,73,9.2,False
223,30,52,21.07,253,9.2,False
224,24,52,21.08,197,9.3,False
225,16,52,21.06,138,9.3,False
226,13,52,21.03,101,9.3,False
227,21,52,21.03,191,9.3,False
228,25,52,21.04,228,9.4,False
229,13,52,21.01,111,9.4,False
230,24,52,21.02,216,9.4,False
231,20,52,21.02,172,9.5,False
232,40,52,21.10,331,9.5,False
233,62,62,21.27,679,9.7,False
234,37,62,21.34,283,9.7,False
235,17,62,21.32,148,9.7,False
236,25,62,21.34,218,9.8,False
237,17,62,21.32,135,9.8,False
238,34,62,21.37,297,9.9,False
239,55,62,21.51,543,10.0,False
240,57,62,21.66,575,10.1,False
241,14,62,21.63,121,10.1,False
242,28,62,21.66,259,10.2,False
243,48,62,21.77,434,10.2,False
244,16,62,21.74,138,10.3,False
245,54,62,21.87,534,10.4,False
246,41,62,21.95,372,10.4,False
247,23,62,21.96,221,10.5,False
248,25,62,21.97,251,10.5,False
249,14,62,21.94,91,10.5,False
250,27,62,21.96,203,10.6,False
251,22,62,21.96,194,10.6,False
252,14,62,21.92,111,10.6,False
253,21,62,21.92,186,10.7,False
254,32,62,21.96,279,10.7,False
255,49,62,22.07,535,10.8,False
256,8,62,22.01,76,10.8,False
257,34,62,22.06,283,10.9,False
258,16,62,22.03,163,10.9,False
259,37,62,22.09,303,11.0,False
260,45,62,22.18,469,11.1,False
261,59,62,22.32,562,11.2,False
262,35,62,22.37,313,11.3,False
263,62,62,22.52,641,11.7,False
264,31,62,22.55,308,11.8,False
265,25,62,22.56,249,11.8,False
266,26,62,22.58,223,11.9,False
267,9,62,22.52,65,11.9,False
268,13,62,22.49,95,11.9,False
269,44,62,22.57,412,12.0,False
270,22,62,22.57,179,12.1,False
271,9,62,22.52,63,12.1,False
272,24,62,22.52,182,12.1,False
273,24,62,22.53,162,12.1,False
274,12,62,22.49,94,12.2,False
275,40,62,22.55,359,12.2,False
276,39,62,22.61,340,12.3,False
277,23,62,22.61,207,12.3,False
278,38,62,22.67,277,12.4,False
279,34,62,22.71,290,12.4,False
280,30,62,22.74,250,12.5,False
281,33,62,22.77,313,12.5,False
282,27,62,22.79,262,12.6,False
283,31,62,22.82,271,12.6,False
284,36,62,22.86,327,12.7,False
285,36,62,22.91,324,12.8,False
286,39,62,22.97,436,12.8,False
287,20,62,22.95,173,12.9,False
288,33,62,22.99,400,12.9,False
289,52,62,23.09,503,13.0,False
290,18,62,23.07,130,13.1,False
291,42,62,23.14,382,13.1,False
292,18,62,23.12,180,13.2,False
293,30,62,23.14,278,13.2,False
294,39,62,23.20,337,13.3,False
295,29,62,23.22,231,13.3,False
296,28,62,23.23,243,13.4,False
297,49,62,23.32,546,13.5,False
298,27,62,23.33,276,13.5,False
299,27,62,23.34,213,13.6,False
300,17,62,23.32,129,13.6,False
