partie,score,record,moyenne,etapes,temps_ecoule_s,victoire
1,2,2,2.00,338,0.2,False
2,1,2,1.50,455,0.4,False
3,2,2,1.67,379,0.6,False
4,2,2,1.75,222,0.7,False
5,3,3,2.00,300,0.8,False
6,3,3,2.17,121,0.9,False
7,2,3,2.14,131,1.0,False
8,3,3,2.25,527,1.2,False
9,2,3,2.22,126,1.3,False
10,4,4,2.40,149,1.3,False
11,4,4,2.55,164,1.4,False
12,5,5,2.75,347,1.6,False
13,3,5,2.77,205,1.7,False
14,4,5,2.86,268,1.8,False
15,3,5,2.87,190,1.9,False
16,3,5,2.88,209,2.0,False
17,3,5,2.88,125,2.1,False
18,2,5,2.83,59,2.1,False
19,2,5,2.79,104,2.1,False
20,4,5,2.85,156,2.2,False
21,6,6,3.00,221,2.3,False
22,2,6,2.95,50,2.4,False
23,5,6,3.04,200,2.4,False
24,4,6,3.08,128,2.5,False
25,10,10,3.36,320,2.6,False
26,7,10,3.50,263,2.7,False
27,15,15,3.93,299,2.9,False
28,2,15,3.86,55,2.9,False
29,4,15,3.86,69,2.9,False
30,4,15,3.87,79,3.0,False
31,9,15,4.03,235,3.1,False
32,5,15,4.06,125,3.1,False
33,7,15,4.15,133,3.2,False
34,9,15,4.29,194,3.3,False
35,10,15,4.46,121,3.3,False
36,6,15,4.50,76,3.4,False
37,3,15,4.46,63,3.4,False
38,3,15,4.42,65,3.4,False
39,2,15,4.36,52,3.5,False
40,5,15,4.38,94,3.5,False
41,19,19,4.73,282,3.6,False
42,8,19,4.81,152,3.7,False
43,19,19,5.14,256,3.8,False
44,8,19,5.20,172,3.9,False
45,3,19,5.16,25,3.9,False
46,5,19,5.15,74,3.9,False
47,9,19,5.23,96,3.9,False
48,26,26,5.67,327,4.1,False
49,24,26,6.04,295,4.2,False
50,3,26,5.98,46,4.2,False
51,3,26,5.92,38,4.2,False
52,5,26,5.90,77,4.3,False
53,16,26,6.09,228,4.4,False
54,7,26,6.11,118,4.4,False
55,35,35,6.64,480,4.6,False
56,29,35,7.04,316,4.7,False
57,17,35,7.21,166,4.8,False
58,6,35,7.19,61,4.9,False
59,7,35,7.19,123,4.9,False
60,17,35,7.35,192,5.0,False
61,41,41,7.90,402,5.2,False
62,24,41,8.16,303,5.3,False
63,8,41,8.16,64,5.3,False
64,28,41,8.47,284,5.4,False
65,17,41,8.60,176,5.5,False
66,11,41,8.64,116,5.6,False
67,8,41,8.63,62,5.6,False
68,7,41,8.60,58,5.6,False
69,27,41,8.87,289,5.7,False
70,44,44,9.37,407,5.9,False
71,19,44,9.51,155,6.0,False
72,4,44,9.43,45,6.0,False
73,38,44,9.82,373,6.2,False
74,38,44,10.20,394,6.4,False
75,22,44,10.36,233,6.5,False
76,72,72,11.17,950,6.8,False
77,57,72,11.77,670,7.1,False
78,52,72,12.28,588,7.4,False
79,3,72,12.16,30,7.4,False
80,49,72,12.62,556,7.6,False
81,81,81,13.47,1352,8.1,False
82,74,81,14.21,1014,8.5,False
83,65,81,14.82,634,8.8,False
84,66,81,15.43,828,9.1,False
85,100,100,16.42,1314,9.6,False
86,77,100,17.13,888,9.9,False
87,69,100,17.72,826,10.3,False
88,62,100,18.23,776,10.6,False
89,83,100,18.96,1127,11.0,False
90,93,100,19.78,1261,11.5,False
91,98,100,20.64,1358,12.0,False
92,74,100,21.22,919,12.3,False
93,89,100,21.95,1165,12.7,False
94,112,112,22.90,1675,13.4,False
95,55,112,23.24,578,13.6,False
96,102,112,24.06,1664,14.2,False
97,83,112,24.67,1034,14.6,False
98,36,112,24.79,304,14.7,False
99,112,112,25.67,1788,15.3,False
100,44,112,25.85,438,15.5,False
101,53,112,26.12,483,15.7,False
102,73,112,26.58,870,16.0,False
103,72,112,27.02,804,16.4,False
104,43,112,27.17,386,16.5,False
105,71,112,27.59,977,16.9,False
106,103,112,28.30,1768,17.5,False
107,97,112,28.94,1241,17.9,False
108,71,112,29.33,782,18.2,False
109,79,112,29.79,1007,18.6,False
110,96,112,30.39,1462,19.2,False
111,84,112,30.87,1145,19.6,False
112,51,112,31.05,513,19.8,False
113,87,112,31.55,1093,20.2,False
114,94,112,32.10,1327,20.6,False
115,100,112,32.69,1390,21.1,False
116,87,112,33.16,1194,21.5,False
117,62,112,33.40,552,21.8,False
118,72,112,33.73,881,22.1,False
119,78,112,34.10,861,22.4,False
120,77,112,34.46,1186,22.9,False
121,92,112,34.93,1267,23.4,False
122,93,112,35.41,1182,23.8,False
123,87,112,35.83,1184,24.2,False
124,71,112,36.11,712,24.5,False
125,73,112,36.41,834,24.8,False
126,76,112,36.72,744,25.1,False
127,52,112,36.84,507,25.3,False
128,92,112,37.27,1150,25.7,False
129,80,112,37.60,1024,26.1,False
130,76,112,37.90,728,26.4,False
131,118,118,38.51,1752,27.0,False
132,70,118,38.75,863,27.3,False
133,73,118,39.01,865,27.6,False
134,64,118,39.19,668,27.9,False
135,87,118,39.55,946,28.3,False
136,83,118,39.87,1127,28.7,False
137,86,118,40.20,1118,29.1,False
138,98,118,40.62,1397,29.5,False
139,111,118,41.13,1492,30.1,False
140,101,118,41.56,1490,30.6,False
141,66,118,41.73,866,30.9,False
142,25,118,41.61,223,31.0,False
143,73,118,41.83,788,31.4,False
144,74,118,42.06,983,31.7,False
145,86,118,42.36,1097,32.1,False
146,97,118,42.73,1441,32.7,False
147,71,118,42.93,788,33.0,False
148,74,118,43.14,883,33.3,False
149,51,118,43.19,560,33.5,False
150,111,118,43.64,1424,34.0,False
151,78,118,43.87,948,34.3,False
152,28,118,43.76,230,34.5,False
153,97,118,44.11,1291,34.9,False
154,75,118,44.31,1120,35.4,False
155,62,118,44.43,716,35.6,False
156,32,118,44.35,303,35.8,False
157,91,118,44.64,1244,36.2,False
158,84,118,44.89,1153,36.6,False
159,92,118,45.19,1122,37.0,False
160,58,118,45.27,589,37.3,False
161,80,118,45.48,1149,37.7,False
162,67,118,45.62,672,38.0,False
163,66,118,45.74,659,38.2,False
164,79,118,45.95,939,38.6,False
165,88,118,46.20,1141,39.0,False
166,93,118,46.48,1194,39.4,False
167,94,118,46.77,1375,39.9,False
168,104,118,47.11,1434,40.4,False
169,88,118,47.35,1040,40.8,False
170,64,118,47.45,804,41.1,False
171,68,118,47.57,672,41.4,False
172,89,118,47.81,1197,41.8,False
173,54,118,47.84,564,42.0,False
174,67,118,47.95,718,42.3,False
175,96,118,48.23,1257,42.8,False
176,120,120,48.64,1794,43.4,False
177,53,120,48.66,451,43.6,False
178,87,120,48.88,1239,44.0,False
179,87,120,49.09,935,44.4,False
180,72,120,49.22,835,44.7,False
181,90,120,49.44,1088,45.1,False
182,100,120,49.72,1258,45.6,False
183,79,120,49.88,1057,46.0,False
184,91,120,50.10,1280,46.5,False
185,88,120,50.31,1140,46.9,False
186,66,120,50.39,750,47.2,False
187,71,120,50.50,910,47.5,False
188,26,120,50.37,230,47.6,False
189,84,120,50.55,994,48.0,False
190,90,120,50.76,1253,48.4,False
191,62,120,50.82,789,48.7,False
192,39,120,50.76,391,48.9,False
193,105,120,51.04,1428,49.4,False
194,100,120,51.29,1704,50.0,False
195,34,120,51.20,303,50.1,False
196,89,120,51.39,1017,50.5,False
197,95,120,51.61,1460,51.0,False
198,90,120,51.81,1219,51.5,False
199,92,120,52.01,1193,51.9,False
200,31,120,51.91,303,52.1,False
201,81,120,52.05,1050,52.4,False
202,107,120,52.32,1632,53.0,False
203,90,120,52.51,1071,53.4,False
204,26,120,52.38,216,53.5,False
205,87,120,52.55,1471,54.0,False
206,84,120,52.70,1054,54.4,False
207,42,120,52.65,395,54.6,False
208,72,120,52.74,931,55.0,False
209,83,120,52.89,1069,55.4,False
210,92,120,53.07,1205,55.8,False
211,103,120,53.31,1738,56.4,False
212,31,120,53.20,256,56.5,False
213,77,120,53.31,1010,56.9,False
214,92,120,53.50,1246,57.3,False
215,96,120,53.69,1552,57.9,False
216,94,120,53.88,1379,58.4,False
217,58,120,53.90,723,58.6,False
218,112,120,54.17,1530,59.2,False
219,98,120,54.37,1299,59.6,False
220,32,120,54.26,289,59.8,False
221,66,120,54.32,786,60.1,False
222,95,120,54.50,1065,60.5,False
223,57,120,54.51,535,60.7,False
224,84,120,54.64,910,61.0,False
225,51,120,54.63,454,61.2,False
226,86,120,54.77,917,61.6,False
227,108,120,55.00,1525,62.1,False
228,64,120,55.04,655,62.4,False
229,108,120,55.27,1590,62.9,False
230,92,120,55.43,1163,63.3,False
231,111,120,55.67,1678,63.9,False
232,89,120,55.81,1268,64.4,False
233,103,120,56.02,1603,65.0,False
234,106,120,56.23,1603,65.5,False
235,86,120,56.36,1097,65.9,False
236,80,120,56.46,1041,66.3,False
237,80,120,56.56,995,66.7,False
238,78,120,56.65,834,67.0,False
239,110,120,56.87,1728,67.6,False
240,96,120,57.03,1220,68.1,False
241,84,120,57.15,979,68.5,False
242,94,120,57.30,1528,69.0,False
243,108,120,57.51,1536,69.6,False
244,71,120,57.56,886,69.9,False
245,75,120,57.63,844,70.2,False
246,116,120,57.87,1720,70.8,False
247,75,120,57.94,889,71.1,False
248,85,120,58.05,1174,71.6,False
249,80,120,58.14,933,71.9,False
250,88,120,58.26,1119,72.3,False
251,81,120,58.35,915,72.7,False
252,88,120,58.46,1239,73.1,False
253,104,120,58.64,1432,73.6,False
254,117,120,58.87,1635,74.3,False
255,71,120,58.92,810,74.6,False
256,91,120,59.05,1144,75.0,False
257,82,120,59.14,984,75.4,False
258,48,120,59.09,411,75.6,False
259,89,120,59.21,1204,76.0,False
260,99,120,59.36,1376,76.5,False
261,16,120,59.20,145,76.6,False
262,103,120,59.36,1404,77.1,False
263,84,120,59.46,1005,77.5,False
264,104,120,59.62,1548,78.0,False
265,90,120,59.74,1174,78.5,False
266,94,120,59.87,1256,78.9,False
267,101,120,60.02,1360,79.4,False
268,104,120,60.19,1541,80.0,False
269,92,120,60.30,1248,80.4,False
270,98,120,60.44,1400,80.9,False
271,66,120,60.46,739,81.2,False
272,87,120,60.56,992,81.6,False
273,64,120,60.58,672,81.8,False
274,99,120,60.72,1428,82.3,False
275,96,120,60.84,1412,82.8,False
276,79,120,60.91,894,83.2,False
277,114,120,61.10,1728,83.7,False
278,86,120,61.19,1231,84.2,False
279,92,120,61.30,1135,84.6,False
280,66,120,61.32,785,84.9,False
281,98,120,61.45,1365,85.4,False
282,109,120,61.62,1645,86.0,False
283,106,120,61.77,1439,86.5,False
284,80,120,61.84,912,86.8,False
285,76,120,61.89,955,87.2,False
286,107,120,62.05,1706,87.8,False
287,94,120,62.16,1426,88.3,False
288,49,120,62.11,501,88.5,False
289,115,120,62.29,1720,89.0,False
290,49,120,62.25,461,89.2,False
291,73,120,62.29,808,89.5,False
292,103,120,62.42,1597,90.1,False
293,65,120,62.43,776,90.4,False
294,45,120,62.37,470,90.6,False
295,103,120,62.51,1559,91.1,False
296,39,120,62.43,352,91.3,False
297,78,120,62.48,1038,91.7,False
298,106,120,62.63,1562,92.2,False
299,88,120,62.72,1105,92.6,False
300,89,120,62.80,1224,93.0,False
