partie,score,record,moyenne,etapes,temps_ecoule_s,victoire
1,2,2,2.00,134,0.1,False
2,2,2,2.00,193,0.2,False
3,2,2,2.00,250,0.3,False
4,1,2,1.75,568,0.5,False
5,2,2,1.80,230,0.6,False
6,2,2,1.83,242,0.7,False
7,2,2,1.86,96,0.8,False
8,2,2,1.88,340,0.9,False
9,2,2,1.89,221,1.0,False
10,2,2,1.90,203,1.1,False
11,2,2,1.91,90,1.1,False
12,2,2,1.92,154,1.2,False
13,2,2,1.92,172,1.3,False
14,2,2,1.93,58,1.3,False
15,6,6,2.20,241,1.4,False
16,6,6,2.44,147,1.5,False
17,4,6,2.53,358,1.6,False
18,7,7,2.78,321,1.8,False
19,5,7,2.89,217,1.8,False
20,3,7,2.90,49,1.8,False
21,5,7,3.00,167,1.9,False
22,7,7,3.18,194,2.0,False
23,8,8,3.39,218,2.1,False
24,2,8,3.33,47,2.1,False
25,2,8,3.28,35,2.1,False
26,3,8,3.27,58,2.1,False
27,14,14,3.67,319,2.3,False
28,8,14,3.82,177,2.3,False
29,16,16,4.24,337,2.5,False
30,11,16,4.47,233,2.6,False
31,7,16,4.55,114,2.6,False
32,13,16,4.81,232,2.7,False
33,9,16,4.94,145,2.8,False
34,5,16,4.94,123,2.8,False
35,2,16,4.86,41,2.8,False
36,11,16,5.03,166,2.9,False
37,11,16,5.19,183,3.0,False
38,10,16,5.32,136,3.0,False
39,5,16,5.31,72,3.1,False
40,18,18,5.62,235,3.1,False
41,13,18,5.80,204,3.2,False
42,10,18,5.90,173,3.3,False
43,6,18,5.91,86,3.3,False
44,16,18,6.14,309,3.5,False
45,5,18,6.11,109,3.5,False
46,2,18,6.02,32,3.5,False
47,8,18,6.06,132,3.6,False
48,3,18,6.00,56,3.6,False
49,10,18,6.08,176,3.7,False
50,7,18,6.10,120,3.7,False
51,12,18,6.22,138,3.8,False
52,15,18,6.38,274,3.9,False
53,21,21,6.66,303,4.0,False
54,18,21,6.87,231,4.1,False
55,2,21,6.78,61,4.1,False
56,11,21,6.86,133,4.2,False
57,38,38,7.40,558,4.4,False
58,24,38,7.69,350,4.5,False
59,16,38,7.83,213,4.6,False
60,34,38,8.27,482,4.8,False
61,18,38,8.43,249,5.0,False
62,27,38,8.73,441,5.1,False
63,22,38,8.94,205,5.2,False
64,25,38,9.19,319,5.4,False
65,2,38,9.08,25,5.4,False
66,40,40,9.55,560,5.6,False
67,8,40,9.52,92,5.6,False
68,24,40,9.74,324,5.8,False
69,21,40,9.90,196,5.8,False
70,40,40,10.33,528,6.0,False
71,35,40,10.68,403,6.2,False
72,7,40,10.62,72,6.2,False
73,39,40,11.01,484,6.4,False
74,23,40,11.18,267,6.6,False
75,24,40,11.35,214,6.6,False
76,74,74,12.17,956,7.0,False
77,26,74,12.35,310,7.1,False
78,25,74,12.51,256,7.3,False
79,47,74,12.95,500,7.5,False
80,111,111,14.18,1690,8.2,False
81,63,111,14.78,636,8.5,False
82,98,111,15.79,1526,9.1,False
83,68,111,16.42,841,9.5,False
84,59,111,16.93,701,9.7,False
85,111,111,18.04,1751,10.4,False
86,50,111,18.41,512,10.6,False
