game,score,record,mean_score,steps,elapsed_s
76,3,3,0.04,53,1.5
77,10,10,0.17,171,1.8
78,8,10,0.27,100,1.9
79,6,10,0.34,84,2.1
80,4,10,0.39,67,2.2
81,6,10,0.46,131,2.4
82,6,10,0.52,68,2.5
83,5,10,0.58,47,2.6
84,7,10,0.65,75,2.7
85,7,10,0.73,114,2.9
86,10,10,0.84,126,3.1
87,11,11,0.95,108,3.3
88,3,11,0.98,22,3.3
89,7,11,1.04,137,3.5
90,12,12,1.17,171,3.8
91,5,12,1.21,54,3.9
92,3,12,1.23,67,4.0
93,9,12,1.31,70,4.1
94,11,12,1.41,162,4.4
95,4,12,1.44,59,4.5
96,7,12,1.50,149,4.8
97,12,12,1.61,143,5.0
98,11,12,1.70,121,5.1
99,6,12,1.75,98,5.3
100,7,12,1.80,100,5.4
101,18,18,1.96,179,5.6
102,11,18,2.05,110,5.8
103,6,18,2.09,77,5.9
104,2,18,2.09,15,5.9
105,9,18,2.15,163,6.1
106,18,18,2.30,204,6.4
107,16,18,2.43,159,6.7
108,21,21,2.60,236,7.0
109,2,21,2.60,29,7.1
110,29,29,2.84,309,7.5
111,5,29,2.86,40,7.6
112,8,29,2.90,75,7.7
113,14,29,3.00,149,7.9
114,28,29,3.22,339,8.4
115,5,29,3.23,53,8.5
116,10,29,3.29,104,8.6
117,15,29,3.39,142,8.8
118,18,29,3.52,183,9.1
119,22,29,3.67,206,9.3
120,9,29,3.72,93,9.5
121,15,29,3.81,161,9.7
122,16,29,3.91,138,9.9
123,7,29,3.93,90,10.0
124,32,32,4.16,336,10.5
125,2,32,4.14,20,10.6
126,35,35,4.39,326,11.0
127,32,35,4.61,325,11.4
128,10,35,4.65,100,11.6
129,8,35,4.67,88,11.7
130,3,35,4.66,26,11.7
131,8,35,4.69,71,11.8
132,47,47,5.01,430,12.4
133,9,47,5.04,113,12.5
134,35,47,5.26,339,13.0
135,49,49,5.59,463,13.6
136,9,49,5.61,65,13.7
137,7,49,5.62,61,13.8
138,68,68,6.07,783,14.8
139,6,68,6.07,63,14.8
140,35,68,6.28,312,15.3
141,44,68,6.55,420,15.8
142,4,68,6.53,37,15.9
143,14,68,6.58,113,16.0
144,36,68,6.78,305,16.5
145,71,71,7.23,963,17.6
146,33,71,7.40,320,18.0
147,62,71,7.78,653,18.8
148,54,71,8.09,548,19.6
149,68,71,8.49,742,20.6
150,86,86,9.01,1072,21.8
151,93,93,9.56,1465,23.7
152,94,94,10.12,1181,25.2
153,60,94,10.44,659,26.0
154,115,115,11.12,1558,27.9
155,94,115,11.66,1312,29.4
156,103,115,12.24,1445,31.0
157,81,115,12.68,852,32.1
158,94,115,13.20,1252,33.7
159,73,115,13.57,862,34.8
160,67,115,13.91,693,35.7
161,80,115,14.32,899,36.8
162,41,115,14.48,379,37.3
163,60,115,14.76,590,38.1
164,98,115,15.27,1530,39.8
165,30,115,15.36,252,40.2
166,58,115,15.61,525,40.9
167,77,115,15.98,917,42.0
168,103,115,16.50,1724,44.5
169,96,115,16.97,1429,46.9
170,89,115,17.39,1528,49.3
171,55,115,17.61,525,50.2
172,101,115,18.10,1300,51.9
173,107,115,18.61,1320,53.7
174,87,115,19.01,1221,55.3
175,82,115,19.37,964,56.5
176,84,115,19.73,1049,57.9
177,103,115,20.20,1429,59.9
178,93,115,20.61,1268,61.6
179,60,115,20.83,685,62.5
180,98,115,21.26,1256,64.1
181,71,115,21.54,781,65.1
182,75,115,21.83,857,66.2
183,92,115,22.21,1147,67.6
