threshold,seed,victory,score,steps,cause,fill,switch_step,switch_fill,ordered_step,transition_steps,shortcuts,seconds
0.0,1000,True,223,11160,victoire,1.0,0,0.013333333333333334,0,1,771,0.58
0.0,1001,True,223,10534,victoire,1.0,0,0.013333333333333334,0,1,756,0.54
0.0,1002,True,223,10896,victoire,1.0,0,0.013333333333333334,0,1,717,0.56
0.0,1003,True,223,11809,victoire,1.0,0,0.013333333333333334,0,1,798,0.61
0.0,1004,True,223,10554,victoire,1.0,0,0.013333333333333334,0,1,713,0.54
0.0,1005,True,223,11793,victoire,1.0,0,0.013333333333333334,0,1,763,0.65
0.0,1006,True,223,11968,victoire,1.0,0,0.013333333333333334,0,1,749,0.67
0.0,1007,True,223,10469,victoire,1.0,0,0.013333333333333334,0,1,734,0.53
0.0,1008,True,223,11520,victoire,1.0,0,0.013333333333333334,0,1,751,0.66
0.0,1009,True,223,11062,victoire,1.0,0,0.013333333333333334,0,1,836,0.6
0.0,1010,True,223,10422,victoire,1.0,0,0.013333333333333334,0,1,717,0.47
0.0,1011,True,223,12139,victoire,1.0,0,0.013333333333333334,0,1,765,0.6
0.0,1012,True,223,10238,victoire,1.0,0,0.013333333333333334,0,1,703,0.51
0.0,1013,True,223,10817,victoire,1.0,0,0.013333333333333334,0,1,744,0.65
0.0,1014,True,223,10737,victoire,1.0,0,0.013333333333333334,0,1,762,0.63
0.0,1015,True,223,11076,victoire,1.0,0,0.013333333333333334,0,1,742,0.63
0.0,1016,True,223,11202,victoire,1.0,0,0.013333333333333334,0,1,724,0.63
0.0,1017,True,223,10735,victoire,1.0,0,0.013333333333333334,0,1,754,0.59
0.0,1018,True,223,11668,victoire,1.0,0,0.013333333333333334,0,1,780,0.64
0.0,1019,True,223,10994,victoire,1.0,0,0.013333333333333334,0,1,725,0.52
0.0,1020,True,223,11300,victoire,1.0,0,0.013333333333333334,0,1,729,0.58
0.0,1021,True,223,11546,victoire,1.0,0,0.013333333333333334,0,1,747,0.58
0.0,1022,True,223,10957,victoire,1.0,0,0.013333333333333334,0,1,731,0.59
0.0,1023,True,223,11205,victoire,1.0,0,0.013333333333333334,0,1,808,0.56
0.0,1024,True,223,10452,victoire,1.0,0,0.013333333333333334,0,1,732,0.55
0.0,1025,True,223,10434,victoire,1.0,0,0.013333333333333334,0,1,685,0.52
0.0,1026,True,223,11248,victoire,1.0,0,0.013333333333333334,0,1,789,0.58
0.0,1027,True,223,10882,victoire,1.0,0,0.013333333333333334,0,1,723,0.53
0.0,1028,True,223,10225,victoire,1.0,0,0.013333333333333334,0,1,725,0.52
0.0,1029,True,223,11996,victoire,1.0,0,0.013333333333333334,0,1,854,0.6
0.05,1000,True,223,11118,victoire,1.0,84,0.05333333333333334,84,1,715,0.61
0.05,1001,True,223,10512,victoire,1.0,70,0.05333333333333334,70,1,694,0.59
0.05,1002,True,223,10836,victoire,1.0,68,0.05333333333333334,68,1,668,0.55
0.05,1003,True,223,11786,victoire,1.0,65,0.05333333333333334,65,1,755,0.6
0.05,1004,True,223,10474,victoire,1.0,64,0.05333333333333334,64,1,665,0.55
0.05,1005,True,223,11767,victoire,1.0,66,0.05333333333333334,66,1,720,0.63
0.05,1006,True,223,11931,victoire,1.0,83,0.05333333333333334,83,1,704,0.62
0.05,1007,True,223,10429,victoire,1.0,77,0.05333333333333334,77,1,688,0.54
0.05,1008,True,223,11476,victoire,1.0,59,0.05333333333333334,59,1,690,0.66
0.05,1009,True,223,10980,victoire,1.0,71,0.05333333333333334,71,1,764,0.56
0.05,1010,True,223,10470,victoire,1.0,67,0.05333333333333334,67,1,709,0.57
0.05,1011,True,223,12032,victoire,1.0,63,0.05333333333333334,63,1,706,0.66
0.05,1012,True,223,10181,victoire,1.0,79,0.05333333333333334,79,1,650,0.52
0.05,1013,True,223,10823,victoire,1.0,67,0.05333333333333334,67,1,693,0.57
