cycle,threshold,seed,victory,score,steps,cause,fill,switch_step,switch_fill,switch_by,secours,ordered_step,transition_steps,shortcuts,rebuilds,rebuild_kept,rebuild_fails,seconds
prudent,0.4,1000,True,223,4503,victoire,1.0,1136,0.4,seuil_B,1,1136,0,0,52,76,8,1.64
prudent,0.4,1001,True,223,3510,victoire,1.0,852,0.40444444444444444,seuil_B,1,852,0,0,66,65,4,1.44
prudent,0.4,1002,True,223,4378,victoire,1.0,967,0.4,seuil_B,1,967,0,0,38,87,11,1.83
prudent,0.4,1003,True,223,4665,victoire,1.0,941,0.4,seuil_B,1,941,0,0,52,78,6,1.71
prudent,0.4,1004,True,223,4248,victoire,1.0,1022,0.4,seuil_B,1,1022,0,0,51,81,4,1.68
prudent,0.4,1005,True,223,4773,victoire,1.0,920,0.4,seuil_B,1,920,0,0,55,76,5,1.52
prudent,0.4,1006,True,223,4463,victoire,1.0,992,0.4,seuil_B,1,992,0,0,50,81,5,1.5
prudent,0.4,1007,True,223,4396,victoire,1.0,987,0.4,seuil_B,1,987,0,0,53,72,11,1.74
prudent,0.4,1008,True,223,3925,victoire,1.0,932,0.4,seuil_B,1,932,0,0,60,70,6,1.51
prudent,0.4,1009,True,223,4261,victoire,1.0,839,0.4,seuil_B,1,839,0,0,42,92,2,1.09
prudent,0.4,1010,True,223,4544,victoire,1.0,959,0.4,seuil_B,1,959,0,0,60,71,5,1.44
prudent,0.4,1011,True,223,4415,victoire,1.0,967,0.4,seuil_B,1,967,0,0,50,83,3,1.18
prudent,0.4,1012,True,223,4748,victoire,1.0,1045,0.4,seuil_B,1,1045,0,0,53,78,5,1.38
prudent,0.4,1013,True,223,4273,victoire,1.0,875,0.4,seuil_B,1,875,0,0,59,76,1,1.27
prudent,0.4,1014,True,223,4631,victoire,1.0,1002,0.4,seuil_B,1,1002,0,0,45,86,5,1.27
prudent,0.4,1015,True,223,4473,victoire,1.0,995,0.4,seuil_B,1,995,0,0,57,77,2,1.25
prudent,0.4,1016,True,223,3918,victoire,1.0,859,0.4,seuil_B,1,859,0,0,49,84,3,1.11
prudent,0.4,1017,True,223,4621,victoire,1.0,956,0.4,seuil_B,1,956,0,0,49,79,8,1.72
prudent,0.4,1018,True,223,3935,victoire,1.0,1006,0.4,seuil_B,1,1006,0,0,52,82,2,1.29
prudent,0.4,1019,True,223,4817,victoire,1.0,898,0.4,seuil_B,1,898,0,0,50,75,11,1.95
prudent,0.4,1020,True,223,4221,victoire,1.0,879,0.4,seuil_B,1,879,0,0,52,78,6,1.41
prudent,0.4,1021,True,223,3978,victoire,1.0,778,0.4,seuil_B,1,778,0,0,58,62,16,2.13
prudent,0.4,1022,True,223,4448,victoire,1.0,787,0.4,seuil_B,1,787,0,0,55,77,4,1.27
prudent,0.4,1023,True,223,4459,victoire,1.0,994,0.4,seuil_A,1,994,0,0,51,75,10,1.99
prudent,0.4,1024,True,223,4434,victoire,1.0,936,0.4,seuil_B,1,936,0,0,58,73,5,1.29
prudent,0.4,1025,True,223,3806,victoire,1.0,995,0.4,seuil_B,1,995,0,0,57,78,1,1.17
prudent,0.4,1026,True,223,3798,victoire,1.0,910,0.4,seuil_B,1,910,0,0,70,61,5,1.88
prudent,0.4,1027,True,223,4570,victoire,1.0,1086,0.4,seuil_B,1,1086,0,0,56,75,5,1.77
prudent,0.4,1028,True,223,4521,victoire,1.0,952,0.4,seuil_B,1,952,0,0,41,94,1,1.25
prudent,0.4,1029,True,223,4376,victoire,1.0,875,0.4,seuil_B,1,875,0,0,53,80,3,1.64
prudent,0.5,1000,True,223,4005,victoire,1.0,1486,0.5022222222222222,seuil_B,1,1486,0,0,42,65,6,1.65
prudent,0.5,1001,True,223,3612,victoire,1.0,1310,0.5022222222222222,seuil_B,1,1310,0,0,44,66,3,1.2
prudent,0.5,1002,True,223,3776,victoire,1.0,1477,0.5022222222222222,seuil_B,1,1477,0,0,51,61,1,1.46
prudent,0.5,1003,True,223,3516,victoire,1.0,1382,0.5022222222222222,seuil_B,1,1382,0,0,40,72,1,1.09
prudent,0.5,1004,True,223,3607,victoire,1.0,1443,0.5022222222222222,seuil_B,1,1443,0,0,39,69,5,1.34
prudent,0.5,1005,True,223,3403,victoire,1.0,1232,0.5022222222222222,seuil_B,1,1232,0,0,35,74,4,1.28
prudent,0.5,1006,True,223,3854,victoire,1.0,1367,0.5022222222222222,seuil_B,1,1367,0,0,31,76,6,1.93
prudent,0.5,1007,True,223,3792,victoire,1.0,1345,0.5022222222222222,seuil_B,1,1345,0,0,41,69,3,1.48
prudent,0.5,1008,True,223,4161,victoire,1.0,1345,0.5022222222222222,seuil_B,1,1345,0,0,32,76,5,1.56
prudent,0.5,1009,True,223,3587,victoire,1.0,1194,0.5022222222222222,seuil_B,1,1194,0,0,46,65,2,1.26
prudent,0.5,1010,True,223,3913,victoire,1.0,1366,0.5022222222222222,seuil_B,1,1366,0,0,46,67,0,1.0
prudent,0.5,1011,True,223,3816,victoire,1.0,1422,0.5022222222222222,seuil_B,1,1422,0,0,43,59,11,1.95
prudent,0.5,1012,True,223,4159,victoire,1.0,1554,0.5022222222222222,seuil_B,1,1554,0,0,42,65,6,2.04
prudent,0.5,1013,True,223,3604,victoire,1.0,1187,0.5022222222222222,seuil_B,1,1187,0,0,44,65,4,1.29
prudent,0.5,1014,True,223,3635,victoire,1.0,1286,0.5022222222222222,seuil_B,1,1286,0,0,47,66,0,1.31
prudent,0.5,1015,True,223,3911,victoire,1.0,1343,0.5022222222222222,seuil_B,1,1343,0,0,46,65,2,1.22
prudent,0.5,1016,True,223,3674,victoire,1.0,1317,0.5022222222222222,seuil_B,1,1317,0,0,44,67,2,1.11
prudent,0.5,1017,True,223,3682,victoire,1.0,1457,0.5022222222222222,seuil_B,1,1457,0,0,42,67,4,1.49
prudent,0.5,1018,True,223,3884,victoire,1.0,1405,0.5022222222222222,seuil_B,1,1405,0,0,38,73,2,1.37
prudent,0.5,1019,True,223,4021,victoire,1.0,1183,0.5022222222222222,seuil_B,1,1183,0,0,25,86,2,1.11
prudent,0.5,1020,True,223,3821,victoire,1.0,1264,0.5022222222222222,seuil_B,1,1264,0,0,46,66,1,1.02
prudent,0.5,1021,True,223,3945,victoire,1.0,1144,0.5022222222222222,seuil_B,1,1144,0,0,35,71,7,1.89
prudent,0.5,1022,True,223,4017,victoire,1.0,1174,0.5022222222222222,seuil_B,1,1174,0,0,34,75,4,1.17
prudent,0.5,1023,True,223,4001,victoire,1.0,1496,0.5022222222222222,seuil_B,1,1496,0,0,44,62,7,1.77
prudent,0.5,1024,True,223,3862,victoire,1.0,1304,0.5022222222222222,seuil_B,1,1304,0,0,36,63,14,2.29
prudent,0.5,1025,True,223,4288,victoire,1.0,1429,0.5022222222222222,seuil_B,1,1429,0,0,22,82,9,2.03
prudent,0.5,1026,True,223,3514,victoire,1.0,1230,0.5022222222222222,seuil_B,1,1230,0,0,42,68,3,1.27
prudent,0.5,1027,True,223,3734,victoire,1.0,1399,0.5022222222222222,seuil_B,1,1399,0,0,47,64,2,1.29
prudent,0.5,1028,True,223,3515,victoire,1.0,1402,0.5022222222222222,seuil_B,1,1402,0,0,41,68,4,1.44
prudent,0.5,1029,True,223,4033,victoire,1.0,1361,0.5022222222222222,seuil_B,1,1361,0,0,43,58,12,1.92
prudent,0.6,1000,True,223,3488,victoire,1.0,1912,0.6,seuil_B,1,1912,0,0,28,62,1,1.03
prudent,0.6,1001,True,223,3391,victoire,1.0,1890,0.6,seuil_B,1,1890,0,0,39,51,1,1.24
prudent,0.6,1002,True,223,3475,victoire,1.0,1852,0.6,seuil_B,1,1852,0,0,22,69,0,1.2
prudent,0.6,1003,True,223,3780,victoire,1.0,2146,0.6,seuil_B,1,2146,0,0,35,56,0,1.15
prudent,0.6,1004,True,223,3609,victoire,1.0,1855,0.6,seuil_B,1,1855,0,0,19,69,3,1.36
prudent,0.6,1005,True,223,3198,victoire,1.0,1743,0.6,seuil_B,1,1743,0,0,42,49,0,1.0
prudent,0.6,1006,True,223,3542,victoire,1.0,1969,0.6,seuil_B,1,1969,0,0,38,52,1,1.19
prudent,0.6,1007,True,223,3464,victoire,1.0,1839,0.6,seuil_B,1,1839,0,0,37,52,2,1.5
prudent,0.6,1008,True,223,3900,victoire,1.0,2184,0.6,seuil_B,1,2184,0,0,37,51,3,1.94
prudent,0.6,1009,True,223,3407,victoire,1.0,1669,0.6088888888888889,seuil_B,1,1669,0,0,38,51,0,1.05
prudent,0.6,1010,True,223,3573,victoire,1.0,2040,0.6044444444444445,seuil_B,1,2040,0,0,27,62,1,1.19
prudent,0.6,1011,True,223,3736,victoire,1.0,1899,0.6,seuil_B,1,1899,0,0,38,51,2,2.11
prudent,0.6,1012,True,223,4302,victoire,1.0,2320,0.6,seuil_B,1,2320,0,0,23,66,2,1.81
