cycle,threshold,seed,victory,score,steps,cause,fill,switch_step,switch_fill,ordered_step,transition_steps,shortcuts,rebuilds,rebuild_kept,rebuild_fails,seconds
reconstruit,0.0,1000,True,223,8053,victoire,1.0,0,0.013333333333333334,0,1,0,92,116,15,253.71
reconstruit,0.0,1001,True,223,8560,victoire,1.0,0,0.013333333333333334,0,1,0,93,121,9,253.41
reconstruit,0.0,1002,True,223,7505,victoire,1.0,0,0.013333333333333334,0,1,0,104,103,16,254.19
reconstruit,0.0,1003,True,223,7821,victoire,1.0,0,0.013333333333333334,0,1,0,107,91,25,253.79
reconstruit,0.0,1004,True,223,7071,victoire,1.0,0,0.013333333333333334,0,1,0,106,104,13,253.35
reconstruit,0.0,1005,True,223,8155,victoire,1.0,0,0.013333333333333334,0,1,0,97,102,24,254.2
reconstruit,0.0,1006,True,223,7448,victoire,1.0,0,0.013333333333333334,0,1,0,104,99,20,253.56
reconstruit,0.0,1007,True,223,6454,victoire,1.0,0,0.013333333333333334,0,1,0,99,108,16,253.71
reconstruit,0.0,1008,True,223,6691,victoire,1.0,0,0.013333333333333334,0,1,0,100,106,17,253.97
reconstruit,0.0,1009,True,223,7788,victoire,1.0,0,0.013333333333333334,0,1,0,97,115,11,253.37
reconstruit,0.0,1010,True,223,7015,victoire,1.0,0,0.013333333333333334,0,1,0,112,99,12,2.95
reconstruit,0.0,1011,True,223,7417,victoire,1.0,0,0.013333333333333334,0,1,0,121,97,5,2.22
reconstruit,0.0,1012,True,223,7755,victoire,1.0,0,0.013333333333333334,0,1,0,109,101,13,2.99
reconstruit,0.0,1013,True,223,7891,victoire,1.0,0,0.013333333333333334,0,1,0,92,101,30,4.19
reconstruit,0.0,1014,True,223,7953,victoire,1.0,0,0.013333333333333334,0,1,0,104,101,18,3.43
reconstruit,0.0,1015,True,223,7490,victoire,1.0,0,0.013333333333333334,0,1,0,103,105,15,3.64
reconstruit,0.0,1016,True,223,7756,victoire,1.0,0,0.013333333333333334,0,1,0,95,117,11,2.96
