cycle,threshold,seed,victory,score,steps,cause,fill,switch_step,switch_fill,switch_by,secours,ordered_step,transition_steps,shortcuts,rebuilds,rebuild_kept,rebuild_fails,seconds
temporel,0.3,1000,True,223,5781,victoire,1.0,577,0.3022222222222222,seuil,3,577,0,0,105,44,11,4.68
temporel,0.3,1001,True,223,7021,victoire,1.0,542,0.3022222222222222,seuil,1,542,0,0,93,57,9,4.57
temporel,0.3,1002,False,195,5626,corps,0.88,556,0.3022222222222222,seuil,13,556,0,0,92,34,6,3.86
temporel,0.3,1003,True,223,5965,victoire,1.0,595,0.3022222222222222,seuil,1,595,0,0,111,42,6,3.92
temporel,0.3,1004,True,223,6604,victoire,1.0,537,0.3022222222222222,seuil,7,537,0,0,97,49,17,6.07
temporel,0.3,1005,True,223,6554,victoire,1.0,594,0.3022222222222222,seuil,3,594,0,0,108,46,7,4.33
temporel,0.3,1006,False,215,5940,corps,0.9688888888888889,533,0.3022222222222222,seuil,7,533,0,0,98,43,12,4.65
temporel,0.3,1007,True,223,5992,victoire,1.0,626,0.3022222222222222,seuil,1,626,0,0,102,43,14,4.81
temporel,0.3,1008,True,223,5284,victoire,1.0,506,0.3022222222222222,seuil,13,506,0,0,110,40,12,4.23
temporel,0.3,1009,False,221,6241,corps,0.9955555555555555,498,0.3022222222222222,seuil,4,498,0,0,109,35,14,4.49
temporel,0.3,1010,True,223,6360,victoire,1.0,561,0.3022222222222222,seuil,1,561,0,0,96,59,4,4.45
temporel,0.3,1011,True,223,6382,victoire,1.0,521,0.3022222222222222,seuil,104,521,0,0,111,42,7,4.24
temporel,0.3,1012,False,211,6355,corps,0.9511111111111111,624,0.3022222222222222,seuil,6,624,0,0,101,38,8,4.31
temporel,0.3,1013,False,216,6700,corps,0.9733333333333334,538,0.3022222222222222,seuil,5,538,0,0,87,55,10,4.47
temporel,0.3,1014,True,223,6568,victoire,1.0,529,0.3022222222222222,seuil,3,529,0,0,105,46,9,5.38
temporel,0.3,1015,True,223,5578,victoire,1.0,557,0.3022222222222222,seuil,1,557,0,0,101,48,10,4.44
temporel,0.3,1016,True,223,6173,victoire,1.0,514,0.3022222222222222,seuil,3,514,0,0,100,48,13,5.51
temporel,0.3,1017,False,221,6306,corps,0.9955555555555555,571,0.3022222222222222,seuil,2,571,0,0,96,46,15,5.36
temporel,0.3,1018,False,177,4733,corps,0.8,600,0.3022222222222222,seuil,13,600,0,0,76,32,6,3.41
temporel,0.3,1019,False,202,5922,corps,0.9111111111111111,591,0.3022222222222222,seuil,14,591,0,0,90,40,9,5.37
temporel,0.3,1020,True,223,5948,victoire,1.0,562,0.3022222222222222,seuil,14,562,0,0,106,41,15,5.69
temporel,0.3,1021,False,219,5844,corps,0.9866666666666667,523,0.3022222222222222,seuil,4,523,0,0,113,36,7,4.46
temporel,0.3,1022,False,217,6393,corps,0.9777777777777777,546,0.3022222222222222,seuil,74,546,0,0,102,44,8,5.49
temporel,0.3,1023,True,223,6583,victoire,1.0,652,0.3022222222222222,seuil,2,652,0,0,97,50,13,5.71
temporel,0.3,1024,True,223,6002,victoire,1.0,588,0.3022222222222222,seuil,6,588,0,0,94,53,15,6.07
temporel,0.3,1025,True,223,6856,victoire,1.0,611,0.3022222222222222,seuil,21,611,0,0,88,55,17,5.85
temporel,0.3,1026,False,197,6092,corps,0.8888888888888888,630,0.3022222222222222,seuil,13,630,0,0,80,43,11,5.51
temporel,0.3,1027,True,223,6635,victoire,1.0,561,0.3022222222222222,seuil,24,561,0,0,106,47,10,5.17
temporel,0.3,1028,True,223,6185,victoire,1.0,612,0.3022222222222222,seuil,1,612,0,0,81,65,13,5.59
temporel,0.3,1029,False,219,7420,corps,0.9866666666666667,593,0.3022222222222222,seuil,5,593,0,0,97,46,14,5.73
temporel,0.4,1000,True,223,6143,victoire,1.0,860,0.4,seuil,16,860,0,0,92,35,16,5.61
temporel,0.4,1001,True,223,6404,victoire,1.0,795,0.4,seuil,2,795,0,0,97,34,7,4.44
temporel,0.4,1002,True,223,6461,victoire,1.0,873,0.4,seuil,3,873,0,0,84,45,10,5.57
temporel,0.4,1003,True,223,6628,victoire,1.0,829,0.4,seuil,1,829,0,0,83,44,10,4.48
temporel,0.4,1004,True,223,6171,victoire,1.0,881,0.4,seuil,1,881,0,0,91,33,13,4.97
temporel,0.4,1005,True,223,6043,victoire,1.0,857,0.4,seuil,60,857,0,0,82,45,12,4.48
temporel,0.4,1006,True,223,5812,victoire,1.0,784,0.4,seuil,8,784,0,0,90,40,8,4.13
temporel,0.4,1007,True,223,6255,victoire,1.0,822,0.4,seuil,5,822,0,0,88,38,13,5.45
temporel,0.4,1008,True,223,5892,victoire,1.0,761,0.4,seuil,227,761,0,0,92,34,14,5.07
temporel,0.4,1009,True,223,5875,victoire,1.0,873,0.4,seuil,2,873,0,0,89,39,10,4.05
temporel,0.4,1010,False,207,5027,corps,0.9333333333333333,842,0.4,seuil,3,842,0,0,77,37,8,3.78
temporel,0.4,1011,False,221,5639,corps,0.9955555555555555,753,0.4,seuil,6,753,0,0,80,47,10,4.75
temporel,0.4,1012,True,223,6377,victoire,1.0,1000,0.4,seuil,3,1000,0,0,78,48,13,5.18
temporel,0.4,1013,True,223,6314,victoire,1.0,794,0.40444444444444444,seuil,13,794,0,0,97,29,12,4.41
temporel,0.4,1014,True,223,6126,victoire,1.0,899,0.4,seuil,3,899,0,0,86,42,9,4.64
temporel,0.4,1015,False,221,6015,corps,0.9955555555555555,847,0.4,seuil,226,847,0,0,88,38,9,12.64
temporel,0.4,1016,True,223,5874,victoire,1.0,833,0.4,seuil,2,833,0,0,87,39,12,4.84
temporel,0.4,1017,True,223,6107,victoire,1.0,781,0.4,seuil,109,781,0,0,91,36,14,5.41
temporel,0.4,1018,True,223,5682,victoire,1.0,953,0.4,seuil,11,953,0,0,95,32,14,5.74
temporel,0.4,1019,True,223,6195,victoire,1.0,936,0.4,seuil,12,936,0,0,78,52,8,4.95
temporel,0.4,1020,True,223,5733,victoire,1.0,917,0.4,seuil,6,917,0,0,93,35,12,4.87
temporel,0.4,1021,False,221,4751,corps,0.9955555555555555,805,0.4,seuil,2,805,0,0,93,37,5,3.37
temporel,0.4,1022,True,223,5388,victoire,1.0,881,0.4,seuil,2,881,0,0,86,39,13,4.86
temporel,0.4,1023,True,223,6634,victoire,1.0,990,0.4,seuil,4,990,0,0,90,42,7,5.26
temporel,0.4,1024,True,223,5441,victoire,1.0,880,0.4,seuil,2,880,0,0,93,36,9,4.71
temporel,0.4,1025,True,223,6793,victoire,1.0,815,0.4,seuil,1,815,0,0,93,32,12,4.56
temporel,0.4,1026,True,223,6408,victoire,1.0,860,0.4,seuil,2,860,0,0,83,45,10,5.44
temporel,0.4,1027,True,223,6435,victoire,1.0,804,0.4,seuil,7,804,0,0,84,38,17,6.39
