n,score,steps,pas_pomme,cause,temps_jeu_s,sec_par_pomme,temps_cpu_ms
1,84,1376,16.38,corps,275.2,3.28,129.6
2,81,1205,14.88,corps,241.0,2.98,106.5
3,59,718,12.17,corps,143.6,2.43,51.4
4,82,1166,14.22,corps,233.2,2.84,111.7
5,85,1025,12.06,corps,205.0,2.41,96.3
6,78,1295,16.60,corps,259.0,3.32,132.9
7,80,1310,16.38,corps,262.0,3.27,120.1
8,105,1634,15.56,corps,326.8,3.11,171.3
9,111,1487,13.40,corps,297.4,2.68,147.9
10,90,1250,13.89,corps,250.0,2.78,120.9
11,98,1380,14.08,corps,276.0,2.82,133.9
12,64,728,11.38,corps,145.6,2.27,55.3
13,97,1476,15.22,corps,295.2,3.04,145.3
14,83,1111,13.39,corps,222.2,2.68,102.9
15,85,1177,13.85,corps,235.4,2.77,116.0
16,92,1171,12.73,corps,234.2,2.55,112.6
17,96,1303,13.57,corps,260.6,2.71,133.8
18,102,1655,16.23,corps,331.0,3.25,170.0
19,78,1154,14.79,corps,230.8,2.96,104.3
20,86,1271,14.78,corps,254.2,2.96,122.5
21,91,1198,13.16,corps,239.6,2.63,116.0
22,101,1251,12.39,corps,250.2,2.48,126.1
23,86,1225,14.24,corps,245.0,2.85,120.5
24,94,1255,13.35,corps,251.0,2.67,119.9
25,82,1307,15.94,corps,261.4,3.19,120.9
26,103,1660,16.12,corps,332.0,3.22,166.4
27,95,1470,15.47,corps,294.0,3.09,151.5
28,101,1597,15.81,corps,319.4,3.16,161.4
29,97,1487,15.33,corps,297.4,3.07,156.3
30,77,814,10.57,corps,162.8,2.11,69.0
31,103,1610,15.63,corps,322.0,3.13,164.3
32,96,1235,12.86,corps,247.0,2.57,119.6
33,91,1461,16.05,corps,292.2,3.21,140.8
34,100,1684,16.84,corps,336.8,3.37,172.6
35,95,1470,15.47,corps,294.0,3.09,144.1
36,68,846,12.44,corps,169.2,2.49,65.9
37,119,1899,15.96,corps,379.8,3.19,193.7
38,88,1328,15.09,corps,265.6,3.02,127.9
39,103,1584,15.38,corps,316.8,3.08,155.6
40,69,853,12.36,corps,170.6,2.47,65.5
41,70,774,11.06,corps,154.8,2.21,61.5
42,84,1072,12.76,corps,214.4,2.55,102.1
43,73,1058,14.49,corps,211.6,2.90,89.1
44,85,1321,15.54,corps,264.2,3.11,127.9
45,73,983,13.47,corps,196.6,2.69,79.9
46,73,969,13.27,corps,193.8,2.65,80.4
47,66,835,12.65,corps,167.0,2.53,64.1
48,99,1224,12.36,corps,244.8,2.47,120.5
49,73,998,13.67,corps,199.6,2.73,82.7
50,115,1998,17.37,corps,399.6,3.47,203.8
