n_game,score,steps,pas_pomme,fill_pct,victoire,cause,eps,loss
1,2,468,234.00,2.2,0,corps,199.90202449591717,0.2173
2,2,269,134.50,2.2,0,corps,199.8040979673415,0.3798
3,2,498,249.00,2.2,0,corps,199.70622038979133,0.2080
4,2,393,196.50,2.2,0,corps,199.60839173879728,0.2628
5,2,280,140.00,2.2,0,corps,199.51061198990217,0.3603
6,1,594,594.00,1.8,0,famine_truncated,199.41288111866112,0.0626
7,0,445,445.00,1.3,0,famine_truncated,199.3151991006413,0.0023
8,2,130,65.00,2.2,0,corps,199.21756591142233,0.7756
9,1,666,666.00,1.8,0,famine_truncated,199.11998152659584,0.0563
10,1,884,884.00,1.8,0,famine_truncated,199.02244592176575,0.0404
11,2,294,147.00,2.2,0,corps,198.92495907254815,0.3310
12,2,529,264.50,2.2,0,corps,198.82752095457133,0.1799
13,2,307,153.50,2.2,0,corps,198.73013154347575,0.3215
14,2,365,182.50,2.2,0,corps,198.63279081491407,0.2650
15,1,572,572.00,1.8,0,famine_truncated,198.53549874455112,0.0644
16,2,649,324.50,2.2,0,corps,198.4382553080639,0.1449
17,2,476,238.00,2.2,0,corps,198.34106048114148,0.1933
18,2,436,218.00,2.2,0,corps,198.2439142394852,0.2244
19,0,445,445.00,1.3,0,famine_truncated,198.14681655880847,0.0071
20,0,445,445.00,1.3,0,famine_truncated,198.04976741483696,0.0016
21,1,538,538.00,1.8,0,famine_truncated,197.95276678330828,0.0690
22,0,445,445.00,1.3,0,famine_truncated,197.85581463997227,0.0022
23,2,207,103.50,2.2,0,corps,197.75891096059095,0.4493
24,1,622,622.00,1.8,0,famine_truncated,197.66205572093838,0.0614
25,2,340,170.00,2.2,0,corps,197.56524889680077,0.2478
26,2,370,185.00,2.2,0,corps,197.46849046397637,0.2614
27,2,242,121.00,2.2,0,corps,197.3717803982756,0.3707
28,2,392,196.00,2.2,0,corps,197.27511867552093,0.2267
29,3,584,194.67,2.7,0,corps,197.17850527154695,0.2040
30,2,229,114.50,2.2,0,corps,197.08194016220028,0.3842
31,2,333,166.50,2.2,0,corps,196.98542332333966,0.2674
32,2,138,69.00,2.2,0,corps,196.8889547308359,0.5558
33,3,539,179.67,2.7,0,corps,196.79253436057178,0.2174
34,0,445,445.00,1.3,0,famine_truncated,196.6961621884423,0.0094
35,1,702,702.00,1.8,0,famine_truncated,196.59983819035435,0.0521
