[50/20000] score=1 steps=546 cause=famine_truncated eps=195.1607427575532
[100/20000] score=2 steps=158 cause=corps eps=190.44096720213994
[150/20000] score=2 steps=79 cause=corps eps=185.83772332039638
[200/20000] score=4 steps=313 cause=corps eps=181.34813393504808
[250/20000] score=2 steps=372 cause=corps eps=176.9693929065807
[300/20000] score=3 steps=335 cause=corps eps=172.69876337931134
[350/20000] score=2 steps=100 cause=corps eps=168.53357607076464
[400/20000] score=2 steps=64 cause=corps eps=164.47122760328443
[450/20000] score=2 steps=27 cause=corps eps=160.50917887683792
[500/20000] score=2 steps=139 cause=corps eps=156.64495348199537
[550/20000] score=2 steps=56 cause=corps eps=152.8761361520938
[600/20000] score=3 steps=169 cause=corps eps=149.2003712536167
[650/20000] score=3 steps=57 cause=corps eps=145.61536131384617
[700/20000] score=3 steps=177 cause=corps eps=142.11886558486785
[750/20000] score=2 steps=112 cause=corps eps=138.70869864303057
[800/20000] score=2 steps=81 cause=corps eps=135.3827290229853
[850/20000] score=4 steps=78 cause=corps eps=132.13887788545006
[900/20000] score=3 steps=117 cause=corps eps=128.9751177178676
[950/20000] score=3 steps=97 cause=corps eps=125.88947106714394
[1000/20000] score=2 steps=100 cause=corps eps=122.88000930367615
[1050/20000] score=3 steps=123 cause=corps eps=119.94485141589577
[1100/20000] score=2 steps=103 cause=corps eps=117.08216283457537
[1150/20000] score=3 steps=31 cause=corps eps=114.29015428616331
[1200/20000] score=3 steps=47 cause=corps eps=111.56708067442918
[1250/20000] score=2 steps=86 cause=corps eps=108.91123998972209
[1300/20000] score=2 steps=62 cause=corps eps=106.32097224515915
[1350/20000] score=2 steps=155 cause=corps eps=103.79465843907964
[1400/20000] score=3 steps=61 cause=corps eps=101.33071954311626
[1450/20000] score=7 steps=158 cause=corps eps=98.92761551525105
[1500/20000] score=5 steps=118 cause=corps eps=96.58384433723887
[1550/20000] score=2 steps=142 cause=corps eps=94.2979410757973
[1600/20000] score=3 steps=66 cause=corps eps=92.06847696697544
[1650/20000] score=6 steps=209 cause=corps eps=89.89405852313006
[1700/20000] score=4 steps=71 cause=corps eps=87.77332666195043
[1750/20000] score=4 steps=46 cause=corps eps=85.70495585698764
[1800/20000] score=6 steps=101 cause=corps eps=83.68765330915743
[1850/20000] score=6 steps=94 cause=corps eps=81.7201581386986
[1900/20000] score=2 steps=25 cause=corps eps=79.80124059708224
[1950/20000] score=8 steps=252 cause=corps eps=77.92970129837876
[2000/20000] score=2 steps=32 cause=corps eps=76.1043704696027
[2050/20000] score=2 steps=38 cause=corps eps=74.32410721956651
[2100/20000] score=5 steps=122 cause=corps eps=72.58779882578644
[2150/20000] score=8 steps=234 cause=corps eps=70.89436003899478
[2200/20000] score=2 steps=41 cause=corps eps=69.2427324048236
[2250/20000] score=2 steps=30 cause=corps eps=67.63188360223656
[2300/20000] score=15 steps=239 cause=corps eps=66.06080679829445
[2350/20000] score=2 steps=25 cause=corps eps=64.52852001885189
[2400/20000] score=6 steps=125 cause=corps eps=63.034065534791615
[2450/20000] score=7 steps=110 cause=corps eps=61.576509263412426
[2500/20000] score=3 steps=87 cause=corps eps=60.15494018459726
[2550/20000] score=2 steps=84 cause=corps eps=58.768469771395836
[2600/20000] score=6 steps=122 cause=corps eps=57.41623143466648
