n_game,score,steps,pas_pomme,fill_pct,victoire,cause,eps,loss
1,2,151,75.50,2.2,0,corps,79,0.6733
2,2,294,147.00,2.2,0,corps,78,0.3412
3,3,286,95.33,2.7,0,corps,77,0.4884
4,1,406,406.00,1.8,0,famine_timeout_flaw,76,0.1675
5,2,317,158.50,2.2,0,corps,75,0.3238
6,2,417,208.50,2.2,0,corps,74,0.2423
7,4,256,64.00,3.1,0,corps,73,0.6239
8,7,381,54.43,4.4,0,corps,72,0.7271
9,2,109,54.50,2.2,0,corps,71,0.8324
10,2,412,206.00,2.2,0,corps,70,0.2330
11,2,143,71.50,2.2,0,corps,69,0.6232
12,5,342,68.40,3.6,0,corps,68,0.5155
13,2,247,123.50,2.2,0,corps,67,0.3856
14,2,255,127.50,2.2,0,corps,66,0.3523
15,2,167,83.50,2.2,0,corps,65,0.5599
16,3,156,52.00,2.7,0,corps,64,0.7624
17,5,171,34.20,3.6,0,corps,63,0.9750
18,6,180,30.00,4.0,0,corps,62,1.1050
19,2,159,79.50,2.2,0,corps,61,0.5046
20,2,272,136.00,2.2,0,corps,60,0.2917
21,5,272,54.40,3.6,0,corps,59,0.6236
22,3,230,76.67,2.7,0,corps,58,0.4680
23,3,54,18.00,2.7,0,corps,57,2.2509
24,5,222,44.40,3.6,0,corps,56,0.7121
25,3,129,43.00,2.7,0,corps,55,0.7083
26,4,154,38.50,3.1,0,corps,54,0.8609
27,5,279,55.80,3.6,0,corps,53,0.6134
28,5,173,34.60,3.6,0,corps,52,0.8628
29,2,52,26.00,2.2,0,corps,51,0.9781
30,7,312,44.57,4.4,0,corps,50,0.5615
31,4,164,41.00,3.1,0,corps,49,0.6946
32,4,152,38.00,3.1,0,corps,48,0.8083
33,6,230,38.33,4.0,0,corps,47,0.7462
34,4,105,26.25,3.1,0,corps,46,1.0770
35,2,31,15.50,2.2,0,corps,45,1.5183
36,6,172,28.67,4.0,0,corps,44,0.9234
37,7,159,22.71,4.4,0,corps,43,1.1615
38,7,200,28.57,4.4,0,corps,42,0.9483
39,5,118,23.60,3.6,0,corps,41,1.0500
40,8,157,19.62,4.9,0,corps,40,1.2939
41,9,209,23.22,5.3,0,corps,39,0.8256
42,2,80,40.00,2.2,0,corps,38,0.6222
43,4,50,12.50,3.1,0,corps,37,1.4049
44,4,117,29.25,3.1,0,corps,36,0.9096
45,3,50,16.67,2.7,0,corps,35,1.2897
46,10,172,17.20,5.8,0,corps,34,1.4161
47,10,289,28.90,5.8,0,corps,33,0.8287
48,3,99,33.00,2.7,0,corps,32,0.7398
49,14,291,20.79,7.6,0,corps,31,0.8984
50,9,235,26.11,5.3,0,corps,30,0.7494
51,9,199,22.11,5.3,0,corps,29,0.8845
52,3,61,20.33,2.7,0,corps,28,0.9093
53,8,157,19.62,4.9,0,corps,27,0.9398
54,10,214,21.40,5.8,0,corps,26,0.7302
55,9,225,25.00,5.3,0,corps,25,0.6884
56,26,433,16.65,12.9,0,corps,24,1.0027
57,8,106,13.25,4.9,0,corps,23,1.2909
58,19,314,16.53,9.8,0,corps,22,0.8364
59,6,88,14.67,4.0,0,corps,21,1.4129
60,15,310,20.67,8.0,0,corps,20,0.8142
61,21,388,18.48,10.7,0,corps,19,0.8638
62,16,200,12.50,8.4,0,corps,18,1.3421
63,8,111,13.88,4.9,0,corps,17,1.3131
64,19,223,11.74,9.8,0,corps,16,1.3677
65,23,317,13.78,11.6,0,corps,15,0.8984
66,19,255,13.42,9.8,0,corps,14,0.9686
67,20,333,16.65,10.2,0,corps,13,0.9224
68,19,245,12.89,9.8,0,corps,12,0.9963
69,16,248,15.50,8.4,0,corps,11,0.9119
70,16,183,11.44,8.4,0,corps,10,1.1519
71,25,367,14.68,12.4,0,corps,9,0.9087
72,25,411,16.44,12.4,0,corps,8,0.8494
73,17,280,16.47,8.9,0,corps,7,0.8423
74,16,242,15.12,8.4,0,corps,6,0.8808
75,13,199,15.31,7.1,0,corps,5,0.7713
76,34,518,15.24,16.4,0,corps,4,0.9020
77,57,760,13.33,26.7,0,corps,3,0.9801
78,18,218,12.11,9.3,0,corps,2,1.0162
79,15,189,12.60,8.0,0,corps,1,0.7853
80,32,457,14.28,15.6,0,corps,0,0.7677
81,32,384,12.00,15.6,0,corps,0,0.8778
82,40,505,12.62,19.1,0,corps,0,0.9411
83,39,508,13.03,18.7,0,corps,0,0.9389
84,35,510,14.57,16.9,0,corps,0,0.8471
85,12,213,17.75,6.7,0,corps,0,0.6635
86,47,737,15.68,22.2,0,corps,0,0.8156
87,29,368,12.69,14.2,0,corps,0,0.8714
88,44,600,13.64,20.9,0,corps,0,0.8024
89,26,306,11.77,12.9,0,corps,0,0.8569
90,40,569,14.22,19.1,0,corps,0,0.8827
91,39,518,13.28,18.7,0,corps,0,0.8352
92,19,185,9.74,9.8,0,corps,0,1.3461
93,27,346,12.81,13.3,0,corps,0,0.8018
94,40,555,13.88,19.1,0,corps,0,0.9120
95,43,636,14.79,20.4,0,corps,0,0.7695
96,16,193,12.06,8.4,0,corps,0,1.0033
97,33,447,13.55,16.0,0,corps,0,0.7993
98,42,537,12.79,20.0,0,corps,0,1.0791
99,25,320,12.80,12.4,0,corps,0,0.7204
100,45,697,15.49,21.3,0,corps,0,0.7829
101,29,421,14.52,14.2,0,corps,0,0.8974
102,41,484,11.80,19.6,0,corps,0,0.8576
103,43,617,14.35,20.4,0,corps,0,0.7840
104,51,779,15.27,24.0,0,corps,0,0.8390
105,32,426,13.31,15.6,0,corps,0,0.8506
106,23,243,10.57,11.6,0,corps,0,1.1988
107,44,649,14.75,20.9,0,corps,0,0.9366
108,31,401,12.94,15.1,0,corps,0,0.9224
109,19,261,13.74,9.8,0,corps,0,0.7898
110,24,251,10.46,12.0,0,corps,0,1.0270
111,50,673,13.46,23.6,0,corps,0,0.9133
112,29,349,12.03,14.2,0,corps,0,0.9335
113,36,424,11.78,17.3,0,corps,0,1.0870
