n_game,score,steps,pas_pomme,fill_pct,victoire,cause,eps,loss
1,3,356,118.67,2.7,0,corps,199.62037974679328,0.3792
2,2,223,111.50,2.2,0,corps,199.2415179753584,0.4608
3,0,445,445.00,1.3,0,famine_truncated,198.8634131702477,0.0019
4,2,166,83.00,2.2,0,corps,198.48606381904153,0.5678
5,3,181,60.33,2.7,0,corps,198.10946841234193,0.7234
6,0,445,445.00,1.3,0,famine_truncated,197.7336254437668,0.0055
7,2,419,209.50,2.2,0,corps,197.35853340994376,0.2327
8,2,151,75.50,2.2,0,corps,196.98419081050417,0.6511
9,1,469,469.00,1.8,0,famine_truncated,196.61059614807715,0.0709
10,0,445,445.00,1.3,0,famine_truncated,196.2377479282835,0.0043
11,2,149,74.50,2.2,0,corps,195.86564465972992,0.6319
12,0,445,445.00,1.3,0,famine_truncated,195.49428485400279,0.0084
13,2,607,303.50,2.2,0,corps,195.12366702566237,0.1575
14,2,572,286.00,2.2,0,corps,194.75378969223692,0.1583
15,2,102,51.00,2.2,0,corps,194.38465137421653,0.8607
16,2,291,145.50,2.2,0,corps,194.01625059504755,0.2828
17,2,523,261.50,2.2,0,corps,193.64858588112625,0.1870
18,0,445,445.00,1.3,0,famine_truncated,193.2816557617934,0.0066
19,2,200,100.00,2.2,0,corps,192.91545876932793,0.4678
20,2,217,108.50,2.2,0,corps,192.5499934389414,0.4050
21,0,445,445.00,1.3,0,famine_truncated,192.18525830877206,0.0106
22,2,226,113.00,2.2,0,corps,191.82125191987888,0.3717
23,2,506,253.00,2.2,0,corps,191.4579728162358,0.1661
24,0,445,445.00,1.3,0,famine_truncated,191.0954195447259,0.0117
25,2,377,188.50,2.2,0,corps,190.73359065513566,0.2059
26,2,341,170.50,2.2,0,corps,190.37248470014902,0.2323
27,2,506,253.00,2.2,0,corps,190.01210023534168,0.1416
28,0,445,445.00,1.3,0,famine_truncated,189.6524358191753,0.0097
29,1,594,594.00,1.8,0,famine_truncated,189.29349001299173,0.0561
30,0,445,445.00,1.3,0,famine_truncated,188.93526138100725,0.0082
31,2,274,137.00,2.2,0,corps,188.57774849030687,0.2690
32,2,34,17.00,2.2,0,corps,188.22094991083858,2.0997
33,2,124,62.00,2.2,0,corps,187.86486421540758,0.6720
34,2,367,183.50,2.2,0,corps,187.50948997967058,0.2323
35,2,365,182.50,2.2,0,corps,187.15482578213016,0.2196
36,2,188,94.00,2.2,0,corps,186.8008702041291,0.3340
37,2,426,213.00,2.2,0,corps,186.4476218298446,0.1866
38,2,220,110.00,2.2,0,corps,186.09507924628264,0.3002
39,2,217,108.50,2.2,0,corps,185.74324104327246,0.3376
40,2,626,313.00,2.2,0,corps,185.3921058134608,0.1294
41,0,445,445.00,1.3,0,famine_truncated,185.04167215230623,0.0313
42,0,445,445.00,1.3,0,famine_truncated,184.6919386580737,0.0115
43,0,445,445.00,1.3,0,famine_truncated,184.3429039318287,0.0167
44,1,487,487.00,1.8,0,famine_truncated,183.99456657743187,0.0710
45,2,201,100.50,2.2,0,corps,183.64692520153335,0.3363
46,2,87,43.50,2.2,0,corps,183.29997841356717,0.7845
47,2,487,243.50,2.2,0,corps,182.95372482574572,0.1548
48,2,473,236.50,2.2,0,corps,182.60816305305417,0.1520
49,0,445,445.00,1.3,0,famine_truncated,182.26329171324497,0.0223
50,2,182,91.00,2.2,0,corps,181.9191094268323,0.3405
51,2,367,183.50,2.2,0,corps,181.5756148170866,0.1804
52,1,641,641.00,1.8,0,famine_truncated,181.23280651002892,0.0761
53,2,517,258.50,2.2,0,corps,180.8906831344256,0.1162
54,2,136,68.00,2.2,0,corps,180.54924332178263,0.4611
55,2,550,275.00,2.2,0,corps,180.20848570634035,0.1302
56,2,523,261.50,2.2,0,corps,179.86840892506788,0.1358
57,2,294,147.00,2.2,0,corps,179.52901161765757,0.2069
58,2,354,177.00,2.2,0,corps,179.19029242651982,0.1800
59,0,445,445.00,1.3,0,famine_truncated,178.8522499967773,0.0203
60,2,145,72.50,2.2,0,corps,178.5148829762599,0.4390
61,2,213,106.50,2.2,0,corps,178.17819001549915,0.3324
