n_game,score,steps,pas_pomme,fill_pct,victoire,cause,eps,loss
1,2,587,293.50,2.2,0,corps,199.90202449591717,0.1741
2,0,445,445.00,1.3,0,famine_truncated,199.8040979673415,0.0037
3,1,613,613.00,1.8,0,famine_truncated,199.70622038979133,0.0573
4,2,363,181.50,2.2,0,corps,199.60839173879728,0.2825
5,2,213,106.50,2.2,0,corps,199.51061198990217,0.4646
6,1,527,527.00,1.8,0,famine_truncated,199.41288111866112,0.0663
7,0,445,445.00,1.3,0,famine_truncated,199.3151991006413,0.0008
8,1,462,462.00,1.8,0,famine_truncated,199.21756591142233,0.0746
9,2,604,302.00,2.2,0,corps,199.11998152659584,0.1583
10,0,445,445.00,1.3,0,famine_truncated,199.02244592176575,0.0035
11,0,445,445.00,1.3,0,famine_truncated,198.92495907254815,0.0006
12,1,708,708.00,1.8,0,famine_truncated,198.82752095457133,0.0491
13,2,557,278.50,2.2,0,corps,198.73013154347575,0.1647
14,1,468,468.00,1.8,0,famine_truncated,198.63279081491407,0.0587
15,2,168,84.00,2.2,0,corps,198.53549874455112,0.5990
16,2,368,184.00,2.2,0,corps,198.4382553080639,0.2620
17,2,180,90.00,2.2,0,corps,198.34106048114148,0.5211
18,3,502,167.33,2.7,0,corps,198.2439142394852,0.2420
19,2,359,179.50,2.2,0,corps,198.14681655880847,0.2499
20,0,445,445.00,1.3,0,famine_truncated,198.04976741483696,0.0105
21,2,93,46.50,2.2,0,corps,197.95276678330828,0.9487
22,2,271,135.50,2.2,0,corps,197.85581463997227,0.3123
23,1,493,493.00,1.8,0,famine_truncated,197.75891096059095,0.0706
24,2,547,273.50,2.2,0,corps,197.66205572093838,0.1637
25,0,445,445.00,1.3,0,famine_truncated,197.56524889680077,0.0092
26,0,445,445.00,1.3,0,famine_truncated,197.46849046397637,0.0040
27,3,191,63.67,2.7,0,corps,197.3717803982756,0.6215
28,2,392,196.00,2.2,0,corps,197.27511867552093,0.2320
29,2,462,231.00,2.2,0,corps,197.17850527154695,0.2056
30,2,602,301.00,2.2,0,corps,197.08194016220028,0.1522
31,0,445,445.00,1.3,0,famine_truncated,196.98542332333966,0.0074
32,2,417,208.50,2.2,0,corps,196.8889547308359,0.1782
33,1,493,493.00,1.8,0,famine_truncated,196.79253436057178,0.0825
34,2,174,87.00,2.2,0,corps,196.6961621884423,0.4337
35,0,445,445.00,1.3,0,famine_truncated,196.59983819035435,0.0191
36,3,377,125.67,2.7,0,corps,196.50356234222696,0.2839
37,2,401,200.50,2.2,0,corps,196.4073346199911,0.2069
38,2,76,38.00,2.2,0,corps,196.31115499958997,0.9679
39,2,471,235.50,2.2,0,corps,196.21502345697857,0.1615
40,2,418,209.00,2.2,0,corps,196.11893996812404,0.1560
41,3,507,169.00,2.7,0,corps,196.0229045090055,0.1913
42,2,301,150.50,2.2,0,corps,195.92691705561407,0.2782
43,2,872,436.00,2.2,0,corps,195.83097758395294,0.0848
44,2,463,231.50,2.2,0,corps,195.73508607003717,0.1367
45,0,445,445.00,1.3,0,famine_truncated,195.63924248989392,0.0145
46,2,460,230.00,2.2,0,corps,195.5434468195623,0.1452
47,1,723,723.00,1.8,0,famine_truncated,195.4476990350934,0.0598
48,2,147,73.50,2.2,0,corps,195.3519991125502,0.3398
49,3,491,163.67,2.7,0,corps,195.25634702800784,0.1917
50,3,171,57.00,2.7,0,corps,195.1607427575532,0.5801
51,3,629,209.67,2.7,0,corps,195.06518627728525,0.1459
52,2,740,370.00,2.2,0,corps,194.96967756331486,0.0906
53,2,304,152.00,2.2,0,corps,194.87421659176488,0.2265
54,2,206,103.00,2.2,0,corps,194.77880333877,0.2552
55,2,183,91.50,2.2,0,corps,194.683437780477,0.2624
56,3,588,196.00,2.7,0,corps,194.5881198930444,0.1593
57,2,614,307.00,2.2,0,corps,194.49284965264278,0.1013
