n,score,steps,pas_pomme,cause,temps_jeu_s,sec_par_pomme,temps_cpu_ms
1,42,486,11.57,corps,97.2,2.31,16.4
2,29,416,14.34,corps,83.2,2.87,14.6
3,54,684,12.67,corps,136.8,2.53,22.5
4,51,693,13.59,corps,138.6,2.72,27.1
5,67,1031,15.39,corps,206.2,3.08,29.0
6,24,233,9.71,corps,46.6,1.94,5.8
7,40,549,13.72,corps,109.8,2.75,16.1
8,52,689,13.25,corps,137.8,2.65,22.7
9,40,534,13.35,corps,106.8,2.67,16.9
10,52,623,11.98,corps,124.6,2.40,20.8
11,33,327,9.91,corps,65.4,1.98,8.2
12,47,535,11.38,corps,107.0,2.28,13.1
13,21,257,12.24,corps,51.4,2.45,10.8
14,30,342,11.40,corps,68.4,2.28,10.5
15,56,790,14.11,corps,158.0,2.82,27.2
16,47,534,11.36,corps,106.8,2.27,16.9
17,40,457,11.43,corps,91.4,2.29,13.7
18,24,236,9.83,corps,47.2,1.97,5.5
19,32,387,12.09,corps,77.4,2.42,9.1
20,39,626,16.05,corps,125.2,3.21,18.4
21,63,946,15.02,corps,189.2,3.00,29.5
22,64,1004,15.69,corps,200.8,3.14,26.2
23,32,389,12.16,corps,77.8,2.43,13.7
24,24,263,10.96,corps,52.6,2.19,6.9
25,48,626,13.04,corps,125.2,2.61,16.7
26,32,308,9.62,corps,61.6,1.93,7.6
27,36,450,12.50,corps,90.0,2.50,13.9
28,20,253,12.65,corps,50.6,2.53,7.7
29,25,268,10.72,corps,53.6,2.14,8.6
30,30,328,10.93,corps,65.6,2.19,12.2
