n_game,score,steps,pas_pomme,fill_pct,victoire,cause,eps,loss
1,2,188,94.00,2.2,0,corps,79,0.6043
2,2,467,233.50,2.2,0,corps,78,0.2337
3,2,281,140.50,2.2,0,corps,77,0.4054
4,2,211,105.50,2.2,0,corps,76,0.5067
5,2,154,77.00,2.2,0,corps,75,0.8178
6,2,160,80.00,2.2,0,corps,74,0.7076
7,2,138,69.00,2.2,0,corps,73,0.7873
8,2,220,110.00,2.2,0,corps,72,0.5006
9,3,584,194.67,2.7,0,corps,71,0.2426
10,2,127,63.50,2.2,0,corps,70,0.8363
11,2,201,100.50,2.2,0,corps,69,0.5053
12,4,218,54.50,3.1,0,corps,68,0.7444
13,2,247,123.50,2.2,0,corps,67,0.4786
14,4,241,60.25,3.1,0,corps,66,0.6053
15,6,196,32.67,4.0,0,corps,65,1.2683
16,2,99,49.50,2.2,0,corps,64,0.9051
17,3,189,63.00,2.7,0,corps,63,0.7518
18,4,168,42.00,3.1,0,corps,62,0.9414
19,6,236,39.33,4.0,0,corps,61,0.8766
20,3,86,28.67,2.7,0,corps,60,1.5538
21,5,175,35.00,3.6,0,corps,59,1.0459
22,5,219,43.80,3.6,0,corps,58,0.7076
23,2,98,49.00,2.2,0,corps,57,1.3218
24,2,105,52.50,2.2,0,corps,56,0.9016
25,2,57,28.50,2.2,0,corps,55,1.0913
26,4,137,34.25,3.1,0,corps,54,0.8644
27,3,123,41.00,2.7,0,corps,53,0.8600
28,5,225,45.00,3.6,0,corps,52,0.4985
29,5,134,26.80,3.6,0,corps,51,1.5131
30,2,59,29.50,2.2,0,corps,50,1.3877
31,5,101,20.20,3.6,0,corps,49,1.1539
32,5,144,28.80,3.6,0,corps,48,1.2186
33,3,61,20.33,2.7,0,corps,47,1.8506
34,2,35,17.50,2.2,0,corps,46,1.6377
35,9,182,20.22,5.3,0,corps,45,1.0456
36,2,56,28.00,2.2,0,corps,44,1.5716
37,11,199,18.09,6.2,0,corps,43,1.2810
38,2,61,30.50,2.2,0,corps,42,1.0022
39,2,36,18.00,2.2,0,corps,41,2.2414
40,3,142,47.33,2.7,0,corps,40,0.5366
41,9,213,23.67,5.3,0,corps,39,1.3871
42,4,59,14.75,3.1,0,corps,38,2.5399
43,8,155,19.38,4.9,0,corps,37,1.5311
44,8,107,13.38,4.9,0,corps,36,2.5050
45,4,95,23.75,3.1,0,corps,35,1.2571
46,3,79,26.33,2.7,0,corps,34,1.1123
47,8,187,23.38,4.9,0,corps,33,0.8517
48,15,424,28.27,8.0,0,corps,32,0.8882
49,13,147,11.31,7.1,0,corps,31,1.5339
50,13,231,17.77,7.1,0,corps,30,1.1382
51,2,29,14.50,2.2,0,corps,29,2.8883
52,17,339,19.94,8.9,0,corps,28,0.9443
53,6,132,22.00,4.0,0,corps,27,0.7861
54,8,198,24.75,4.9,0,corps,26,0.9309
55,29,440,15.17,14.2,0,corps,25,1.2980
