n_game,score,steps,pas_pomme,fill_pct,victoire,cause,eps,loss
1,2,267,133.50,2.2,0,corps,199.90202449591717,0.3872
2,0,445,445.00,1.3,0,famine_truncated,199.8040979673415,0.0029
3,2,638,319.00,2.2,0,corps,199.70622038979133,0.1606
4,2,430,215.00,2.2,0,corps,199.60839173879728,0.2365
5,2,268,134.00,2.2,0,corps,199.51061198990217,0.3953
6,2,593,296.50,2.2,0,corps,199.41288111866112,0.1688
7,2,431,215.50,2.2,0,corps,199.3151991006413,0.2330
8,2,500,250.00,2.2,0,corps,199.21756591142233,0.2061
9,2,356,178.00,2.2,0,corps,199.11998152659584,0.2705
10,2,815,407.50,2.2,0,corps,199.02244592176575,0.1202
11,1,469,469.00,1.8,0,famine_truncated,198.92495907254815,0.0834
12,0,445,445.00,1.3,0,famine_truncated,198.82752095457133,0.0018
13,2,143,71.50,2.2,0,corps,198.73013154347575,0.6766
14,4,410,102.50,3.1,0,corps,198.63279081491407,0.3966
15,3,635,211.67,2.7,0,corps,198.53549874455112,0.2072
16,0,445,445.00,1.3,0,famine_truncated,198.4382553080639,0.0052
17,2,829,414.50,2.2,0,corps,198.34106048114148,0.1173
18,2,577,288.50,2.2,0,corps,198.2439142394852,0.1535
19,0,445,445.00,1.3,0,famine_truncated,198.14681655880847,0.0040
20,2,218,109.00,2.2,0,corps,198.04976741483696,0.3829
21,2,294,147.00,2.2,0,corps,197.95276678330828,0.3569
22,2,185,92.50,2.2,0,corps,197.85581463997227,0.4916
23,0,445,445.00,1.3,0,famine_truncated,197.75891096059095,0.0157
24,2,75,37.50,2.2,0,corps,197.66205572093838,1.0192
25,2,326,163.00,2.2,0,corps,197.56524889680077,0.2911
26,2,254,127.00,2.2,0,corps,197.46849046397637,0.3126
27,0,445,445.00,1.3,0,famine_truncated,197.3717803982756,0.0109
28,2,527,263.50,2.2,0,corps,197.27511867552093,0.1793
29,1,476,476.00,1.8,0,famine_truncated,197.17850527154695,0.0693
30,0,445,445.00,1.3,0,famine_truncated,197.08194016220028,0.0097
31,3,423,141.00,2.7,0,corps,196.98542332333966,0.2804
32,2,569,284.50,2.2,0,corps,196.8889547308359,0.1449
33,1,575,575.00,1.8,0,famine_truncated,196.79253436057178,0.0623
34,1,554,554.00,1.8,0,famine_truncated,196.6961621884423,0.0668
35,3,440,146.67,2.7,0,corps,196.59983819035435,0.2902
36,2,285,142.50,2.2,0,corps,196.50356234222696,0.2699
37,1,646,646.00,1.8,0,famine_truncated,196.4073346199911,0.0635
38,2,126,63.00,2.2,0,corps,196.31115499958997,0.5530
39,2,172,86.00,2.2,0,corps,196.21502345697857,0.4561
40,0,445,445.00,1.3,0,famine_truncated,196.11893996812404,0.0160
41,3,545,181.67,2.7,0,corps,196.0229045090055,0.2182
42,1,729,729.00,1.8,0,famine_truncated,195.92691705561407,0.0683
43,2,84,42.00,2.2,0,corps,195.83097758395294,0.8867
44,1,713,713.00,1.8,0,famine_truncated,195.73508607003717,0.0571
45,2,587,293.50,2.2,0,corps,195.63924248989392,0.1185
46,2,396,198.00,2.2,0,corps,195.5434468195623,0.2071
47,2,606,303.00,2.2,0,corps,195.4476990350934,0.1279
48,2,307,153.50,2.2,0,corps,195.3519991125502,0.2694
49,2,368,184.00,2.2,0,corps,195.25634702800784,0.1973
50,1,452,452.00,1.8,0,famine_truncated,195.1607427575532,0.0767
51,2,81,40.50,2.2,0,corps,195.06518627728525,0.8517
52,0,445,445.00,1.3,0,famine_truncated,194.96967756331486,0.0188
53,0,445,445.00,1.3,0,famine_truncated,194.87421659176488,0.0110
54,3,142,47.33,2.7,0,corps,194.77880333877,0.7019
55,0,445,445.00,1.3,0,famine_truncated,194.683437780477,0.0132
56,2,551,275.50,2.2,0,corps,194.5881198930444,0.1247
57,2,650,325.00,2.2,0,corps,194.49284965264278,0.1335
58,2,577,288.50,2.2,0,corps,194.39762703545455,0.1230
59,0,445,445.00,1.3,0,famine_truncated,194.30245201767406,0.0156
60,0,445,445.00,1.3,0,famine_truncated,194.2073245755076,0.0147
61,2,611,305.50,2.2,0,corps,194.11224468517327,0.1362
62,1,797,797.00,1.8,0,famine_truncated,194.0172123229011,0.0568
63,0,445,445.00,1.3,0,famine_truncated,193.92222746493297,0.0099
64,0,445,445.00,1.3,0,famine_truncated,193.82729008752273,0.0105
65,0,445,445.00,1.3,0,famine_truncated,193.73240016693597,0.0081
66,2,678,339.00,2.2,0,corps,193.63755767945028,0.1034
67,3,282,94.00,2.7,0,corps,193.54276260135498,0.3540
68,2,146,73.00,2.2,0,corps,193.44801490895128,0.5059
69,2,534,267.00,2.2,0,corps,193.35331457855233,0.1342
70,2,454,227.00,2.2,0,corps,193.25866158648302,0.1559
71,2,662,331.00,2.2,0,corps,193.1640559090801,0.1019
72,0,445,445.00,1.3,0,famine_truncated,193.0694975226921,0.0156
73,2,474,237.00,2.2,0,corps,192.9749864036795,0.1439
74,2,80,40.00,2.2,0,corps,192.88052252841447,0.6403
75,1,479,479.00,1.8,0,famine_truncated,192.78610587328106,0.0753
76,2,594,297.00,2.2,0,corps,192.6917364146751,0.1361
77,2,556,278.00,2.2,0,corps,192.59741412900425,0.1219
78,2,188,94.00,2.2,0,corps,192.50313899268787,0.2950
79,2,419,209.50,2.2,0,corps,192.40891098215724,0.1790
80,2,140,70.00,2.2,0,corps,192.31473007385534,0.4346
81,2,294,147.00,2.2,0,corps,192.22059624423696,0.2185
82,2,372,186.00,2.2,0,corps,192.1265094697686,0.2124
83,0,445,445.00,1.3,0,famine_truncated,192.03246972692855,0.0431
84,2,323,161.50,2.2,0,corps,191.93847699220697,0.2094
85,2,395,197.50,2.2,0,corps,191.8445312421056,0.1697
86,0,445,445.00,1.3,0,famine_truncated,191.75063245313802,0.0257
87,1,546,546.00,1.8,0,famine_truncated,191.65678060182952,0.0793
88,2,193,96.50,2.2,0,corps,191.56297566471713,0.3405
89,0,445,445.00,1.3,0,famine_truncated,191.46921761834966,0.0311
90,2,393,196.50,2.2,0,corps,191.3755064392876,0.1733
91,2,484,242.00,2.2,0,corps,191.28184210410308,0.1454
92,2,152,76.00,2.2,0,corps,191.18822458938007,0.3724
93,2,673,336.50,2.2,0,corps,191.09465387171417,0.0972
94,0,445,445.00,1.3,0,famine_truncated,191.00112992771275,0.0234
95,2,379,189.50,2.2,0,corps,190.90765273399478,0.1982
96,2,394,197.00,2.2,0,corps,190.81422226719093,0.1697
97,1,780,780.00,1.8,0,famine_truncated,190.72083850394364,0.0606
98,2,213,106.50,2.2,0,corps,190.62750142090695,0.2717
99,2,116,58.00,2.2,0,corps,190.5342109947466,0.4983
100,0,445,445.00,1.3,0,famine_truncated,190.44096720213994,0.0362
101,2,158,79.00,2.2,0,corps,190.34777001977608,0.3473
102,2,269,134.50,2.2,0,corps,190.2546194243557,0.2573
103,3,557,185.67,2.7,0,corps,190.16151539259113,0.1796
104,2,162,81.00,2.2,0,corps,190.06845790120636,0.3769
105,2,320,160.00,2.2,0,corps,189.97544692693705,0.1858
106,2,197,98.50,2.2,0,corps,189.88248244653045,0.2791
107,2,122,61.00,2.2,0,corps,189.78956443674542,0.4721
108,2,390,195.00,2.2,0,corps,189.69669287435246,0.1787
109,2,454,227.00,2.2,0,corps,189.6038677361337,0.1465
110,2,142,71.00,2.2,0,corps,189.51108899888283,0.4214
111,2,284,142.00,2.2,0,corps,189.4183566394052,0.2185
112,1,727,727.00,1.8,0,famine_truncated,189.32567063451765,0.0682
113,2,387,193.50,2.2,0,corps,189.23303096104874,0.1707
114,2,231,115.50,2.2,0,corps,189.1404375958386,0.2659
115,2,438,219.00,2.2,0,corps,189.04789051573874,0.1617
116,2,309,154.50,2.2,0,corps,188.95538969761253,0.1754
117,2,315,157.50,2.2,0,corps,188.86293511833466,0.1964
118,1,553,553.00,1.8,0,famine_truncated,188.77052675479155,0.0908
119,2,653,326.50,2.2,0,corps,188.6781645838811,0.1093
120,2,95,47.50,2.2,0,corps,188.58584858251274,0.5450
121,2,249,124.50,2.2,0,corps,188.4935787276075,0.3077
122,2,26,13.00,2.2,0,corps,188.4013549960979,2.3346
123,2,433,216.50,2.2,0,corps,188.30917736492802,0.1866
124,2,182,91.00,2.2,0,corps,188.21704581105342,0.2924
125,2,411,205.50,2.2,0,corps,188.12496031144127,0.1752
126,1,684,684.00,1.8,0,famine_truncated,188.03292084307012,0.0808
127,1,548,548.00,1.8,0,famine_truncated,187.94092738293017,0.1198
128,2,291,145.50,2.2,0,corps,187.84897990802298,0.2132
129,2,172,86.00,2.2,0,corps,187.75707839536176,0.3808
130,2,346,173.00,2.2,0,corps,187.66522282197107,0.1974
131,2,405,202.50,2.2,0,corps,187.57341316488706,0.1873
132,1,573,573.00,1.8,0,famine_truncated,187.4816494011573,0.1086
133,2,534,267.00,2.2,0,corps,187.38993150784083,0.1247
134,2,132,66.00,2.2,0,corps,187.29825946200822,0.4700
135,1,625,625.00,1.8,0,famine_truncated,187.20663324074138,0.0895
136,2,102,51.00,2.2,0,corps,187.11505282113384,0.5284
137,0,445,445.00,1.3,0,famine_truncated,187.0235181802905,0.0519
138,0,445,445.00,1.3,0,famine_truncated,186.9320292953276,0.0677
139,2,479,239.50,2.2,0,corps,186.84058614337297,0.1641
140,1,785,785.00,1.8,0,famine_truncated,186.74918870156588,0.0876
141,2,56,28.00,2.2,0,corps,186.65783694705686,1.0039
142,2,141,70.50,2.2,0,corps,186.56653085700805,0.5122
143,0,445,445.00,1.3,0,famine_truncated,186.4752704085929,0.0607
144,2,321,160.50,2.2,0,corps,186.38405557899634,0.2096
145,2,362,181.00,2.2,0,corps,186.2928863454146,0.2169
146,2,205,102.50,2.2,0,corps,186.20176268505537,0.3273
147,2,103,51.50,2.2,0,corps,186.11068457513778,0.4851
148,1,573,573.00,1.8,0,famine_truncated,186.0196519928923,0.1012
149,2,494,247.00,2.2,0,corps,185.92866491556074,0.1718
150,3,133,44.33,2.7,0,corps,185.83772332039638,0.6499
151,3,129,43.00,2.7,0,corps,185.74682718466377,0.5844
152,2,593,296.50,2.2,0,corps,185.65597648563892,0.1557
153,2,136,68.00,2.2,0,corps,185.56517120060914,0.4170
154,3,144,48.00,2.7,0,corps,185.47441130687307,0.6070
155,1,579,579.00,1.8,0,famine_truncated,185.38369678174084,0.1218
156,2,277,138.50,2.2,0,corps,185.2930276025337,0.2810
157,2,163,81.50,2.2,0,corps,185.20240374658442,0.3291
158,2,167,83.50,2.2,0,corps,185.11182519123702,0.3315
159,2,144,72.00,2.2,0,corps,185.02129191384685,0.3540
160,2,434,217.00,2.2,0,corps,184.9308038917806,0.1848
161,2,274,137.00,2.2,0,corps,184.8403611024163,0.2701
162,3,300,100.00,2.7,0,corps,184.74996352314318,0.3649
