n_game,score,steps,pas_pomme,fill_pct,victoire,cause,eps,loss
1,0,301,301.00,1.3,0,famine_timeout_flaw,199.5255932555174,0.1160
2,0,301,301.00,1.3,0,famine_timeout_flaw,199.05237104660964,0.1174
3,2,231,115.50,2.2,0,corps,198.5803304156363,0.4395
4,0,301,301.00,1.3,0,famine_timeout_flaw,198.10946841234193,0.1190
5,0,301,301.00,1.3,0,famine_timeout_flaw,197.63978209383748,0.1170
6,0,301,301.00,1.3,0,famine_timeout_flaw,197.1712685245819,0.1215
7,0,301,301.00,1.3,0,famine_timeout_flaw,196.70392477636392,0.1168
8,0,301,301.00,1.3,0,famine_timeout_flaw,196.2377479282835,0.1199
9,1,403,403.00,1.8,0,famine_timeout_flaw,195.77273506673393,0.1669
10,1,545,545.00,1.8,0,famine_timeout_flaw,195.30888328538322,0.1312
11,2,336,168.00,2.2,0,corps,194.84618968515625,0.3041
12,2,391,195.50,2.2,0,corps,194.38465137421653,0.2543
13,0,301,301.00,1.3,0,famine_timeout_flaw,193.92426546794815,0.1203
14,1,529,529.00,1.8,0,famine_timeout_flaw,193.46502908893763,0.1305
15,0,301,301.00,1.3,0,famine_timeout_flaw,193.00693936695615,0.1161
16,1,635,635.00,1.8,0,famine_timeout_flaw,192.5499934389414,0.1132
17,0,301,301.00,1.3,0,famine_timeout_flaw,192.0941884489799,0.1163
18,2,229,114.50,2.2,0,corps,191.639521548289,0.4271
19,2,384,192.00,2.2,0,corps,191.18598989519901,0.2654
20,0,301,301.00,1.3,0,famine_timeout_flaw,190.73359065513566,0.1162
21,2,23,11.50,2.2,0,corps,190.28232100060222,4.2284
22,2,212,106.00,2.2,0,corps,189.83217811116194,0.4859
23,1,544,544.00,1.8,0,famine_timeout_flaw,189.3831591734202,0.1354
24,0,301,301.00,1.3,0,famine_timeout_flaw,188.93526138100725,0.1215
25,2,191,95.50,2.2,0,corps,188.4884819345604,0.5051
