n_game,score,steps,pas_pomme,fill_pct,victoire,cause,eps,loss
1,2,433,216.50,2.2,0,corps,79,0.2360
2,2,501,250.50,2.2,0,corps,78,0.2037
3,2,348,174.00,2.2,0,corps,77,0.2858
4,2,248,124.00,2.2,0,corps,76,0.4063
5,3,436,145.33,2.7,0,corps,75,0.2812
6,3,240,80.00,2.7,0,corps,74,0.5162
7,2,186,93.00,2.2,0,corps,73,0.5291
8,4,167,41.75,3.1,0,corps,72,1.0019
9,2,159,79.50,2.2,0,corps,71,0.5872
10,2,176,88.00,2.2,0,corps,70,0.5188
11,4,159,39.75,3.1,0,corps,69,0.9151
12,4,393,98.25,3.1,0,corps,68,0.3971
13,2,167,83.50,2.2,0,corps,67,0.5482
14,2,247,123.50,2.2,0,corps,66,0.3855
15,3,129,43.00,2.7,0,corps,65,0.9024
16,2,111,55.50,2.2,0,corps,64,0.7941
17,4,261,65.25,3.1,0,corps,63,0.4905
18,2,213,106.50,2.2,0,corps,62,0.4433
19,2,95,47.50,2.2,0,corps,61,0.8492
20,2,170,85.00,2.2,0,corps,60,0.4650
21,2,147,73.50,2.2,0,corps,59,0.5301
22,3,263,87.67,2.7,0,corps,58,0.3659
23,3,336,112.00,2.7,0,corps,57,0.2894
24,3,143,47.67,2.7,0,corps,56,0.6523
25,2,135,67.50,2.2,0,corps,55,0.4572
26,6,224,37.33,4.0,0,corps,54,0.7257
27,2,234,117.00,2.2,0,corps,53,0.2665
28,3,138,46.00,2.7,0,corps,52,0.6902
29,3,105,35.00,2.7,0,corps,51,0.9276
30,14,357,25.50,7.6,0,corps,50,0.9447
31,5,212,42.40,3.6,0,corps,49,0.5190
32,2,165,82.50,2.2,0,corps,48,0.3497
33,6,257,42.83,4.0,0,corps,47,0.6155
34,7,196,28.00,4.4,0,corps,46,0.8298
35,4,77,19.25,3.1,0,corps,45,1.4246
36,8,224,28.00,4.9,0,corps,44,0.8273
37,6,226,37.67,4.0,0,corps,43,0.7730
38,16,258,16.12,8.4,0,corps,42,1.4077
39,12,254,21.17,6.7,0,corps,41,1.2054
40,2,78,39.00,2.2,0,corps,40,0.8393
41,3,83,27.67,2.7,0,corps,39,0.9266
42,14,348,24.86,7.6,0,corps,38,0.8392
43,9,155,17.22,5.3,0,corps,37,1.3456
