n_game,score,steps,pas_pomme,fill_pct,victoire,cause,eps,loss
1,0,301,301.00,1.3,0,famine_timeout_flaw,79,0.0000
2,1,403,403.00,1.8,0,famine_timeout_flaw,78,0.0000
3,0,301,301.00,1.3,0,famine_timeout_flaw,77,0.0000
4,0,301,301.00,1.3,0,famine_timeout_flaw,76,0.0000
5,0,301,301.00,1.3,0,famine_timeout_flaw,75,0.0000
6,1,403,403.00,1.8,0,famine_timeout_flaw,74,0.0000
7,0,301,301.00,1.3,0,famine_timeout_flaw,73,0.0000
8,1,411,411.00,1.8,0,famine_timeout_flaw,72,0.0000
9,0,301,301.00,1.3,0,famine_timeout_flaw,71,0.0000
10,0,301,301.00,1.3,0,famine_timeout_flaw,70,0.0000
11,1,410,410.00,1.8,0,famine_timeout_flaw,69,0.0000
12,0,301,301.00,1.3,0,famine_timeout_flaw,68,0.0000
13,0,301,301.00,1.3,0,famine_timeout_flaw,67,0.0000
14,0,301,301.00,1.3,0,famine_timeout_flaw,66,0.0000
15,0,301,301.00,1.3,0,famine_timeout_flaw,65,0.0000
16,0,301,301.00,1.3,0,famine_timeout_flaw,64,0.0000
17,0,301,301.00,1.3,0,famine_timeout_flaw,63,0.0000
18,1,405,405.00,1.8,0,famine_timeout_flaw,62,0.0000
19,0,301,301.00,1.3,0,famine_timeout_flaw,61,0.0000
20,0,301,301.00,1.3,0,famine_timeout_flaw,60,0.0000
