episode,start_len,apples,steps,end,epsilon,loss,total_steps,elapsed_s
1,3,9,2000,tronqué,0.987,nan,2000,0
2,3,10,2000,tronqué,0.975,nan,4000,0
3,100,23,2000,tronqué,0.962,0.0710,6000,1
4,66,11,1850,timeout,0.950,0.0296,7850,3
5,194,32,650,win,0.946,0.0577,8500,4
6,56,7,1340,timeout,0.938,0.0944,9840,6
7,3,6,1009,timeout,0.931,0.0954,10849,7
8,3,4,1303,timeout,0.923,0.0730,12152,8
9,154,36,2000,tronqué,0.910,0.0826,14152,10
10,3,1,545,timeout,0.907,0.0663,14697,11
11,138,23,2000,tronqué,0.894,0.0686,16697,13
12,3,1,663,timeout,0.890,0.0592,17360,14
13,3,0,450,timeout,0.887,0.0628,17810,14
14,3,4,893,timeout,0.882,0.0756,18703,15
15,3,3,749,timeout,0.877,0.0824,19452,16
16,3,13,1243,timeout,0.869,0.0957,20695,18
17,141,25,2000,tronqué,0.856,0.1044,22695,20
18,3,13,2000,tronqué,0.844,0.1299,24695,22
19,3,1,659,timeout,0.839,0.1455,25354,23
20,43,3,961,timeout,0.833,0.1567,26315,24
21,15,8,1370,timeout,0.825,0.1745,27685,25
22,122,26,2000,tronqué,0.812,0.1903,29685,28
23,82,24,2000,tronqué,0.799,0.2044,31685,30
24,101,19,2000,tronqué,0.787,0.2174,33685,32
25,9,12,1159,timeout,0.779,0.2190,34844,33
26,21,0,450,timeout,0.776,0.2194,35294,38
27,192,34,649,win,0.772,0.2234,35943,39
28,16,0,450,timeout,0.770,0.2603,36393,40
29,3,8,1694,timeout,0.759,0.2480,38087,42
30,41,12,2000,tronqué,0.746,0.2638,40087,44
31,3,16,2000,tronqué,0.733,0.2593,42087,46
32,80,22,2000,tronqué,0.721,0.2473,44087,48
33,168,28,1769,timeout,0.710,0.2514,45856,52
34,179,47,1754,win,0.698,0.2445,47610,56
35,167,31,2000,tronqué,0.686,0.2458,49610,59
36,183,14,2000,tronqué,0.673,0.2336,51610,63
37,3,15,2000,tronqué,0.660,0.2304,53610,67
38,99,21,2000,tronqué,0.648,0.2240,55610,71
39,175,22,2000,tronqué,0.635,0.2297,57610,75
40,190,7,1467,timeout,0.626,0.2226,59077,77
41,163,26,2000,tronqué,0.613,0.2251,61077,80
42,205,21,129,win,0.612,0.2189,61206,80
43,3,14,1596,timeout,0.602,0.2296,62802,82
44,55,4,1016,timeout,0.596,0.2325,63818,83
45,3,21,2000,tronqué,0.583,0.2248,65818,85
46,73,19,2000,tronqué,0.570,0.2265,67818,88
47,30,14,2000,tronqué,0.558,0.2312,69818,90
48,3,28,2000,tronqué,0.545,0.2207,71818,92
49,77,17,2000,tronqué,0.532,0.2235,73818,95
50,3,25,2000,tronqué,0.520,0.2328,75818,97
51,132,27,2000,tronqué,0.507,0.2280,77818,104
52,46,18,2000,tronqué,0.494,0.2209,79818,107
53,3,17,1178,timeout,0.487,0.2391,80996,108
54,3,33,2000,tronqué,0.474,0.2182,82996,111
55,3,33,2000,tronqué,0.462,0.2159,84996,113
56,70,17,1746,timeout,0.451,0.2122,86742,115
57,153,45,2000,tronqué,0.438,0.2264,88742,117
58,3,29,2000,tronqué,0.425,0.2045,90742,120
59,52,12,1898,timeout,0.413,0.2059,92640,122
60,170,25,2000,tronqué,0.401,0.2049,94640,125
61,3,31,2000,tronqué,0.388,0.2010,96640,127
62,3,30,2000,tronqué,0.375,0.2089,98640,130
63,14,26,2000,tronqué,0.363,0.1959,100640,132
64,31,16,2000,tronqué,0.350,0.1971,102640,135
65,3,35,2000,tronqué,0.337,0.1994,104640,137
66,211,15,63,win,0.337,0.2048,104703,137
67,195,31,207,win,0.336,0.1920,104910,138
68,105,25,2000,tronqué,0.323,0.2098,106910,140
69,3,38,2000,tronqué,0.310,0.2047,108910,142
70,3,30,2000,tronqué,0.298,0.2047,110910,145
71,155,27,2000,tronqué,0.285,0.2074,112910,147
72,3,32,2000,tronqué,0.272,0.1985,114910,150
73,119,32,2000,tronqué,0.260,0.2068,116910,152
74,8,35,2000,tronqué,0.247,0.2098,118910,155
75,14,28,2000,tronqué,0.234,0.2017,120910,157
76,3,31,2000,tronqué,0.222,0.2087,122910,164
77,3,48,2000,tronqué,0.209,0.2052,124910,166
78,181,45,1970,win,0.196,0.2093,126880,168
79,3,38,2000,tronqué,0.184,0.2144,128880,171
80,3,42,2000,tronqué,0.171,0.2076,130880,173
81,3,45,2000,tronqué,0.158,0.2092,132880,175
82,181,45,1919,win,0.146,0.2259,134799,178
83,159,30,2000,tronqué,0.134,0.2244,136799,180
84,29,34,2000,tronqué,0.121,0.2225,138799,182
85,3,53,2000,tronqué,0.108,0.2185,140799,185
86,62,27,2000,tronqué,0.096,0.2222,142799,187
87,200,26,173,win,0.095,0.2414,142972,187
88,3,50,2000,tronqué,0.082,0.2311,144972,190
89,101,23,2000,tronqué,0.069,0.2329,146972,192
90,64,33,2000,tronqué,0.057,0.2197,148972,194
91,70,2,677,timeout,0.052,0.2350,149649,195
92,3,53,2000,tronqué,0.050,0.2143,151649,197
93,3,56,2000,tronqué,0.050,0.2207,153649,200
94,93,27,2000,tronqué,0.050,0.2248,155649,202
95,3,53,2000,tronqué,0.050,0.2328,157649,204
96,83,23,2000,tronqué,0.050,0.2257,159649,207
97,172,54,1534,win,0.050,0.2316,161183,209
98,3,57,2000,tronqué,0.050,0.2290,163183,211
99,3,55,2000,tronqué,0.050,0.2246,165183,213
100,3,64,2000,tronqué,0.050,0.2457,167183,216
101,201,25,141,win,0.050,0.1944,167324,220
102,3,55,2000,tronqué,0.050,0.2539,169324,222
103,119,32,2000,tronqué,0.050,0.2544,171324,225
104,3,53,2000,tronqué,0.050,0.2632,173324,227
105,3,58,2000,tronqué,0.050,0.2512,175324,230
106,3,52,2000,tronqué,0.050,0.2570,177324,232
107,169,21,2000,tronqué,0.050,0.2449,179324,235
108,91,31,2000,tronqué,0.050,0.2647,181324,238
109,3,61,2000,tronqué,0.050,0.2524,183324,240
110,109,29,2000,tronqué,0.050,0.2565,185324,243
111,3,56,2000,tronqué,0.050,0.2598,187324,245
112,64,37,2000,tronqué,0.050,0.2687,189324,247
113,3,52,2000,tronqué,0.050,0.2723,191324,250
114,127,36,2000,tronqué,0.050,0.2678,193324,252
115,3,51,2000,tronqué,0.050,0.2768,195324,254
116,205,21,98,win,0.050,0.2904,195422,254
117,130,32,2000,tronqué,0.050,0.2764,197422,257
118,3,57,2000,tronqué,0.050,0.2741,199422,259
119,3,57,2000,tronqué,0.050,0.2906,201422,261
120,25,44,2000,tronqué,0.050,0.2948,203422,263
121,17,40,2000,tronqué,0.050,0.3073,205422,265
122,137,23,2000,tronqué,0.050,0.2771,207422,268
123,50,37,2000,tronqué,0.050,0.2975,209422,270
124,170,20,2000,tronqué,0.050,0.2978,211422,272
125,3,52,2000,tronqué,0.050,0.2798,213422,275
126,128,28,2000,tronqué,0.050,0.2861,215422,281
127,167,59,1912,win,0.050,0.2923,217334,283
128,146,28,2000,tronqué,0.050,0.2963,219334,285
129,78,33,2000,tronqué,0.050,0.3150,221334,288
130,40,43,2000,tronqué,0.050,0.2878,223334,290
131,29,46,2000,tronqué,0.050,0.3082,225334,292
132,3,55,2000,tronqué,0.050,0.3071,227334,294
133,3,56,2000,tronqué,0.050,0.2807,229334,297
134,193,33,597,win,0.050,0.2911,229931,297
135,3,47,2000,tronqué,0.050,0.3011,231931,300
136,3,52,2000,tronqué,0.050,0.2922,233931,302
137,35,38,2000,tronqué,0.050,0.3029,235931,304
138,102,24,2000,tronqué,0.050,0.2912,237931,306
139,16,44,2000,tronqué,0.050,0.2996,239931,309
140,3,56,2000,tronqué,0.050,0.3021,241931,311
141,88,45,2000,tronqué,0.050,0.2939,243931,313
142,108,37,2000,tronqué,0.050,0.2776,245931,315
143,3,57,2000,tronqué,0.050,0.2739,247931,318
144,151,26,2000,tronqué,0.050,0.2822,249931,320
145,138,37,2000,tronqué,0.050,0.2724,251931,322
146,122,24,2000,tronqué,0.050,0.2920,253931,325
147,89,31,2000,tronqué,0.050,0.3005,255931,328
148,3,62,2000,tronqué,0.050,0.2654,257931,330
149,63,32,2000,tronqué,0.050,0.2859,259931,333
150,115,26,2000,tronqué,0.050,0.2751,261931,335
151,84,19,2000,tronqué,0.050,0.2715,263931,342
152,54,33,2000,tronqué,0.050,0.2600,265931,344
153,3,54,2000,tronqué,0.050,0.2626,267931,347
154,3,61,2000,tronqué,0.050,0.2511,269931,349
155,3,55,2000,tronqué,0.050,0.2498,271931,351
156,128,30,2000,tronqué,0.050,0.2350,273931,354
157,142,26,2000,tronqué,0.050,0.2486,275931,356
158,190,36,1194,win,0.050,0.2498,277125,358
159,126,29,2000,tronqué,0.050,0.2683,279125,360
160,106,26,2000,tronqué,0.050,0.2670,281125,362
161,13,52,2000,tronqué,0.050,0.2551,283125,365
162,3,54,2000,tronqué,0.050,0.2530,285125,367
163,3,52,2000,tronqué,0.050,0.2728,287125,369
