partie,score,record,score_moyen,epsilon,victoire
1,0,0,0.000,1.000,0
2,0,0,0.000,0.990,0
3,0,0,0.000,0.980,0
4,0,0,0.000,0.970,0
5,0,0,0.000,0.960,0
6,0,0,0.000,0.950,0
7,1,1,0.143,0.940,0
8,0,1,0.125,0.930,0
9,0,1,0.111,0.920,0
10,0,1,0.100,0.910,0
11,1,1,0.182,0.900,0
12,1,1,0.250,0.890,0
13,0,1,0.231,0.880,0
14,0,1,0.214,0.870,0
15,0,1,0.200,0.860,0
16,0,1,0.188,0.850,0
17,0,1,0.176,0.840,0
18,0,1,0.167,0.830,0
19,1,1,0.211,0.820,0
20,0,1,0.200,0.810,0
21,0,1,0.190,0.800,0
22,1,1,0.227,0.790,0
23,0,1,0.217,0.780,0
24,1,1,0.250,0.770,0
25,0,1,0.240,0.760,0
26,0,1,0.231,0.750,0
27,1,1,0.259,0.740,0
28,0,1,0.250,0.730,0
29,2,2,0.310,0.720,0
30,0,2,0.300,0.710,0
31,1,2,0.323,0.700,0
32,0,2,0.312,0.690,0
33,1,2,0.333,0.680,0
34,0,2,0.324,0.670,0
35,0,2,0.314,0.660,0
36,2,2,0.361,0.650,0
37,0,2,0.351,0.640,0
38,0,2,0.342,0.630,0
39,2,2,0.385,0.620,0
40,1,2,0.400,0.610,0
41,0,2,0.390,0.600,0
42,0,2,0.381,0.590,0
43,0,2,0.372,0.580,0
44,1,2,0.386,0.570,0
45,2,2,0.422,0.560,0
46,0,2,0.413,0.550,0
47,3,3,0.468,0.540,0
48,0,3,0.458,0.530,0
49,1,3,0.469,0.520,0
50,0,3,0.460,0.510,0
51,0,3,0.451,0.500,0
52,2,3,0.481,0.490,0
53,2,3,0.509,0.480,0
54,4,4,0.574,0.470,0
55,0,4,0.564,0.460,0
56,2,4,0.589,0.450,0
57,1,4,0.596,0.440,0
58,3,4,0.638,0.430,0
59,2,4,0.661,0.420,0
60,0,4,0.650,0.410,0
61,4,4,0.705,0.400,0
62,1,4,0.710,0.390,0
63,4,4,0.762,0.380,0
64,1,4,0.766,0.370,0
65,3,4,0.800,0.360,0
66,3,4,0.833,0.350,0
67,2,4,0.851,0.340,0
68,0,4,0.838,0.330,0
69,4,4,0.884,0.320,0
70,2,4,0.900,0.310,0
71,1,4,0.901,0.300,0
72,0,4,0.889,0.290,0
73,0,4,0.877,0.280,0
74,1,4,0.878,0.270,0
75,1,4,0.880,0.260,0
76,1,4,0.882,0.250,0
77,3,4,0.909,0.240,0
78,1,4,0.910,0.230,0
79,3,4,0.937,0.220,0
80,6,6,1.000,0.210,0
81,2,6,1.012,0.200,0
82,2,6,1.024,0.190,0
83,2,6,1.036,0.180,0
84,2,6,1.048,0.170,0
85,4,6,1.082,0.160,0
86,9,9,1.174,0.150,0
87,14,14,1.322,0.140,0
88,10,14,1.420,0.130,0
89,5,14,1.461,0.120,0
90,3,14,1.478,0.110,0
91,5,14,1.516,0.100,0
92,5,14,1.554,0.090,0
93,10,14,1.645,0.080,0
94,8,14,1.713,0.070,0
95,15,15,1.853,0.060,0
96,8,15,1.917,0.050,0
97,15,15,2.052,0.040,0
98,28,28,2.316,0.030,0
99,24,28,2.535,0.020,0
100,4,28,2.550,0.010,0
101,15,28,2.673,0.010,0
102,12,28,2.765,0.010,0
103,7,28,2.806,0.010,0
104,20,28,2.971,0.010,0
105,4,28,2.981,0.010,0
106,9,28,3.038,0.010,0
107,7,28,3.075,0.010,0
108,14,28,3.176,0.010,0
109,13,28,3.266,0.010,0
110,7,28,3.300,0.010,0
111,17,28,3.423,0.010,0
112,16,28,3.536,0.010,0
113,10,28,3.593,0.010,0
114,16,28,3.702,0.010,0
115,11,28,3.765,0.010,0
116,7,28,3.793,0.010,0
117,9,28,3.838,0.010,0
118,20,28,3.975,0.010,0
119,6,28,3.992,0.010,0
120,26,28,4.175,0.010,0
121,12,28,4.240,0.010,0
122,4,28,4.238,0.010,0
123,15,28,4.325,0.010,0
124,14,28,4.403,0.010,0
125,6,28,4.416,0.010,0
126,0,28,4.381,0.010,0
127,7,28,4.402,0.010,0
128,9,28,4.438,0.010,0
129,5,28,4.442,0.010,0
130,22,28,4.577,0.010,0
131,11,28,4.626,0.010,0
132,19,28,4.735,0.010,0
133,4,28,4.729,0.010,0
134,6,28,4.739,0.010,0
135,24,28,4.881,0.010,0
136,19,28,4.985,0.010,0
137,12,28,5.036,0.010,0
138,16,28,5.116,0.010,0
139,20,28,5.223,0.010,0
140,7,28,5.236,0.010,0
141,15,28,5.305,0.010,0
142,18,28,5.394,0.010,0
143,13,28,5.448,0.010,0
144,6,28,5.451,0.010,0
145,14,28,5.510,0.010,0
146,9,28,5.534,0.010,0
147,16,28,5.605,0.010,0
148,19,28,5.696,0.010,0
149,0,28,5.658,0.010,0
150,6,28,5.660,0.010,0
151,14,28,5.715,0.010,0
152,7,28,5.724,0.010,0
153,15,28,5.784,0.010,0
154,7,28,5.792,0.010,0
155,19,28,5.877,0.010,0
156,20,28,5.968,0.010,0
157,16,28,6.032,0.010,0
158,18,28,6.108,0.010,0
159,20,28,6.195,0.010,0
160,16,28,6.256,0.010,0
161,24,28,6.366,0.010,0
162,20,28,6.451,0.010,0
163,6,28,6.448,0.010,0
164,25,28,6.561,0.010,0
165,13,28,6.600,0.010,0
166,20,28,6.681,0.010,0
167,16,28,6.737,0.010,0
168,17,28,6.798,0.010,0
169,6,28,6.793,0.010,0
170,12,28,6.824,0.010,0
171,19,28,6.895,0.010,0
172,7,28,6.895,0.010,0
173,15,28,6.942,0.010,0
174,23,28,7.034,0.010,0
175,21,28,7.114,0.010,0
176,25,28,7.216,0.010,0
177,5,28,7.203,0.010,0
178,12,28,7.230,0.010,0
179,8,28,7.235,0.010,0
180,11,28,7.256,0.010,0
181,15,28,7.298,0.010,0
182,29,29,7.418,0.010,0
183,28,29,7.530,0.010,0
184,18,29,7.587,0.010,0
185,12,29,7.611,0.010,0
186,14,29,7.645,0.010,0
187,26,29,7.743,0.010,0
188,16,29,7.787,0.010,0
189,34,34,7.926,0.010,0
190,10,34,7.937,0.010,0
191,11,34,7.953,0.010,0
192,9,34,7.958,0.010,0
193,10,34,7.969,0.010,0
194,14,34,8.000,0.010,0
195,17,34,8.046,0.010,0
196,23,34,8.122,0.010,0
197,28,34,8.223,0.010,0
198,8,34,8.222,0.010,0
199,20,34,8.281,0.010,0
200,14,34,8.310,0.010,0
201,15,34,8.343,0.010,0
202,3,34,8.317,0.010,0
203,4,34,8.296,0.010,0
204,12,34,8.314,0.010,0
205,11,34,8.327,0.010,0
206,17,34,8.369,0.010,0
207,23,34,8.440,0.010,0
208,11,34,8.452,0.010,0
209,21,34,8.512,0.010,0
210,4,34,8.490,0.010,0
211,26,34,8.573,0.010,0
212,14,34,8.599,0.010,0
213,10,34,8.606,0.010,0
214,23,34,8.673,0.010,0
215,27,34,8.758,0.010,0
216,23,34,8.824,0.010,0
217,28,34,8.912,0.010,0
218,16,34,8.945,0.010,0
219,24,34,9.014,0.010,0
220,12,34,9.027,0.010,0
221,28,34,9.113,0.010,0
222,2,34,9.081,0.010,0
223,19,34,9.126,0.010,0
224,25,34,9.196,0.010,0
225,25,34,9.267,0.010,0
226,9,34,9.265,0.010,0
227,25,34,9.335,0.010,0
228,11,34,9.342,0.010,0
229,17,34,9.376,0.010,0
230,17,34,9.409,0.010,0
231,24,34,9.472,0.010,0
232,19,34,9.513,0.010,0
233,30,34,9.601,0.010,0
234,18,34,9.637,0.010,0
235,28,34,9.715,0.010,0
236,27,34,9.788,0.010,0
237,8,34,9.781,0.010,0
238,19,34,9.819,0.010,0
239,12,34,9.828,0.010,0
240,14,34,9.846,0.010,0
241,13,34,9.859,0.010,0
242,12,34,9.868,0.010,0
243,6,34,9.852,0.010,0
244,25,34,9.914,0.010,0
245,19,34,9.951,0.010,0
246,8,34,9.943,0.010,0
247,15,34,9.964,0.010,0
248,32,34,10.052,0.010,0
249,18,34,10.084,0.010,0
250,17,34,10.112,0.010,0
251,12,34,10.120,0.010,0
252,26,34,10.183,0.010,0
253,19,34,10.217,0.010,0
254,14,34,10.232,0.010,0
255,26,34,10.294,0.010,0
256,19,34,10.328,0.010,0
257,20,34,10.366,0.010,0
258,2,34,10.333,0.010,0
259,28,34,10.402,0.010,0
260,6,34,10.385,0.010,0
261,16,34,10.406,0.010,0
262,20,34,10.443,0.010,0
263,24,34,10.494,0.010,0
264,26,34,10.553,0.010,0
265,12,34,10.558,0.010,0
266,18,34,10.586,0.010,0
267,7,34,10.573,0.010,0
268,27,34,10.634,0.010,0
269,23,34,10.680,0.010,0
270,26,34,10.737,0.010,0
271,20,34,10.771,0.010,0
272,27,34,10.831,0.010,0
273,21,34,10.868,0.010,0
274,18,34,10.894,0.010,0
275,20,34,10.927,0.010,0
276,21,34,10.964,0.010,0
277,14,34,10.975,0.010,0
278,25,34,11.025,0.010,0
279,26,34,11.079,0.010,0
280,25,34,11.129,0.010,0
281,16,34,11.146,0.010,0
282,34,34,11.227,0.010,0
283,20,34,11.258,0.010,0
284,20,34,11.289,0.010,0
285,23,34,11.330,0.010,0
286,8,34,11.318,0.010,0
287,15,34,11.331,0.010,0
288,34,34,11.410,0.010,0
289,2,34,11.377,0.010,0
290,19,34,11.403,0.010,0
291,12,34,11.405,0.010,0
292,28,34,11.462,0.010,0
293,19,34,11.488,0.010,0
294,20,34,11.517,0.010,0
295,33,34,11.590,0.010,0
296,11,34,11.588,0.010,0
297,8,34,11.576,0.010,0
298,20,34,11.604,0.010,0
299,35,35,11.682,0.010,0
300,22,35,11.717,0.010,0
301,18,35,11.738,0.010,0
302,18,35,11.758,0.010,0
303,30,35,11.818,0.010,0
304,6,35,11.799,0.010,0
305,18,35,11.820,0.010,0
306,12,35,11.820,0.010,0
307,12,35,11.821,0.010,0
308,25,35,11.864,0.010,0
309,32,35,11.929,0.010,0
310,18,35,11.948,0.010,0
311,11,35,11.945,0.010,0
312,10,35,11.939,0.010,0
313,15,35,11.949,0.010,0
314,24,35,11.987,0.010,0
315,9,35,11.978,0.010,0
316,32,35,12.041,0.010,0
317,20,35,12.066,0.010,0
318,25,35,12.107,0.010,0
319,19,35,12.129,0.010,0
320,34,35,12.197,0.010,0
321,13,35,12.199,0.010,0
322,11,35,12.196,0.010,0
323,20,35,12.220,0.010,0
324,9,35,12.210,0.010,0
325,22,35,12.240,0.010,0
326,18,35,12.258,0.010,0
327,17,35,12.272,0.010,0
328,38,38,12.351,0.010,0
329,25,38,12.389,0.010,0
330,8,38,12.376,0.010,0
331,14,38,12.381,0.010,0
332,18,38,12.398,0.010,0
333,19,38,12.417,0.010,0
334,14,38,12.422,0.010,0
335,10,38,12.415,0.010,0
336,10,38,12.408,0.010,0
337,28,38,12.454,0.010,0
338,20,38,12.476,0.010,0
339,26,38,12.516,0.010,0
340,24,38,12.550,0.010,0
341,18,38,12.566,0.010,0
342,26,38,12.605,0.010,0
343,4,38,12.580,0.010,0
344,22,38,12.608,0.010,0
