partie,score,record,mean100,epsilon,steps,temps_s,victoire
1,0,0,0.000,0.9700,301,1.0,0
2,0,0,0.000,0.9409,602,1.8,0
3,0,0,0.000,0.9127,903,2.6,0
4,0,0,0.000,0.8853,1204,4.3,0
5,0,0,0.000,0.8587,1505,6.2,0
6,1,1,0.167,0.8330,1995,9.6,0
7,0,1,0.143,0.8080,2296,11.7,0
8,0,1,0.125,0.7837,2597,13.7,0
9,0,1,0.111,0.7602,2898,15.8,0
10,0,1,0.100,0.7374,3199,18.0,0
11,0,1,0.091,0.7153,3500,19.9,0
12,2,2,0.250,0.6938,3738,21.5,0
13,2,2,0.385,0.6730,4095,23.9,0
14,2,2,0.500,0.6528,4375,26.0,0
15,2,2,0.600,0.6333,4575,27.4,0
16,3,3,0.750,0.6143,4834,29.1,0
17,2,3,0.824,0.5958,5023,30.3,0
18,0,3,0.778,0.5780,5324,32.2,0
19,2,3,0.842,0.5606,5448,33.1,0
20,2,3,0.900,0.5438,5543,33.7,0
21,2,3,0.952,0.5275,5794,35.4,0
22,3,3,1.045,0.5117,5942,36.3,0
23,2,3,1.087,0.4963,6124,37.6,0
24,3,3,1.167,0.4814,6348,39.1,0
25,5,5,1.320,0.4670,6519,40.3,0
26,2,5,1.346,0.4530,6639,41.1,0
27,4,5,1.444,0.4394,6749,41.9,0
28,2,5,1.464,0.4262,6815,42.3,0
29,2,5,1.483,0.4134,6917,43.0,0
30,4,5,1.567,0.4010,7026,43.7,0
31,2,5,1.581,0.3890,7096,44.2,0
32,4,5,1.656,0.3773,7190,44.8,0
33,3,5,1.697,0.3660,7272,45.4,0
34,3,5,1.735,0.3550,7335,45.8,0
35,6,6,1.857,0.3444,7434,46.5,0
36,4,6,1.917,0.3340,7526,47.1,0
37,3,6,1.946,0.3240,7616,47.7,0
38,3,6,1.974,0.3143,7729,48.4,0
39,6,6,2.077,0.3049,7888,49.5,0
40,2,6,2.075,0.2957,7984,50.1,0
41,4,6,2.122,0.2868,8036,50.5,0
42,4,6,2.167,0.2782,8128,51.1,0
43,3,6,2.186,0.2699,8224,51.7,0
44,3,6,2.205,0.2618,8302,52.3,0
45,3,6,2.222,0.2539,8358,52.7,0
46,5,6,2.283,0.2463,8465,53.4,0
47,4,6,2.319,0.2389,8542,53.9,0
48,2,6,2.312,0.2318,8605,54.3,0
49,5,6,2.367,0.2248,8681,54.8,0
50,2,6,2.360,0.2181,8707,55.0,0
51,10,10,2.510,0.2115,8856,56.0,0
52,4,10,2.538,0.2052,8908,56.4,0
53,16,16,2.792,0.1990,9138,57.8,0
54,13,16,2.981,0.1931,9267,58.7,0
55,3,16,2.982,0.1873,9322,59.1,0
56,19,19,3.268,0.1816,9562,60.8,0
57,6,19,3.316,0.1762,9651,61.4,0
58,6,19,3.362,0.1709,9775,62.2,0
59,8,19,3.441,0.1658,9854,62.8,0
60,13,19,3.600,0.1608,9997,63.8,0
61,13,19,3.754,0.1560,10146,64.8,0
62,19,19,4.000,0.1513,10361,66.3,0
63,9,19,4.079,0.1468,10474,67.0,0
64,7,19,4.125,0.1424,10567,67.7,0
65,7,19,4.169,0.1381,10669,68.4,0
66,9,19,4.242,0.1339,10753,68.9,0
67,4,19,4.239,0.1299,10814,69.3,0
68,3,19,4.221,0.1260,10849,69.6,0
69,15,19,4.377,0.1223,11038,71.0,0
70,2,19,4.343,0.1186,11070,71.2,0
71,8,19,4.394,0.1150,11157,71.8,0
72,8,19,4.444,0.1116,11257,72.5,0
73,9,19,4.507,0.1082,11356,73.2,0
74,8,19,4.554,0.1050,11438,73.8,0
75,12,19,4.653,0.1018,11538,74.5,0
76,12,19,4.750,0.0988,11669,75.6,0
77,16,19,4.896,0.0958,11845,76.9,0
78,9,19,4.949,0.0929,11919,77.4,0
79,15,19,5.076,0.0902,12055,78.4,0
80,23,23,5.300,0.0874,12297,80.1,0
81,7,23,5.321,0.0848,12377,80.6,0
82,15,23,5.439,0.0823,12607,82.3,0
83,9,23,5.482,0.0798,12714,83.1,0
84,12,23,5.560,0.0774,12810,83.7,0
85,6,23,5.565,0.0751,12874,84.2,0
